Periodo de Cobertura,Year,Month,Total Empresas con aportes,Recaudo SFS,Cuidado de la Salud,Estancias Infantiles,Subsidios,Comisión Operación SISALRIL,Cápita Adicional,Recargo por Atraso en pago de Facturas,Salario Mínimo Cotizable,Tope de Salario Mínimo Cotizable,Total_Monto_Dispersadas,Total_Capitas_Titulares,Total_Capitas_Depend_Directos,Total_Capitas_Depend_Adicionales,Monto_Dispersado_Total,Monto_Dispersado_Titulares,Monto_Dispersado_Dep_Directos,Monto_Dispersado_Dep_Adicionales
2007-09-01,2007,9,28103,1142107599.82,1129320811.55,0.0,0.0,0.0,2759330.97,10027457.3,5635.0,56350.0,1207909,786177,419106,2626,583818656.9700001,379982929.41,202566502.98,1269224.58
2007-10-01,2007,10,28531,1152423753.36,1140621900.5,0.0,0.0,0.0,3205927.89,8595924.97,5635.0,56350.0,1534269,955329,576040,2900,741558235.77,461739165.57000005,278417413.2,1401657.0
2007-11-01,2007,11,28862,1186494367.5,1175144743.66,0.0,0.0,0.0,3339810.3,8009813.54,5635.0,56350.0,1360641,851660,507515,1466,657638614.53,411632827.8,245297224.95,708561.7799999998
2007-12-01,2007,12,28860,1208358287.88,1196076629.26,0.0,0.0,0.0,3770584.03,8511074.59,5635.0,56350.0,1599467,1005990,586713,6764,773070385.1100003,486225146.7000001,283575994.2900001,3269244.12
2008-01-01,2008,1,29343,1182696206.83,1169340960.85,0.0,0.0,0.0,5343088.97,8012157.01,5635.0,56350.0,1511121,936466,569690,4965,933393261.26,578008226.5699999,352308238.06,3076796.6300000004
2008-02-01,2008,2,29729,1218181878.16,1204343298.49,0.0,0.0,0.0,6015860.0,7822719.67,5635.0,56350.0,1521071,927714,586277,7080,942201632.3000002,574525023.96,363287008.3400001,4389600.0
2008-03-01,2008,3,29972,1230448071.48,1215736704.8,0.0,0.0,0.0,6486440.0,8224926.68,5635.0,56350.0,1566319,955680,602490,8149,970658978.8100004,592151087.6300004,373455511.18,5052380.0
2008-04-01,2008,4,30339,1252071350.86,1238114830.54,0.0,0.0,0.0,6969420.0,6987100.32,5635.0,56350.0,1592488,969352,613989,9147,987104890.87,600824805.77,380608945.1,5671140.0
2008-05-01,2008,5,30569,1262731230.53,1248228934.02,0.0,0.0,0.0,7689240.0,6813056.51,5635.0,56350.0,1625959,969126,646841,9992,1007996860.95,600778304.72,401023516.23,6195040.0
2008-06-01,2008,6,30770,1266590207.71,1250331819.07,0.0,0.0,0.0,9184060.0,7074328.64,5635.0,56350.0,1704449,1014517,678865,11067,1056667494.4500004,628928241.5700003,420877712.88,6861540.0
2008-07-01,2008,7,30940,1269949071.72,1254706398.95,0.0,0.0,0.0,9547380.0,5695292.77,5635.0,56350.0,1671237,978980,679161,13096,1036143706.1,606948602.87,421075583.23,8119520.0
2008-08-01,2008,8,31026,1383835208.5900002,1299905528.98,13640495.93,45012926.01,9543820.92,9737720.0,5994716.75,5635.0,56350.0,1681167,993417,673239,14511,1042300989.45,615897629.4899999,417406539.96,8996820.0
2008-09-01,2008,9,31211,1392606674.4900002,1307543197.13,13720701.18,45277507.33,9604279.18,10274640.0,6186349.67,5635.0,56350.0,1720839,1014211,691614,15014,1066905556.31,628798656.37,428798219.94,9308680.0
2008-10-01,2008,10,31422,1413263892.4099998,1327121465.37,13926131.53,45955443.27,9748068.13,11222620.0,5290164.11,5635.0,56350.0,1736635,1017556,703171,15908,1076675705.7400002,630856702.6500002,435956043.09,9862960.0
2008-11-01,2008,11,31559,1406475959.3099997,1318687154.83,13837642.89,45663396.61,9686127.86,12181760.0,6419877.12,5635.0,56350.0,1725203,1001549,706208,17446,1069603719.46,620944252.94,437842946.52,10816520.0
2008-12-01,2008,12,31495,1438007989.6199996,1348981238.84,14155521.29,46712397.33,9908639.62,12760840.0,5489352.54,5635.0,56350.0,1729671,992746,718099,18826,1072390826.54,615498829.91,445219876.63,11672120.0
2009-01-01,2009,1,31671,1395458376.98,1308028918.87,13725799.45,45294322.53,9607823.94,13706340.0,5095172.19,5635.0,56350.0,1783379,1011730,751724,19925,1105688829.85,627268226.5600001,466067103.29,12353500.0
2009-02-01,2009,2,31925,1408776604.99,1319801690.4,13849333.55,45701990.79,9694316.34,14803120.0,4926153.91,5635.0,56350.0,1801656,1015230,765020,21406,1117018519.8,629436313.18,474310486.62,13271720.0
2009-03-01,2009,3,32092,1425518540.38,1333481587.8,13992883.7,46175682.84,9794801.63,18361920.0,3711664.41,5635.0,56350.0,1819628,1017050,779543,23035,1128165943.25,630567856.5899999,483316386.66,14281700.0
2009-04-01,2009,4,31887,1432045653.61,1338631512.28,14046914.23,46354009.98,9832617.75,19919980.0,3260619.37,5635.0,56350.0,1851576,1022611,800334,28631,1147974523.27,634016223.2700001,496207080.0,17751220.0
2009-05-01,2009,5,30639,1424132517.03,1330482478.18,13961392.39,46071829.3,9772775.06,21368300.0,2475742.1,5635.0,56350.0,1842896,1007151,804976,30769,1142588413.1599998,624427196.5099999,499084436.65,19076780.0
2009-06-01,2009,6,31796,1442628655.9399998,1346714328.61,14131723.65,46633923.6,9891993.07,22873660.0,2383027.01,5635.0,56350.0,1903860,1030308,840098,33454,1180386639.8400002,638784673.1800001,520860486.66,20741480.0
2009-07-01,2009,7,38218,1573711108.4399998,1451349640.27,15229678.97,50257095.53,10660605.3,24738000.0,21476088.37,5635.0,56350.0,1911862,1022632,853746,35484,1185350749.91,634028559.9200001,529322109.99,22000080.0
2009-08-01,2009,8,38837,1582140382.9699998,1446676339.94,15180677.09,65275829.6,10626267.48,26084020.0,18297248.86,5635.0,56350.0,2012366,1075857,898084,38425,1329477586.96,711499400.67,594154686.29,23823500.0
2009-09-01,2009,9,39134,1579778513.0199995,1446368176.58,15177413.43,65261927.61,10624033.56,27118800.0,15228161.84,5635.0,56350.0,2044523,1086793,917446,40284,1351600784.9200006,719359154.6300004,607265550.2900001,24976080.0
2009-10-01,2009,10,39611,1606520812.8999996,1466952379.09,15393402.53,66190708.85,10775243.82,30412778.77,16796299.84,5635.0,56350.0,2057281,1081904,933330,42047,1359965947.6099997,716122573.7199999,617774233.8899996,26069140.0
2009-11-01,2009,11,39987,1609981022.7599998,1470066100.1,15426061.54,66331208.8,10798107.3,32060934.67,15298610.35,5635.0,56350.0,2089034,1091159,953874,44001,1382744406.31,722247754.4800001,631377440.1299998,29119211.7
2009-12-01,2009,12,40227,1651983646.0100005,1505304243.18,15795817.66,67921181.46,11056924.63,33048504.39,18856974.69,5635.0,56350.0,2096232,1084705,965195,46332,1509159518.3900006,782288977.6900003,696202926.58,30667614.12000001
2010-01-01,2010,1,40579,1622843058.28,1470859678.28,15434384.16,66367008.28,10803924.46,37189408.08,22188655.02,5635.0,56350.0,2128617,1091399,989212,48006,1532873880.8699994,787409623.8299994,713688605.58,31775651.46000001
2010-02-01,2010,2,40911,1650241263.4000003,1496515056.14,15703589.9,67524604.08,10992372.2,38565991.92,20939649.16,5635.0,56350.0,2254735,1169719,1034961,50055,1622666801.4800005,841256970.9100003,745333759.7200003,36076070.84999999
2010-03-01,2010,3,40037,1700787981.16,1546216864.69,16225127.0,69766956.2,11357380.89,39280257.12,17941395.26,6481.0,64810.0,2230392,1140333,1038712,51347,1608685541.6699998,822402558.0600002,749238544.4099996,37044439.19999999
2010-04-01,2010,4,39498,1724182664.08,1561993605.53,16390675.08,70478816.95,11473258.55,41807601.56,22038706.41,6481.0,64810.0,2259737,1152318,1055025,52394,1630342797.1300006,831366247.2100009,761175326.8,37801223.12
2010-05-01,2010,5,39412,1745276921.35,1578894299.9,16568360.98,71241309.71,11597479.83,43479992.2,23495478.73,6481.0,64810.0,2253915,1139624,1058523,55768,1626118479.270001,822208596.4100003,763674386.2200006,40235496.63999999
2010-06-01,2010,6,39467,1755121066.09,1585663006.01,16639318.01,71546762.99,11647213.27,45728845.36,23895920.45,6481.0,64810.0,2244635,1125195,1061830,57610,1619453541.080002,811801816.5500009,766087261.7300012,41564462.8
