Periodo de Cobertura,Total_Capitas_Dispersadas,Total_Capitas_Dispersada_mes,Total_Capitas_Dispersada_posterior,Titulares_Total_capitas,Titulares_Dispersadas_mes_capitas,Titulares_Dispersadas_posterior_capitas,Dependientes_Total_capitas,Dependientes_Dispersadas_mes_capitas,Dependientess_Dispersadas_posterior_capitas,Adicionales_Total_capitas,Adicionales_Dispersadas_mes_capitas,Adicionales_Dispersadas_posterior_capitas,Year,Month,Total_Monto_Dispersadas,Total_Monto_Dispersada_mes,Total_Monto_Dispersada_posterior,Titulares_Total_monto,Titulares_Dispersadas_mes_monto,Titulares_Dispersadas_posterior_monto,Dependientes_Total_monto,Dependientes_Dispersadas_mes_monto,Dependientess_Dispersadas_posterior_monto,Adicionales_Total_monto,Adicionales_Dispersadas_mes_monto,Adicionales_Dispersadas_posterior_monto,Tipo_de_ARS
2007-09-01,173242,57432,115810,77667,28975,48692,95246,28128,67118,329,329,0,2007,9,83733053,27758607,55974446,37538790,14004486,23534304,46035248,13595106,32440142,159015,159015,0,Autogestion
2007-10-01,173441,172952,489,78958,78588,370,94154,94035,119,329,329,0,2007,10,83829231,83592889,236342,38162767,37983938,178829,45507449,45449936,57513,159015,159015,0,Autogestion
2007-11-01,175569,167099,8470,80413,73371,7042,94263,92835,1428,893,893,0,2007,11,84857751,80763958,4093793,38866009,35462405,3403604,45560129,44869940,690189,431613,431613,0,Autogestion
2007-12-01,175886,175106,780,81573,81172,401,93424,93045,379,889,889,0,2007,12,85010966,84633981,376985,39426668,39232862,193806,45154618,44971439,183179,429680,429680,0,Autogestion
2008-01-01,178955,178033,922,83904,83293,611,93830,93519,311,1221,1221,0,2008,1,110952100,110380460,571640,52020480,51641660,378820,58174600,57981780,192820,757020,757020,0,Autogestion
2008-02-01,183616,182609,1007,89550,88810,740,92586,92319,267,1480,1480,0,2008,2,113841920,113217580,624340,55521000,55062200,458800,57403320,57237780,165540,917600,917600,0,Autogestion
2008-03-01,184734,183869,865,90619,90007,612,92368,92115,253,1747,1747,0,2008,3,114535080,113998780,536300,56183780,55804340,379440,57268160,57111300,156860,1083140,1083140,0,Autogestion
2008-04-01,184761,183712,1049,91324,90617,707,91693,91351,342,1744,1744,0,2008,4,114551820,113901440,650380,56620880,56182540,438340,56849660,56637620,212040,1081280,1081280,0,Autogestion
2008-05-01,187624,186769,855,92186,91548,638,93693,93476,217,1745,1745,0,2008,5,116326880,115796780,530100,57155320,56759760,395560,58089660,57955120,134540,1081900,1081900,0,Autogestion
2008-06-01,193338,192858,480,92125,91752,373,99471,99364,107,1742,1742,0,2008,6,119869560,119571960,297600,57117500,56886240,231260,61672020,61605680,66340,1080040,1080040,0,Autogestion
2008-07-01,194686,194000,686,92474,91973,501,100433,100248,185,1779,1779,0,2008,7,120705320,120280000,425320,57333880,57023260,310620,62268460,62153760,114700,1102980,1102980,0,Autogestion
2008-08-01,198632,198020,612,92769,92346,423,104062,103873,189,1801,1801,0,2008,8,123151840,122772400,379440,57516780,57254520,262260,64518440,64401260,117180,1116620,1116620,0,Autogestion
2008-09-01,197971,197090,881,92554,91933,621,103632,103372,260,1785,1785,0,2008,9,122742020,122195800,546220,57383480,56998460,385020,64251840,64090640,161200,1106700,1106700,0,Autogestion
2008-10-01,197695,196996,699,92672,92172,500,103236,103037,199,1787,1787,0,2008,10,122570900,122137520,433380,57456640,57146640,310000,64006320,63882940,123380,1107940,1107940,0,Autogestion
2008-11-01,197994,197335,659,92323,91877,446,103888,103678,210,1783,1780,3,2008,11,122756280,122347700,408580,57240260,56963740,276520,64410560,64280360,130200,1105460,1103600,1860,Autogestion
2008-12-01,197959,197080,879,92646,92063,583,103422,103126,296,1891,1891,0,2008,12,122734580,122189600,544980,57440520,57079060,361460,64121640,63938120,183520,1172420,1172420,0,Autogestion
2009-01-01,197595,196828,767,92850,92327,523,102865,102622,243,1880,1879,1,2009,1,122508900,122033360,475540,57567000,57242740,324260,63776300,63625640,150660,1165600,1164980,620,Autogestion
2009-02-01,197495,196819,676,92755,92309,446,102872,102642,230,1868,1868,0,2009,2,122446900,122027780,419120,57508100,57231580,276520,63780640,63638040,142600,1158160,1158160,0,Autogestion
2009-03-01,197914,197310,604,93515,93092,423,102546,102365,181,1853,1853,0,2009,3,122706680,122332200,374480,57979300,57717040,262260,63578520,63466300,112220,1148860,1148860,0,Autogestion
2009-04-01,200699,200350,349,93339,93147,192,102135,101981,154,5225,5222,3,2009,4,124433380,124217000,216380,57870180,57751140,119040,63323700,63228220,95480,3239500,3237640,1860,Autogestion
2009-05-01,200427,199823,604,93562,93166,396,101643,101437,206,5222,5220,2,2009,5,124264740,123890260,374480,58008440,57762920,245520,63018660,62890940,127720,3237640,3236400,1240,Autogestion
2009-06-01,202640,202535,105,93467,93391,76,103956,103927,29,5217,5217,0,2009,6,125636800,125571700,65100,57949540,57902420,47120,64452720,64434740,17980,3234540,3234540,0,Autogestion
2009-07-01,203961,203754,207,93746,93609,137,105052,104982,70,5163,5163,0,2009,7,126455820,126327480,128340,58122520,58037580,84940,65132240,65088840,43400,3201060,3201060,0,Autogestion
2009-08-01,206097,205647,450,94583,94292,291,106407,106248,159,5107,5107,0,2009,8,136203614,135905770,297844,62605423,62412817,192606,70431851,70326613,105238,3166340,3166340,0,Autogestion
2009-09-01,206441,205437,1004,94494,93954,540,106872,106408,464,5075,5075,0,2009,9,136432661,135768111,664550,62546519,62189092,357427,70739642,70432519,307123,3146500,3146500,0,Autogestion
2009-10-01,210276,209413,863,94751,94390,361,110437,109935,502,5088,5088,0,2009,10,138970539,138399319,571220,62716629,62477684,238945,73099350,72767075,332275,3154560,3154560,0,Autogestion
2009-11-01,209945,209065,880,94483,94096,387,110420,109962,458,5042,5007,35,2009,11,138964680,138382213,582467,62539235,62283083,256152,73088096,72784947,303149,3337349,3314183,23166,Autogestion
2009-12-01,208157,207201,956,93724,93258,466,109435,108957,478,4998,4986,12,2009,12,149883368,149194360,689008,67619986,67283781,336205,78955157,78610296,344861,3308225,3300283,7942,Autogestion
2010-01-01,206387,205475,912,92638,92156,482,108808,108379,429,4941,4940,1,2010,1,148609734,147951825,657909,66836452,66488710,347742,78502786,78193280,309506,3270496,3269835,661,Autogestion
2010-02-01,205286,204275,1011,92076,91634,442,108349,107780,569,4861,4861,0,2010,2,148109723,147380326,729397,66430981,66112098,318883,78171628,77761114,410514,3507114,3507114,0,Autogestion
2010-03-01,204296,203413,883,91928,91530,398,107621,107137,484,4747,4746,1,2010,3,147395457,146758410,637047,66324202,66037064,287138,77646390,77297202,349188,3424865,3424144,721,Autogestion
2010-04-01,200858,200062,796,90732,90387,345,106638,106188,450,3488,3487,1,2010,4,144915011,144340730,574281,65461313,65212412,248901,76937177,76612518,324659,2516521,2515800,721,Autogestion
2010-05-01,198410,197735,675,89047,88722,325,104746,104396,350,4617,4617,0,2010,5,143148828,142661847,486981,64245620,64011148,234472,75572135,75319626,252509,3331073,3331073,0,Autogestion
2010-06-01,197037,195900,1137,88309,87733,576,104103,103544,559,4625,4623,2,2010,6,142158231,141337931,820300,63713166,63297604,415562,75108221,74704925,403296,3336844,3335402,1442,Autogestion
2010-07-01,195588,194534,1054,87398,86868,530,103130,102608,522,5060,5058,2,2010,7,141112806,140352388,760418,63055897,62673524,382373,74406222,74029619,376603,3650687,3649245,1442,Autogestion
2010-08-01,193801,192909,892,86318,85895,423,102516,102048,468,4967,4966,1,2010,8,139823523,139179984,643539,62276700,61971524,305176,73963233,73625591,337642,3583590,3582869,721,Autogestion
2010-09-01,193325,192402,923,86120,85721,399,101922,101399,523,5283,5282,1,2010,9,139480102,138814194,665908,62133848,61845987,287861,73534676,73157350,377326,3811578,3810857,721,Autogestion
2010-10-01,189868,188913,955,83958,83554,404,100276,99738,538,5634,5621,13,2010,10,136985947,136296950,688997,60574010,60282539,291471,72347120,71958972,388148,4064817,4055439,9378,Autogestion
2010-11-01,188856,188234,622,83806,83559,247,99663,99290,373,5387,5385,2,2010,11,136255812,135807065,448747,60464348,60286147,178201,71904853,71635749,269104,3886611,3885169,1442,Autogestion
2010-12-01,187951,187366,585,83500,83263,237,99098,98750,348,5353,5353,0,2010,12,135602875,135180821,422054,60243575,60072589,170986,71497218,71246150,251068,3862082,3862082,0,Autogestion
2011-01-01,185507,184862,645,82514,82236,278,97565,97201,364,5428,5425,3,2011,1,133839571,133374235,465336,59532195,59331629,200566,70391184,70128577,262607,3916192,3914029,2163,Autogestion
2011-02-01,183734,183077,657,81746,81463,283,96540,96182,358,5448,5432,16,2011,2,132560390,132086393,473997,58978097,58773925,204172,69651672,69393389,258283,3930621,3919079,11542,Autogestion
2011-03-01,180602,180061,541,80379,80124,255,94767,94482,285,5456,5455,1,2011,3,130300718,129910409,390309,57991834,57807863,183971,68372490,68166873,205617,3936394,3935673,721,Autogestion
2011-04-01,177870,177368,502,79123,78895,228,93330,93059,271,5417,5414,3,2011,4,128329628,127967463,362165,57085651,56921164,164487,67335722,67140207,195515,3908255,3906092,2163,Autogestion
2011-05-01,175656,174878,778,77979,77584,395,92118,91739,379,5559,5555,4,2011,5,126732274,126170978,561296,56260280,55975304,284976,66461288,66187853,273435,4010706,4007821,2885,Autogestion
2011-06-01,173748,173105,643,77062,76766,296,91042,90699,343,5644,5640,4,2011,6,125355693,124891794,463899,55598685,55385133,213552,65684977,65437514,247463,4072031,4069147,2884,Autogestion
2011-07-01,171807,171129,678,76149,75847,302,90083,89712,371,5575,5570,5,2011,7,123955294,123466149,489145,54939970,54722093,217877,64993074,64725413,267661,4022250,4018643,3607,Autogestion
2011-08-01,168497,167809,688,74691,74386,305,88258,87878,380,5548,5545,3,2011,8,121567197,121070836,496361,53888053,53668011,220042,63676374,63402219,274155,4002770,4000606,2164,Autogestion
2011-09-01,166322,164901,1421,73662,73046,616,87272,86593,679,5388,5262,126,2011,9,119997983,118972772,1025211,53145655,52701228,444427,62964997,62475117,489880,3887331,3796427,90904,Autogestion
2011-10-01,160682,159943,739,70790,70493,297,84312,83876,436,5580,5574,6,2011,10,115928834,115395674,533160,51073562,50859289,214273,60829416,60514856,314560,4025856,4021529,4327,Autogestion
2011-11-01,159329,158666,663,70244,69954,290,83505,83139,366,5580,5573,7,2011,11,125643649,125120833,522816,55393007,55164325,228682,65850367,65561752,288615,4400275,4394756,5519,Autogestion
2011-12-01,158239,156903,1336,69728,69194,534,82941,82420,521,5570,5289,281,2011,12,124784093,123730566,1053527,54986097,54565004,421093,65405607,64994763,410844,4392389,4170799,221590,Autogestion
2012-01-01,157172,156515,657,69211,68889,322,82415,82085,330,5546,5541,5,2012,1,123942680,123424597,518083,54578402,54324487,253915,64990815,64730589,260226,4373463,4369521,3942,Autogestion
2012-02-01,156575,155982,593,68912,68602,310,82105,81834,271,5558,5546,12,2012,2,123471901,123004284,467617,54342619,54098165,244454,64746356,64532655,213701,4382926,4373464,9462,Autogestion
2012-03-01,155816,155362,454,68567,68317,250,81650,81448,202,5599,5597,2,2012,3,122873370,122515364,358006,54070557,53873419,197138,64387554,64228263,159291,4415259,4413682,1577,Autogestion
2012-04-01,154947,154453,494,68154,67861,293,81178,80980,198,5615,5612,3,2012,4,122188090,121798545,389545,53744873,53513827,231046,64015342,63859208,156134,4427875,4425510,2365,Autogestion
2012-05-01,154307,153909,398,67806,67580,226,80917,80751,166,5584,5578,6,2012,5,121683401,121369558,313843,53470449,53292236,178213,63809523,63678623,130900,4403429,4398699,4730,Autogestion
2012-06-01,153772,153467,305,67547,67368,179,80529,80408,121,5696,5691,5,2012,6,121261511,121021005,240506,53266206,53125057,141149,63503555,63408140,95415,4491750,4487808,3942,Autogestion
2012-07-01,152906,152221,685,66986,66595,391,80292,80009,283,5628,5617,11,2012,7,120578600,120038435,540165,52823814,52515485,308329,63316660,63093497,223163,4438126,4429453,8673,Autogestion
2012-08-01,153722,153297,425,67450,67205,245,80703,80538,165,5569,5554,15,2012,8,121222082,120886947,335135,53189714,52996518,193196,63640767,63510656,130111,4391601,4379773,11828,Autogestion
2012-09-01,152733,152403,330,66819,66629,190,80310,80176,134,5604,5598,6,2012,9,120442175,120181956,260219,52692118,52542296,149822,63330856,63225190,105666,4419201,4414470,4731,Autogestion
2012-10-01,151246,150887,359,66170,65966,204,79533,79400,133,5543,5521,22,2012,10,119269558,118986470,283088,52180332,52019468,160864,62718128,62613252,104876,4371098,4353750,17348,Autogestion
2012-11-01,150849,150314,535,66068,65851,217,79264,78952,312,5517,5511,6,2012,11,118956489,118534613,421876,52099895,51928781,171114,62506000,62259968,246032,4350594,4345864,4730,Autogestion
2012-12-01,150291,149186,1105,65984,65508,476,78794,78440,354,5513,5238,275,2012,12,118516464,117645095,871369,52033655,51658298,375357,62135369,61856215,279154,4347440,4130582,216858,Autogestion
2013-01-01,149586,148518,1068,65793,65333,460,78321,77983,338,5472,5202,270,2013,1,117960514,117118324,842190,51883036,51520297,362739,61762370,61495834,266536,4315108,4102193,212915,Autogestion
2013-02-01,149303,148087,1216,65703,65166,537,78108,77701,407,5492,5220,272,2013,2,117737344,116778445,958899,51812064,51388604,423460,61594401,61273454,320947,4330879,4116387,214492,Autogestion
2013-03-01,149038,148556,482,65665,65393,272,77766,77564,202,5607,5599,8,2013,3,117528370,117148289,380081,51782098,51567611,214487,61324706,61165419,159287,4421566,4415259,6307,Autogestion
2013-04-01,148741,148181,560,65555,65236,319,77586,77353,233,5600,5592,8,2013,4,117294162,116852571,441591,51695355,51443804,251551,61182761,60999028,183733,4416046,4409739,6307,Autogestion
2013-05-01,148473,148091,382,65444,65197,247,77323,77193,130,5706,5701,5,2013,5,117082828,116781599,301229,51607825,51413050,194775,60975367,60872855,102512,4499636,4495694,3942,Autogestion
2013-06-01,147970,147685,285,65131,64976,155,77089,76963,126,5750,5746,4,2013,6,116686173,116461436,224737,51361000,51238774,122226,60790839,60691482,99357,4534334,4531180,3154,Autogestion
2013-07-01,147367,146974,393,64999,64795,204,76639,76452,187,5729,5727,2,2013,7,116210659,115900756,309903,51256906,51096041,160865,60435979,60288518,147461,4517774,4516197,1577,Autogestion
2013-08-01,147435,147013,422,64698,64528,170,77121,76869,252,5616,5616,0,2013,8,122973736,122621002,352734,54080404,53938309,142095,64464667,64254028,210639,4428665,4428665,0,Autogestion
2013-09-01,147293,146417,876,64395,64196,199,77348,76680,668,5550,5541,9,2013,9,123120732,122388505,732227,53827130,53660794,166336,64654414,64096045,558369,4639188,4631666,7522,Autogestion
2013-10-01,145517,145108,409,63506,63243,263,76480,76339,141,5531,5526,5,2013,10,121636191,121294325,341866,53084023,52864191,219832,63928861,63811006,117855,4623307,4619128,4179,Autogestion
2013-11-01,145433,145111,322,63625,63421,204,76307,76193,114,5501,5497,4,2013,11,121565976,121296832,269144,53183494,53012979,170515,63784252,63688966,95286,4598230,4594887,3343,Autogestion
2013-12-01,145169,144799,370,63622,63400,222,76032,75902,130,5515,5497,18,2013,12,121345299,121036035,309264,53180987,52995426,185561,63554381,63445722,108659,4609931,4594887,15044,Autogestion
2014-01-01,144548,144101,447,63428,63178,250,75625,75499,126,5495,5424,71,2014,1,120826210,120452584,373626,53018820,52809858,208962,63214176,63108859,105317,4593214,4533867,59347,Autogestion
2014-02-01,144426,143202,1224,63428,62832,596,75527,75146,381,5471,5224,247,2014,2,120724231,119701118,1023113,53018822,52520640,498182,63132257,62813789,318468,4573152,4366689,206463,Autogestion
2014-03-01,144815,144025,790,64083,63579,504,75255,74981,274,5477,5465,12,2014,3,121049393,120389056,660337,53566330,53145050,421280,62904896,62675868,229028,4578167,4568138,10029,Autogestion
2014-04-01,145095,144590,505,64206,63851,355,75143,75003,140,5746,5736,10,2014,4,121283445,120861334,422111,53669145,53372412,296733,62811277,62694257,117020,4803023,4794665,8358,Autogestion
2014-05-01,145384,144920,464,64352,64052,300,75097,74946,151,5935,5922,13,2014,5,121525020,121137177,387843,53791186,53540426,250760,62772828,62646611,126217,4961006,4950140,10866,Autogestion
2014-06-01,146145,145570,575,64845,64553,292,75186,74918,268,6114,6099,15,2014,6,122161129,121680507,480622,54203278,53959207,244071,62847222,62623207,224015,5110629,5098093,12536,Autogestion
2014-07-01,146320,145297,1023,65226,64777,449,75129,74566,563,5965,5954,11,2014,7,122307410,121452308,855102,54521751,54146446,375305,62799576,62328973,470603,4986083,4976889,9194,Autogestion
2014-08-01,146584,146111,473,65334,65035,299,74809,74641,168,6441,6435,6,2014,8,122528085,122132723,395362,54612029,54362106,249923,62532091,62391665,140426,5383965,5378952,5013,Autogestion
2014-09-01,147327,146701,626,65387,65087,300,74879,74558,321,7061,7056,5,2014,9,123149152,122625897,523255,54656331,54405572,250759,62590604,62322286,268318,5902217,5898039,4178,Autogestion
2014-10-01,148502,147727,775,66285,65979,306,74912,74447,465,7305,7301,4,2014,10,124131321,123483520,647801,55406960,55151186,255774,62618187,62229502,388685,6106174,6102832,3342,Autogestion
2014-11-01,149409,148680,729,66950,66626,324,74689,74288,401,7770,7766,4,2014,11,124889472,124280124,609348,55962827,55692007,270820,62431781,62096596,335185,6494864,6491521,3343,Autogestion
2014-12-01,148970,148244,726,67159,66766,393,73916,73586,330,7895,7892,3,2014,12,124522517,123915675,606842,56137528,55809031,328497,61785640,61509801,275839,6599349,6596843,2506,Autogestion
