Periodo de Cobertura,Year,Month,Ingresos en Salud_RC,Gasto en Salud_RC,Porcentaje (%) de Siniestralidad_RC,Ingresos en Salud_OP,Gasto en Salud_OP,Porcentaje (%) de Siniestralidad_OP
2007-09-01,2007,9,407733321.0,293418248.0,71.96327425003363,831159074.0,591024719.0,71.10849625399145
2007-10-01,2007,10,556064399.0,380970924.0,68.51201491861737,729353387.0,506026805.0,69.38019539216866
2007-11-01,2007,11,698901466.0,568170160.0,81.29474434383287,755673323.0,728017063.0,96.34018309787548
2007-12-01,2007,12,718962558.0,477207993.0,66.37452641866226,825760919.0,577155509.0,69.89377866161767
2008-01-01,2008,1,933393262.0,577819533.0,61.9052607859944,533619068.0,417349237.0,78.21108015577884
2008-02-01,2008,2,942198350.0,636056642.0,67.50772191439309,836564089.0,597040526.0,71.36817535566004
2008-03-01,2008,3,970658982.0,788949494.0,81.27978091485893,807540530.0,469293222.0,58.11389082848882
2008-04-01,2008,4,983425045.0,749764796.0,76.24015676761618,792131737.0,596306845.0,75.27874684813948
2008-05-01,2008,5,1012829618.0,723354902.0,71.41920903027936,815338810.0,547829953.0,67.1904668686138
2008-06-01,2008,6,1056667492.0,795717166.0,75.30440484110208,821274863.0,600190091.0,73.08029480015877
2008-07-01,2008,7,1036143704.0,827100576.0,79.82489038991449,839179434.0,679141979.0,80.92929253077953
2008-08-01,2008,8,1042300989.0,907621596.0,87.07864672284217,825195916.0,607981049.0,73.67717619678574
2008-09-01,2008,9,1062266235.0,912992187.0,85.94758610585038,845067395.0,593374538.0,70.21623855219264
2008-10-01,2008,10,1076675706.0,1012671821.0,94.05541662700058,872501053.0,617036000.0,70.72037310194513
2008-11-01,2008,11,1069608680.0,956697236.0,89.44366794031626,862303311.0,662940748.0,76.88022758850337
2008-12-01,2008,12,1072390826.0,980524767.0,91.43352807831648,1033206028.0,698175425.0,67.57368870093352
2009-01-01,2009,1,1108460077.0,926473434.0,83.58202999132462,876912151.0,655825395.0,74.78803826040267
2009-02-01,2009,2,1120941898.0,1024393354.0,91.38683778594918,913989922.0,708066047.0,77.46978713404238
2009-03-01,2009,3,1131417762.0,1063238579.0,93.97400453750345,919670126.0,756365827.0,82.24316585009961
2009-04-01,2009,4,1148049008.0,1064765503.0,92.74564897320133,908172678.0,710904068.0,78.27851302084646
2009-05-01,2009,5,1241380738.0,1158755321.0,93.34407128524334,938085747.0,728062857.0,77.61154663402002
2009-06-01,2009,6,1193423657.0,1133662543.0,94.99246444047992,911196168.0,721554507.0,79.18761429646398
2009-07-01,2009,7,1192750232.0,1202227368.0,100.79456165639212,906263353.0,741817584.0,81.85452733406511
2009-08-01,2009,8,1263845939.0,1138072537.0,90.04835968381428,902815891.0,691531208.0,76.5971462059699
2009-09-01,2009,9,1378195587.0,1220170107.0,88.53388579309099,901954611.0,706416685.0,78.32064678030677
2009-10-01,2009,10,1458926583.0,1198002451.0,82.11533499763503,903507620.0,698635405.0,77.3247938960382
2009-11-01,2009,11,1401359754.0,1187539561.0,84.74194849754475,930165030.0,671405896.0,72.18137366441307
2009-12-01,2009,12,1586898434.0,1217888603.0,76.74647456360147,1049600947.0,693520891.0,66.07472039561716
2010-01-01,2010,1,1594317050.12,1271728599.99,79.76635512329749,565397046.34,569909471.94,100.79809854494472
2010-02-01,2010,2,1659499929.9600005,1338578764.72,80.66157404129956,657241160.3900001,464891370.35,70.73375776923928
2010-03-01,2010,3,1632346061.1400003,2419651025.7,148.2314984121786,650467008.9300001,475767014.4699999,73.14237431543582
2010-04-01,2010,4,1661828001.9099996,1325308808.4500003,79.75005878627478,659795560.28,446401004.1000001,67.6574731588917
2010-05-01,2010,5,1658361307.0800004,1246436931.8900003,75.16075818753237,671115807.9999998,456500470.01,68.02111715568473
2010-06-01,2010,6,1616165399.2699995,1754029915.3800004,108.53034696648452,738300938.18,503617359.43000007,68.213019026019
2010-07-01,2010,7,1699992527.35,1216890799.2400002,71.58212637186861,708207077.41,545051452.23,76.96215833133438
2010-08-01,2010,8,1702793451.5100002,1553080193.24,91.20778517575118,722594464.4900002,529182256.8000001,73.23364387706616
2010-09-01,2010,9,1720813019.2900002,1710737725.3,99.4145038492237,713411449.3199999,634553464.6599998,88.94635280451905
2010-10-01,2010,10,1732068838.0600002,1573229516.43,90.82950295394105,707366133.2499999,694753145.1300001,98.21690811488962
2010-11-01,2010,11,1580173203.11,1508768926.6600003,95.48123735363528,925350379.0599998,559621843.6200001,60.47675089175213
2010-12-01,2010,12,1758919293.34,1558996668.6999998,88.63378067447492,739428121.3499999,583680844.68,78.93679288452721
2011-01-01,2011,1,1755610770.7699995,1051175236.9,59.87518727963609,764693595.4700001,736210428.9000001,96.27521836998078
2011-02-01,2011,2,1790351684.9899998,1827464871.79,102.07295511329706,757576021.4000001,380182856.12,50.184119531320725
2011-03-01,2011,3,1844797835.02,1921974158.77,104.1834569775047,782409716.85,629151607.9399998,80.41203916446476
2011-04-01,2011,4,1822176203.33,1530728227.8299994,84.0054998541094,760667969.68,495098834.55,65.08737771070861
2011-05-01,2011,5,1797533318.75,1605787846.6599998,89.33285574793464,804588393.4399999,543605530.6400001,67.56318324650778
2011-06-01,2011,6,1856292669.2,1746491850.9099996,94.08494037002684,765828437.4200002,401545114.3999999,52.43277668726503
2011-07-01,2011,7,1839488326.2,1587188072.57,86.28421555948658,835123061.84,496005792.75999993,59.393138020541095
2011-08-01,2011,8,1905397245.71,1589120143.1400003,83.40098878162561,837380896.46,420327714.14,50.19552224285525
2011-09-01,2011,9,1780274909.4399998,1524911839.87,85.65597547794872,836388407.77,539726541.24,64.5306099685232
2011-10-01,2011,10,1873826815.11,2469317412.04,131.779382818526,928093692.83,730653799.11,78.7262972213555
2011-11-01,2011,11,2040519059.2,1657541299.98,81.23135593890758,843363793.2,541102346.68,64.16001624007113
2011-12-01,2011,12,2048423321.45,1551048012.84,75.7191151164044,837362770.88,726509163.8499999,86.76157922407967
2012-01-01,2012,1,2056507232.6600008,1486823375.73,72.29847540126859,839233365.66,548704374.25,65.38162050057213
2012-02-01,2012,2,2074724887.01,1792151931.9999998,86.38022049192115,923084618.82,623737310.0999999,67.57097858453514
2012-03-01,2012,3,2107023470.47,1889491084.82,89.67584420872747,865893836.7200003,655055802.23,75.65082166554583
2012-04-01,2012,4,2099199780.47,2070079865.75,98.61280879547918,861376174.1900002,629416383.6000001,73.07102314408398
2012-05-01,2012,5,2107864586.2499995,1916492957.74,90.9210662886813,858517789.3799998,656733438.47,76.49619455693242
2012-06-01,2012,6,2127964683.34,1772215862.87,83.28220278958646,851236738.4999999,620965191.0399998,72.9485891473891
2012-07-01,2012,7,2114452397.16,1920195335.3900003,90.81289027689093,887662650.16,701279686.13,79.00295072723802
2012-08-01,2012,8,2153272558.5700006,1942616248.76,90.21692312143249,913568949.0999998,623542924.0600001,68.25351547622999
2012-09-01,2012,9,2165384293.54,1792422443.31,82.77618197644368,886003587.95,670075638.2800001,75.6289982787084
2012-10-01,2012,10,2137316953.91,1940804554.18,90.80565007588127,878153955.54,768374466.7199999,87.49883341896538
2012-11-01,2012,11,2155079823.78,1955764409.7300005,90.75136745049186,912705900.5199996,701417586.29,76.85033984007099
2012-12-01,2012,12,2181166051.3500004,1736704682.0899997,79.62276329283101,852536840.5,761684617.7100002,89.34330829190719
2013-01-01,2013,1,2190393793.51,1977635642.84,90.2867625309938,907782574.91,655001980.0699999,72.1540595924017
2013-02-01,2013,2,2196785492.11,1843015158.49,83.89600009238019,920114309.38,613848363.6299998,66.71435900650526
2013-03-01,2013,3,2231698385.56,1901932876.79,85.22356287463765,941374431.33,669824057.5,71.15384008822652
2013-04-01,2013,4,2205969538.06,1993677303.7100005,90.37646573593685,947187543.33,726678297.1800001,76.71957916858135
2013-05-01,2013,5,2273301358.36,2155046842.46,94.79811528440246,937090451.03,762556568.9599999,81.37491616970787
2013-06-01,2013,6,2226627870.06,2011009006.55,90.31634938153408,988485659.19,749420085.9,75.81496796970238
2013-07-01,2013,7,2283558749.69,2253310627.0300007,98.67539546928208,971365823.21,792981223.12,81.63569318297552
2013-08-01,2013,8,2429105829.34,2013015074.03,82.87062052693466,972144992.96,896328439.8400003,92.201106453354
2013-09-01,2013,9,2436628565.46,2149122276.6,88.20065179668765,995922580.27,723117826.75,72.60783529518517
2013-10-01,2013,10,2437844029.23,2306542299.99,94.61402256806916,1007582820.11,804687788.94,79.86319068562032
2013-11-01,2013,11,2491827564.3099995,2070186643.2900004,83.07904900567414,988604974.16,719944602.4199998,72.82429496490485
2013-12-01,2013,12,2478464301.5599995,1896988027.57,76.5388481236544,1021500985.34,721740999.67,70.65494894552384
2014-01-01,2014,1,2482489541.23,2064470679.07,83.1613041981686,1025969911.37,792687245.5799998,77.26223125993113
2014-02-01,2014,2,2521553698.13,1929327839.0,76.5134544003882,1049301285.69,896055194.9200001,85.39541570567806
2014-03-01,2014,3,2520440174.6400003,2507113171.9500003,99.47124304619118,1053493338.61,627300002.5,59.544752634855016
2014-04-01,2014,4,2570372416.8900003,1996372892.71,77.66862418814367,1055229840.94,745776327.0700002,70.67430223596234
2014-05-01,2014,5,2573343937.93,2276653744.7000003,88.47063585800127,1082663266.96,820902101.14,75.82247649770211
2014-06-01,2014,6,2607129744.4100003,2228477760.26,85.47628920417652,1080784219.88,871993342.32,80.68153904179114
2014-07-01,2014,7,2605010528.9100003,2479597964.15,95.18571754823289,1097691132.1899998,897695923.78,81.78037495748097
2014-08-01,2014,8,2641711428.1,2266847157.74,85.8097948787081,1097996107.5,812660906.84,74.01309542802728
2014-09-01,2014,9,2632595292.93,2275388980.64,86.43140047962177,1126866812.9400003,835945682.6,74.18318411729726
2014-10-01,2014,10,2657798422.2800007,2470660386.53,92.9589078621898,1126810702.47,954917605.96,84.74516650106308
2014-11-01,2014,11,2675449300.7900004,2175762884.8,81.32327097947794,1133029891.96,819326136.69,72.31284386263351
2014-12-01,2014,12,2682317580.7000003,2153262737.7200003,80.27620417557218,1144408300.87,904634977.71,79.04827123521213
2015-01-01,2015,1,2705643297.200001,2081759516.0500004,76.94138832729203,1119188443.37,826258900.03,73.82661114173439
2015-02-01,2015,2,2715448017.11,2264248870.78,83.38398881190139,1240608148.05,847603528.0099999,68.32161543854693
2015-03-01,2015,3,2770005493.0799994,2595134095.73,93.68696568339443,1199510211.7,838559937.1999999,69.90852841607366
2015-04-01,2015,4,2782022911.95,2346390612.8900003,84.34116781753418,1205440335.24,852802562.3999999,70.746144580454
2015-05-01,2015,5,2799073089.2299995,2339120787.24,83.56769232787244,1202682411.4400003,880970118.14,73.25043667057486
2015-06-01,2015,6,2806997125.22,2313401009.16,82.41551045331713,1178317914.38,885239496.7100003,75.12739014714802
2015-07-01,2015,7,2813081447.420001,2586382821.049999,91.9412704321833,1221511075.4300003,934417220.95,76.49682755607134
2015-08-01,2015,8,2831379086.99,2424265538.67,85.62136909922586,1213614557.0799997,877113633.9499999,72.27283397624753
2015-09-01,2015,9,2821322656.9500003,2569734382.52,91.08261248282815,1235360387.94,935553719.08,75.73123828586274
2015-10-01,2015,10,2908608802.8,2881131461.4300003,99.05530983253752,1220679265.9899998,1029239482.75,84.31694642697666
2015-11-01,2015,11,3330042397.8499994,2594939516.1600003,77.92511944698934,1236817320.1600003,938341822.94,75.86745493009523
2015-12-01,2015,12,3115811309.93,2571222412.59,82.52176261109231,1247676468.5000002,877146296.18,70.30238353653776
2016-01-01,2016,1,3179404653.84,2469937184.97,77.68552461502112,1254840295.2800002,900784099.74,71.78476042953358
2016-02-01,2016,2,3160515186.95,2799774567.149999,88.58601846656123,1249512078.7,1019746167.0899998,81.61154937781393
2016-03-01,2016,3,3274096258.17,2873125490.5100007,87.75323826660751,1283491514.0900002,983915049.48,76.65925630818052
2016-04-01,2016,4,3256461991.3600006,2932917555.11,90.06454129947087,1281876256.1000004,1074297294.6999998,83.80663028804808
2016-05-01,2016,5,3294718018.9000006,2716543805.0000005,82.45148111057365,1275171621.6700003,938384240.53,73.58885851781
2016-06-01,2016,6,3283591760.44,2837028818.17,86.40016863088482,1233786592.13,927649889.87,75.18722409428297
2016-07-01,2016,7,3337634640.48,3126183854.3100004,93.6646514988354,1203092575.8300002,954384688.01,79.32761843797272
2016-08-01,2016,8,3314348964.47,3008924337.52,90.78477763735296,1161136004.4299996,882124891.5699998,75.97084994389041
2016-09-01,2016,9,3359480091.72,2779250080.94,82.72857719234374,1117499856.2300005,860413226.8000002,76.99448210245788
2016-10-01,2016,10,3363639470.18,2996388153.1800003,89.08172768645902,1102533829.65,855025926.1899998,77.55099237738841
2016-11-01,2016,11,3367714014.53,2969236879.3,88.16772643072512,1063744438.12,825441651.7699999,77.59774079090249
2016-12-01,2016,12,3384694766.94,2766803404.8299994,81.74454700774638,1040531793.27,786754289.4599999,75.61078811321346
2017-01-01,2017,1,3381768685.540001,2760351569.3300004,81.6244937488747,1068425424.4600004,810869001.83,75.89383248155355
2017-02-01,2017,2,3414345451.3800006,2822554872.87,82.66752480271695,1040777661.37,810424161.5299999,77.8671748645354
2017-03-01,2017,3,3435788994.7200003,3421313040.1400003,99.57867160636911,1023684313.3300002,909472147.65,88.8430286375618
2017-04-01,2017,4,3506261655.5,2784967733.62,79.42840572811893,994520808.41,711329647.2299999,71.52486315165645
2017-05-01,2017,5,3544386655.3600006,3259579835.1,91.96456685025316,981166622.31,745888064.9400002,76.0205298447603
2017-06-01,2017,6,3553271306.1900005,3159992684.36,88.93192813211625,949718017.47,740528972.9799999,77.97356261100859
2017-07-01,2017,7,3599564488.170001,3380326794.2499995,93.90932723554398,957660999.63,787311129.97,82.21188189496952
2017-08-01,2017,8,3581714111.44,3281394489.4500003,91.6151984037258,934661600.68,671517644.7599999,71.84607180518026
2017-09-01,2017,9,3608146259.16,2968108852.85,82.26132311889693,928339878.51,663067412.64,71.42507049295712
2017-10-01,2017,10,3605597653.82,3590999468.15,99.5951243851478,914477487.4,747917544.4399999,81.78632659032914
2017-11-01,2017,11,3999778450.8800006,3247271779.19,81.18629116759105,906865406.67,695687571.11,76.71343134198462
2017-12-01,2017,12,4072453536.64,3039306422.57,74.63084342707066,900661137.7300001,597314598.4300001,66.31957052520931
2018-01-01,2018,1,4047479833.79,3343823124.31,82.61494217696679,921640390.66,721436762.7400001,78.27746809396763
2018-02-01,2018,2,4073365101.91,3287380706.2299995,80.70429789582444,916554301.88,704981434.4,76.91649397684021
2018-03-01,2018,3,4084110435.87,3602503409.319999,88.20778639284251,907518214.33,731881496.8000001,80.64648017454189
2018-04-01,2018,4,4161883396.44,3492104896.8899994,83.90684130836253,883139733.75,701890978.8699999,79.47677497077623
2018-05-01,2018,5,4143137524.39,3428517538.31,82.75171939446508,886784415.2199999,731868019.4300001,82.53054596684956
2018-06-01,2018,6,4188784873.39,3641234408.77,86.92817890700447,878846492.2800001,731747987.0400001,83.26232094772537
2018-07-01,2018,7,4194079945.84,3742332364.94,89.2289229882688,866601332.5099999,698679677.56,80.6229636800077
2018-08-01,2018,8,4177635566.2199993,3841326486.0,91.94977458207782,671188700.2600001,550443814.83,82.01029227946972
2018-09-01,2018,9,4261789054.200001,3448294600.36,80.91190240778575,661601547.8299999,531519222.4100001,80.33826767082704
2018-10-01,2018,10,4260792550.39,3954974824.06,92.82251546600158,672712682.9000001,586193863.39,87.13881546917985
2018-11-01,2018,11,4298131079.329999,3918413377.78,91.16551602215932,631517953.9399999,566212096.7800001,89.65890728006056
2018-12-01,2018,12,4297636215.170001,3103493979.5799994,72.21397587411282,672969682.78,429992558.73,63.89478898272577
2019-01-01,2019,1,4304522851.68,3653944586.730001,84.8861700270429,685907638.45,609461444.56,88.85473938404424
2019-02-01,2019,2,4334386692.160001,3467408127.9500003,79.99766458820613,682146280.1,517260523.92,75.82838740162471
2019-03-01,2019,3,4358933841.18,4108687174.25,94.25899368864346,692952886.95,580697769.6,83.80046905582778
2019-04-01,2019,4,4373649111.339999,3648066741.96,83.41013760114618,701520986.68,555494864.86,79.18435448224017
2019-05-01,2019,5,4379651734.16,4169564415.01,95.20310444980409,703087589.71,622851743.6000001,88.58807248424134
2019-06-01,2019,6,4374922588.98,3777713343.68,86.34926142912079,692102266.4699999,603306753.18,87.17017446816165
2019-07-01,2019,7,4408878490.03,4469727170.410001,101.38013965496216,708005871.5899999,649639707.67,91.75625990375976
2019-08-01,2019,8,4429619369.059999,4435796630.879999,100.13945355809004,720237462.8299998,596756857.8600001,82.85557037191424
2019-09-01,2019,9,4420958664.020001,3979044858.19,90.00411812427654,725686636.61,463001755.29,63.80188526729441
2019-10-01,2019,10,4673777408.990001,4466523707.359999,95.5656060720532,736134733.0500001,731431854.0400002,99.36113882434069
2019-11-01,2019,11,5086945316.4400015,4095419531.74,80.5084245451669,733157640.42,638240828.49,87.05369668170879
2019-12-01,2019,12,5034608189.98,3757380533.38,74.63104161428153,752063365.1600001,617809408.0699999,82.14858437341408
2020-01-01,2020,1,5124309462.450001,4407891696.39,86.01923300476331,755129884.69,628182096.6899999,83.18861555159938
2020-02-01,2020,2,5076739372.22,4238265887.64,83.48401556384516,764548784.2199999,698589792.27,91.3728210270726
2020-03-01,2020,3,5117906539.36,3244465828.3699994,63.39439384869509,761792553.0200001,504356977.74,66.20660385042628
2020-04-01,2020,4,4753945735.43,1831270095.56,38.52105592859401,758048673.05,220893232.28000003,29.139716238963747
2020-05-01,2020,5,5048843008.74,2879907894.13,57.040947582339584,747256767.5300001,462884579.38000005,61.94451485665758
2020-06-01,2020,6,5045558895.18,3731781607.170001,73.96170939031065,756660293.8899999,533706684.09,70.53451706130996
