Periodo de Cobertura,Year,Month,Cotizante,Total general,Total Región Distrito Nacional,Total Región Este,Total Región Norte,Total Región Sur
2007-09-01,2007,9,SI,805496,334858,66088,161131,58092
2007-10-01,2007,10,SI,903242,362220,71774,191360,73683
2007-11-01,2007,11,SI,915500,362981,72303,194285,74948
2007-12-01,2007,12,SI,941619,371593,73465,197388,76237
2008-01-01,2008,1,SI,939349,369779,75946,198171,76239
2008-02-01,2008,2,SI,932574,367354,76014,195309,75611
2008-03-01,2008,3,SI,951361,370943,76629,200056,77008
2008-04-01,2008,4,SI,969551,370061,77058,201124,76648
2008-05-01,2008,5,SI,962794,369689,77113,200992,76890
2008-06-01,2008,6,SI,982560,375269,76718,203917,78576
2008-07-01,2008,7,SI,975992,372065,75885,201743,77978
2008-08-01,2008,8,SI,987719,371905,74741,201591,78196
2008-09-01,2008,9,SI,982420,370381,74358,201381,77378
2008-10-01,2008,10,SI,990262,375576,75435,203680,78929
2008-11-01,2008,11,SI,988605,372502,73139,201686,78984
2008-12-01,2008,12,SI,981402,369213,73133,200252,78212
2009-01-01,2009,1,SI,990803,372972,74694,199873,78862
2009-02-01,2009,2,SI,991334,371580,76437,198586,79108
2009-03-01,2009,3,SI,995438,369837,76775,201711,79634
2009-04-01,2009,4,SI,1007585,373054,76793,203908,80077
2009-05-01,2009,5,SI,998016,369131,76457,203716,78980
2009-06-01,2009,6,SI,1010032,374258,76206,206166,79830
2009-07-01,2009,7,SI,1029884,375807,75306,208022,80674
2009-08-01,2009,8,SI,1077250,403165,79266,217445,85950
2009-09-01,2009,9,SI,1086332,405179,80122,220644,87104
2009-10-01,2009,10,SI,1087741,406085,78913,222724,87336
2009-11-01,2009,11,SI,1095545,410510,78760,223146,88609
2009-12-01,2009,12,SI,1101692,411502,80534,225483,89233
2010-01-01,2010,1,SI,1106637,412758,82072,225417,89118
2010-02-01,2010,2,SI,1109888,412746,82647,225062,89693
2010-03-01,2010,3,SI,1132104,416544,83171,228739,90007
2010-04-01,2010,4,SI,1149674,420343,84299,232430,90429
2010-05-01,2010,5,SI,1141771,418309,84385,231363,90039
2010-06-01,2010,6,SI,1130230,411909,83159,229599,88485
2010-07-01,2010,7,SI,1141222,417203,83065,230323,88804
2010-08-01,2010,8,SI,1144899,416592,83393,232957,89192
2010-09-01,2010,9,SI,1150815,421356,82932,233715,88605
2010-10-01,2010,10,SI,1154310,423073,83074,234628,88913
2010-11-01,2010,11,SI,1166916,431200,83389,241010,91970
2010-12-01,2010,12,SI,1181150,433841,85353,242729,93156
2011-01-01,2011,1,SI,1182984,432759,85666,241467,93231
2011-02-01,2011,2,SI,1181928,429409,85756,240023,92353
2011-03-01,2011,3,SI,1194822,430774,86766,243292,93452
2011-04-01,2011,4,SI,1209403,434047,87739,247087,94716
2011-05-01,2011,5,SI,1183558,429608,85727,240339,90671
2011-06-01,2011,6,SI,1198763,433112,86348,248317,93703
2011-07-01,2011,7,SI,1214674,437659,87651,250742,95595
2011-08-01,2011,8,SI,1219579,438571,87654,251427,110883
2011-09-01,2011,9,SI,1215711,436642,87897,252406,103930
2011-10-01,2011,10,SI,1219753,441669,86740,251219,95047
2011-11-01,2011,11,SI,1221054,442794,86675,252029,373424
2011-12-01,2011,12,SI,1226270,443025,88230,253358,96067
2012-01-01,2012,1,SI,1226769,442428,88617,252852,96013
2012-02-01,2012,2,SI,1226796,443891,90096,252093,95915
2012-03-01,2012,3,SI,1245125,448210,90628,256880,97641
2012-04-01,2012,4,SI,1252603,448401,91449,259969,97894
2012-05-01,2012,5,SI,1256915,451938,91579,259572,98698
2012-06-01,2012,6,SI,1265012,453534,91673,262584,98993
2012-07-01,2012,7,SI,1221903,441847,87998,252521,96144
2012-08-01,2012,8,SI,1258081,450557,90685,262184,98377
2012-09-01,2012,9,SI,1271421,454948,90765,263198,98696
2012-10-01,2012,10,SI,1267743,452759,90008,263031,98571
2012-11-01,2012,11,SI,1278081,453758,90249,265934,99120
2012-12-01,2012,12,SI,1283471,454242,91367,266969,99339
2013-01-01,2013,1,SI,1286037,456085,92751,267170,99628
2013-02-01,2013,2,SI,1291590,455977,93578,269305,100095
2013-03-01,2013,3,SI,1305287,457632,94374,274005,101165
2013-04-01,2013,4,SI,1311892,459052,94395,276777,101942
2013-05-01,2013,5,SI,1326079,465800,95196,280155,102747
2013-06-01,2013,6,SI,1335554,466750,94870,282427,102743
2013-07-01,2013,7,SI,1339106,468815,95040,283120,103730
2013-08-01,2013,8,SI,1349030,471443,95229,287527,104526
2013-09-01,2013,9,SI,1352354,472875,95788,288774,104649
2013-10-01,2013,10,SI,1349279,472970,94901,289599,105137
2013-11-01,2013,11,SI,1366360,478562,95828,293003,106289
2013-12-01,2013,12,SI,1374494,480737,97056,294338,106917
2014-01-01,2014,1,SI,1377911,481486,98293,294367,107442
2014-02-01,2014,2,SI,1376298,480088,98469,295586,107909
2014-03-01,2014,3,SI,1387689,482793,99607,299479,109082
2014-04-01,2014,4,SI,1408893,490039,100805,305995,111169
2014-05-01,2014,5,SI,1423585,493828,101393,310340,112596
2014-06-01,2014,6,SI,1434366,497793,101511,313728,113576
2014-07-01,2014,7,SI,1435833,498770,101609,315444,114229
2014-08-01,2014,8,SI,1449086,503594,101849,319439,115277
2014-09-01,2014,9,SI,1452677,504917,102169,320944,115579
2014-10-01,2014,10,SI,1462438,509689,103140,323969,116924
2014-11-01,2014,11,SI,1481830,513292,104122,328476,118984
2014-12-01,2014,12,SI,1490278,515680,105284,330182,120059
2015-01-01,2015,1,SI,1495602,518392,106855,330563,120817
2015-02-01,2015,2,SI,1488867,515780,107219,330194,120676
2015-03-01,2015,3,SI,1501745,516370,106912,333127,121085
2015-04-01,2015,4,SI,1532659,525918,109534,342923,123839
2015-05-01,2015,5,SI,1546837,530202,110435,346646,124393
2015-06-01,2015,6,SI,1555911,532245,110429,348879,125362
2015-07-01,2015,7,SI,1558424,532712,110503,349022,126303
2015-08-01,2015,8,SI,1562783,537129,111699,349784,126452
2015-09-01,2015,9,SI,1554147,534051,110466,346225,125855
2015-10-01,2015,10,SI,1578705,541033,110826,352034,128649
2015-11-01,2015,11,SI,1592092,546408,111417,355331,129993
2015-12-01,2015,12,SI,1590486,549368,111576,354978,130570
2016-01-01,2016,1,SI,1599437,552893,113415,355566,130961
2016-02-01,2016,2,SI,1595386,551516,113522,354669,130370
2016-03-01,2016,3,SI,1652491,584364,115925,364158,136597
2016-04-01,2016,4,SI,1657142,584401,115959,366484,135308
2016-05-01,2016,5,SI,1669320,589076,116709,370384,136706
2016-06-01,2016,6,SI,1665658,588865,116042,369153,137058
2016-07-01,2016,7,SI,1679321,592517,117489,372322,137640
2016-08-01,2016,8,SI,1674386,593451,117315,369942,137510
2016-09-01,2016,9,SI,1682937,597241,118600,373417,138365
2016-10-01,2016,10,SI,1694688,601911,119315,374968,140078
2016-11-01,2016,11,SI,1692165,602057,119724,376323,139764
2016-12-01,2016,12,SI,1704098,608265,121342,377865,141429
2017-01-01,2017,1,SI,1715960,612294,124114,378527,142410
2017-02-01,2017,2,SI,1716821,612631,124887,379654,142454
2017-03-01,2017,3,SI,1731027,615823,125848,384178,144097
2017-04-01,2017,4,SI,1788977,646152,127440,390910,149886
2017-05-01,2017,5,SI,1811612,656957,128502,393999,153462
2017-06-01,2017,6,SI,1812549,656570,128359,393185,153049
2017-07-01,2017,7,SI,1825985,660102,128979,396494,154038
2017-08-01,2017,8,SI,1814337,655061,129594,394248,152846
2017-09-01,2017,9,SI,1822531,659424,128752,395515,152612
2017-10-01,2017,10,SI,1827016,659663,131063,396361,153081
2017-11-01,2017,11,SI,1838822,663981,134416,396947,155231
2017-12-01,2017,12,SI,1863692,670451,138372,399713,156379
2018-01-01,2018,1,SI,1857920,670594,135180,398968,156427
2018-02-01,2018,2,SI,1854925,669049,134995,399851,156266
2018-03-01,2018,3,SI,1877249,675263,136528,405094,157827
2018-04-01,2018,4,SI,1894026,680439,137879,409448,159003
2018-05-01,2018,5,SI,1896726,681514,138150,410777,159286
2018-06-01,2018,6,SI,1912414,687187,138300,414349,160637
2018-07-01,2018,7,SI,1919819,690112,138747,416678,161473
2018-08-01,2018,8,SI,1924675,693138,138726,417904,161608
2018-09-01,2018,9,SI,1933597,696736,137906,419557,162290
2018-10-01,2018,10,SI,1935394,697688,137730,421809,162431
2018-11-01,2018,11,SI,1957492,706304,138519,427445,164034
2018-12-01,2018,12,SI,1969847,711342,139474,430045,165787
2019-01-01,2019,1,SI,1971943,714748,141786,427496,165796
2019-02-01,2019,2,SI,1977661,715679,142700,429662,165556
2019-03-01,2019,3,SI,1993660,720591,143582,436753,167060
2019-04-01,2019,4,SI,2004309,724155,145505,442516,170789
2019-05-01,2019,5,SI,2005816,517188,199948,684646,380167
2019-06-01,2019,6,SI,2014677,520776,200231,685346,380727
2019-07-01,2019,7,SI,2017912,523276,199771,684015,379714
2019-08-01,2019,8,SI,2023261,526855,198081,685149,379696
2019-09-01,2019,9,SI,2031616,530995,198166,686556,379357
2019-10-01,2019,10,SI,2037310,534619,197652,686275,379554
2019-11-01,2019,11,SI,2045932,540969,196637,686054,380450
2019-12-01,2019,12,SI,1988233,539068,193454,652086,371194
2020-01-01,2020,1,SI,2026522,543270,196769,668033,375751
2020-02-01,2020,2,SI,2024980,543750,197259,666377,374765
2020-03-01,2020,3,SI,2034994,545957,198110,668414,376867
2020-04-01,2020,4,SI,1883962,505207,185288,617618,350955
2020-05-01,2020,5,SI,1456151,403266,131799,446288,293548
2020-06-01,2020,6,SI,1488437,406139,125963,473183,296930
2020-07-01,2020,7,SI,1693498,456546,143870,558709,326636
2020-08-01,2020,8,SI,1756207,475502,149749,582671,335351
2020-09-01,2020,9,SI,1745176,480381,145984,575133,332770
2020-10-01,2020,10,SI,1791514,488963,150211,598322,336916
2020-11-01,2020,11,SI,1787700,496945,149428,590472,334744
2020-12-01,2020,12,SI,1835672,513868,153539,607652,337489
2021-01-01,2021,1,SI,1826674,518976,157798,594307,330622
2021-02-01,2021,2,SI,1844114,527488,157543,599999,330371
2021-03-01,2021,3,SI,1885997,546011,159662,612749,333882
2021-04-01,2021,4,SI,1883204,556856,160703,602370,331648
2021-05-01,2021,5,SI,1919585,569977,165850,613404,333736
2021-06-01,2021,6,SI,1949615,585624,168083,619518,336281
2021-07-01,2021,7,SI,1964809,590144,171746,622989,336781
2021-08-01,2021,8,SI,1985796,600616,175287,626089,338192
2021-09-01,2021,9,SI,1901492,580034,171147,594624,321176
2021-10-01,2021,10,SI,2018081,619648,178941,629880,339307
2021-11-01,2021,11,SI,2047574,632522,181690,635489,342421
2021-12-01,2021,12,SI,2050366,638418,184398,628845,341832
2022-01-01,2022,1,SI,2081437,648110,188104,637596,345548
2022-02-01,2022,2,SI,2074361,646452,188437,635345,342106
2022-03-01,2022,3,SI,2115680,664080,191126,644228,348793
2022-04-01,2022,4,SI,2125813,669904,191685,646970,347477
2022-05-01,2022,5,SI,2132337,674538,191962,647189,347096
2022-06-01,2022,6,SI,2152356,685592,192657,649815,348664
2022-07-01,2022,7,SI,2166915,693662,193870,651900,349557
2022-08-01,2022,8,SI,2180443,701138,195068,653490,350678
2022-09-01,2022,9,SI,2186655,707453,194583,653202,350244
2022-10-01,2022,10,SI,2194684,714347,193691,654388,349961
2022-11-01,2022,11,SI,2205793,721775,194464,653841,350994
2022-12-01,2022,12,SI,2219339,727776,195430,656452,351872
2023-01-01,2023,1,SI,2197697,723273,193602,646697,347881
2023-02-01,2023,2,SI,2211844,730159,195244,649989,348333
2023-03-01,2023,3,SI,2240549,742140,196957,657837,351246
2023-04-01,2023,4,SI,2218391,740101,195773,643367,347757
2023-05-01,2023,5,SI,2232606,747279,196357,646594,349013
2023-06-01,2023,6,SI,2242166,754572,195961,648278,348977
2023-07-01,2023,7,SI,2213092,748963,192840,634921,345608
2023-08-01,2023,8,SI,2213792,753046,193029,631562,344659
2023-09-01,2023,9,SI,2225126,759778,192966,633705,345389
