Periodo de Cobertura,Year,Month,Cotizante,Total general,Total Región Distrito Nacional,Total 0 - Santo Domingo,Total Región Este,Total V - Este,Total Región Norte,Total II - Norcentral,Total III - Nordeste,Total VII - Cibao Occidental,Total VIII - Cibao Central,Total Región Sur,Total I - Valdesia,Total IV - Enriquillo,Total VI - El Valle
2007-09-01,2007,9,SI,805496,334858,334858,66088,66088,161131,102943,18234,12494,27460,58092,34027,11060,13005
2007-10-01,2007,10,SI,903242,362220,362220,71774,71774,191360,113590,25669,17162,34939,73683,39397,15992,18294
2007-11-01,2007,11,SI,915500,362981,362981,72303,72303,194285,115883,25594,17286,35522,74948,40537,16041,18370
2007-12-01,2007,12,SI,941619,371593,371593,73465,73465,197388,115896,26242,17757,37493,76237,41005,16327,18905
2008-01-01,2008,1,SI,939349,369779,369779,75946,75946,198171,116903,26358,17450,37460,76239,41199,16232,18808
2008-02-01,2008,2,SI,932574,367354,367354,76014,76014,195309,114549,26446,17356,36958,75611,40558,16475,18578
2008-03-01,2008,3,SI,951361,370943,370943,76629,76629,200056,117804,26554,17569,38129,77008,41665,16569,18774
2008-04-01,2008,4,SI,969551,370061,370061,77058,77058,201124,118913,26615,17499,38097,76648,41192,16517,18939
2008-05-01,2008,5,SI,962794,369689,369689,77113,77113,200992,119025,26691,17627,37649,76890,41354,16492,19044
2008-06-01,2008,6,SI,982560,375269,375269,76718,76718,203917,120215,26984,17990,38728,78576,42194,16874,19508
2008-07-01,2008,7,SI,975992,372065,372065,75885,75885,201743,119575,26751,18077,37340,77978,41761,16720,19497
2008-08-01,2008,8,SI,987719,371905,371905,74741,74741,201591,120248,27294,18279,35770,78196,41792,16646,19758
2008-09-01,2008,9,SI,982420,370381,370381,74358,74358,201381,119612,27028,18341,36400,77378,41001,16618,19759
2008-10-01,2008,10,SI,990262,375576,375576,75435,75435,203680,120286,27158,18756,37480,78929,41996,16833,20100
2008-11-01,2008,11,SI,988605,372502,372502,73139,73139,201686,119881,27249,19007,35549,78984,41968,16780,20236
2008-12-01,2008,12,SI,981402,369213,369213,73133,73133,200252,118483,27353,18988,35428,78212,41402,16745,20065
2009-01-01,2009,1,SI,990803,372972,372972,74694,74694,199873,117273,27486,19021,36093,78862,41463,17037,20362
2009-02-01,2009,2,SI,991334,371580,371580,76437,76437,198586,116318,27789,18992,35487,79108,41630,17093,20385
2009-03-01,2009,3,SI,995438,369837,369837,76775,76775,201711,117967,28132,18982,36630,79634,41848,17085,20701
2009-04-01,2009,4,SI,1007585,373054,373054,76793,76793,203908,119401,28535,19069,36903,80077,42053,17041,20983
2009-05-01,2009,5,SI,998016,369131,369131,76457,76457,203716,119323,28604,19296,36493,78980,41372,16824,20784
2009-06-01,2009,6,SI,1010032,374258,374258,76206,76206,206166,120075,29045,19789,37257,79830,41917,16922,20991
