Periodo de Cobertura,Total Afiliados,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 y mas,Year,Month,Sexo
2007-10-01,228124,46255,56124,52793,32811,4763,1937,4142,5567,6379,5797,4755,3195,1743,977,487,248,90,61,2007,10,M
2007-11-01,239314,48181,59325,55658,34589,4890,1979,4176,5738,6538,5943,4941,3332,1856,1062,581,311,133,81,2007,11,M
2007-12-01,252918,50791,63102,59451,36684,3879,2120,4433,6119,6891,6320,5230,3565,2001,1137,628,343,140,84,2007,12,M
2008-01-01,257925,51163,64515,60949,37556,3883,2114,4449,6234,7046,6445,5307,3640,2072,1192,682,387,173,118,2008,1,M
2008-02-01,266391,53041,66536,62608,38674,3805,2206,4657,6454,7313,6641,5454,3780,2198,1339,836,479,224,146,2008,2,M
2008-03-01,271570,53660,67742,63638,39274,3868,2243,4758,6658,7633,6840,5605,3962,2341,1441,930,549,269,159,2008,3,M
2008-04-01,279983,55204,69426,65289,40112,4214,2651,5180,6990,7897,7044,5784,4099,2470,1514,1006,620,308,175,2008,4,M
2008-05-01,293060,57957,72952,68336,41936,4231,2739,5392,7324,8224,7299,5995,4243,2583,1593,1062,675,333,186,2008,5,M
2008-06-01,304028,59631,75352,70799,43285,4373,2845,5672,7650,8652,7808,6449,4574,2803,1717,1116,737,357,208,2008,6,M
2008-07-01,320500,61099,77414,72721,45186,6251,4618,7048,8768,9461,8402,6889,4894,3059,1927,1253,853,408,249,2008,7,M
2008-08-01,317474,60565,75951,71031,44122,5854,4697,7190,8971,9716,8644,7213,5194,3235,2094,1356,919,445,277,2008,8,M
2008-09-01,320786,60846,76804,71802,44717,5816,4639,7279,8995,9828,8854,7336,5305,3337,2149,1384,950,467,278,2008,9,M
2008-10-01,328026,61345,78464,73376,45940,5957,4837,7498,9248,10105,9170,7533,5542,3500,2262,1467,997,493,292,2008,10,M
2008-11-01,330133,61886,79156,74090,46313,5631,4567,7280,9240,10088,9207,7668,5589,3594,2375,1546,1050,536,317,2008,11,M
2008-12-01,334429,62838,80481,75512,47206,5377,4382,7178,9202,9994,9255,7661,5660,3651,2406,1589,1112,575,350,2008,12,M
2009-01-01,348233,66342,83773,78544,48906,5520,4579,7357,9531,10395,9423,7892,5839,3789,2499,1682,1190,607,365,2009,1,M
2009-02-01,357791,67906,85298,80236,49790,5791,5046,8005,10051,10815,9809,8246,6148,3947,2654,1769,1250,639,391,2009,2,M
2009-03-01,363869,69255,86587,81569,50725,6132,5146,8001,10035,10861,9832,8359,6232,4084,2750,1869,1315,700,417,2009,3,M
2009-04-01,375469,71944,89402,83955,52331,5812,4975,7971,10179,11053,10038,8512,6484,4332,3026,2216,1646,945,648,2009,4,M
2009-05-01,379437,72671,89858,84673,52847,5844,5173,8107,10331,11156,10168,8650,6648,4457,3090,2336,1717,1013,698,2009,5,M
2009-06-01,392879,75001,92114,86977,55168,6668,5365,8485,10769,11667,10515,9062,6968,4708,3285,2476,1824,1088,739,2009,6,M
2009-07-01,405696,77504,94816,89706,57103,6866,5604,8794,11012,12021,10884,9275,7238,4972,3449,2622,1918,1139,773,2009,7,M
2009-08-01,422898,80928,99243,94103,59803,7001,5572,8911,11376,12149,11080,9528,7526,5253,3660,2762,1982,1222,799,2009,8,M
2009-09-01,429951,82037,100597,95694,61196,7053,5584,9043,11454,12320,11279,9797,7693,5477,3718,2850,2053,1265,841,2009,9,M
2009-10-01,440519,83713,102890,98153,62443,7280,5659,9344,11829,12679,11638,10084,8053,5674,3811,2953,2145,1305,866,2009,10,M
2009-11-01,448201,85717,104229,99979,63464,7303,5729,9374,11999,12829,11760,10280,8207,5860,3944,3048,2230,1355,894,2009,11,M
2009-12-01,454226,87100,105769,101818,64536,7141,5517,9344,11884,12789,11847,10333,8253,6023,4025,3157,2299,1464,927,2009,12,M
2010-01-01,464138,89246,107561,103700,65969,7214,5685,9715,12270,13158,12156,10535,8498,6204,4103,3300,2340,1514,970,2010,1,M
2010-02-01,469763,89471,107994,104296,66364,7733,5979,10167,12753,13609,12556,10965,8813,6494,4226,3381,2415,1549,998,2010,2,M
2010-03-01,481150,93452,110578,106763,67962,8017,5978,10111,12657,13638,12635,10995,8860,6619,4372,3475,2449,1590,999,2010,3,M
2010-04-01,490428,95919,112626,108593,69080,8020,6075,10297,12903,13919,12841,11245,9089,6802,4431,3547,2437,1607,997,2010,4,M
2010-05-01,495196,96739,113205,109150,69444,8058,6205,10502,13151,14144,13095,11445,9321,7029,4615,3690,2585,1736,1082,2010,5,M
2010-06-01,499027,97216,113123,109027,69850,8483,6721,10945,13436,14506,13231,11593,9486,7208,4769,3819,2690,1800,1124,2010,6,M
2010-07-01,505771,98100,114005,110326,70540,8592,6866,11176,13715,14785,13635,11928,9742,7534,4945,3979,2802,1917,1184,2010,7,M
2010-08-01,512485,98922,115300,111775,71464,8682,6953,11282,14039,15148,13935,12061,9969,7732,5088,4060,2907,1945,1223,2010,8,M
2010-09-01,522507,99890,116621,113956,72716,9073,7343,11638,14458,15500,14337,12411,10578,8133,5334,4223,2980,2030,1286,2010,9,M
2010-10-01,528599,100407,117181,115126,73398,9233,7405,11844,14907,15996,14794,12821,10717,8242,5590,4386,3106,2111,1335,2010,10,M
2010-11-01,534627,102143,118640,116946,74611,9381,7400,11956,14862,16015,14844,12640,10658,8116,5470,4346,3084,2148,1367,2010,11,M
2010-12-01,540432,102910,119686,118462,75583,9314,7264,12161,15055,16276,15056,12798,10751,8314,5600,4433,3138,2216,1415,2010,12,M
2011-01-01,540529,103061,119334,118871,75740,9218,7150,12099,14923,16208,15092,12765,10795,8304,5595,4487,3205,2236,1446,2011,1,M
2011-02-01,547967,104059,119960,119961,76298,9929,7602,12448,15316,16679,15475,13029,11141,8561,5793,4637,3298,2295,1486,2011,2,M
