Total general,Total Región Distrito Nacional,Total 0 - Santo Domingo,Distrito Nacional,Monte Plata,Santo Domingo,Total Región Este,Total V - Este,El Seybo,Hato Mayor del Rey,La Altagracia,La Romana,San Pedro de Macorís,Total Región Norte,Total II - Norcentral,Espaillat,Puerto Plata,Santiago,Total III - Nordeste,Duarte,Hermanas Mirabal,Maria Trinidad Sanchez,Samaná,Total VII - Cibao Occidental,Dajabon,Montecristi,Santiago Rodriguez,Valverde,Total VIII - Cibao Central,La vega,Monseñor Nouel,Sanchez Ramirez,Total Región Sur,Total I - Valdesia,Peravia,San Cristóbal,San José de Ocoa,Total IV - Enriquillo,Bahoruco,Barahona,Independencia,Pedernales,Total VI - El Valle,Azua,Elias Piña,San Juan de la Maguana,No Especificada,Month,Year,Periodo de Cobertura
402546,204426,204426,181566,2568,20292,26384,26384,1285,1589,5528,10386,7596,84400,50189,4460,9264,36465,11068,5978,1802,2274,1014,7113,1570,1709,1341,2493,16030,7765,5312,2953,36287,20126,2832,16273,1021,7110,1490,3708,1229,683,9051,3482,974,4595,51049,9,2007,2007-09-01
481568,225383,225383,192688,5375,27320,31958,31958,1930,2649,6549,11299,9531,117411,63229,6822,12025,44382,19003,9253,3561,3978,2211,11287,2500,2564,2356,3867,23892,11868,6806,5218,55349,26640,3977,20529,2134,12958,3082,6657,2211,1008,15751,6058,1731,7962,51467,10,2007,2007-10-01
506475,236631,236631,200037,5511,31083,33376,33376,1978,2773,6842,11623,10160,125865,68810,7284,12899,48627,19834,9753,3748,4025,2308,11915,2570,2696,2464,4185,25306,12568,7152,5586,58319,28420,4306,21861,2253,13522,3228,6957,2304,1033,16377,6219,1829,8329,52284,11,2007,2007-11-01
535562,249104,249104,210683,5910,32511,36404,36404,2186,3092,6934,12828,11364,134515,72518,7890,13307,51321,21586,11019,3888,4228,2451,12560,2725,2879,2548,4408,27851,14075,7816,5960,62313,30179,4538,23297,2344,14460,3525,7428,2454,1053,17674,6911,1989,8774,53226,12,2007,2007-12-01
546150,253946,253946,214410,6039,33497,37815,37815,2262,3179,7336,13211,11827,137345,74339,8051,13773,52515,21984,11352,3912,4232,2488,12681,2754,2887,2538,4502,28341,14463,7861,6017,63379,31045,4616,24045,2384,14535,3451,7518,2465,1101,17799,6869,1996,8934,53665,1,2008,2008-01-01
565039,262909,262909,222015,6096,34798,39533,39533,2350,3238,7620,13628,12697,142874,77709,8458,14369,54882,22826,11807,4066,4410,2543,13151,2854,3002,2540,4755,29188,14608,8243,6337,65016,32305,4722,25126,2457,14523,3352,7591,2455,1125,18188,7014,2038,9136,54707,2,2008,2008-02-01
577657,269173,269173,227074,6300,35799,40170,40170,2375,3309,7786,13765,12935,145991,79233,8522,14509,56202,23107,12031,4118,4365,2593,13509,2905,3107,2629,4868,30142,15215,8495,6432,66998,33600,4852,26265,2483,14839,3393,7739,2585,1122,18559,7134,2083,9342,55325,3,2008,2008-03-01
595369,277030,277030,233424,6482,37124,42382,42382,2475,3376,8124,14910,13497,150942,82306,8807,14899,58600,23833,12460,4259,4508,2606,13867,2922,3211,2683,5051,30936,15660,8631,6645,68009,34038,4905,26571,2562,15116,3492,7871,2610,1143,18855,7230,2107,9518,57006,4,2008,2008-04-01
622228,287199,287199,241782,6649,38768,45429,45429,2687,3612,8774,15507,14849,160754,87823,9328,15849,62646,25171,13129,4541,4786,2715,14689,3076,3400,2851,5362,33071,16506,9430,7135,71578,35850,5128,28071,2651,15796,3626,8276,2741,1153,19932,7625,2248,10059,57268,5,2008,2008-05-01
644595,296375,296375,248374,7134,40867,46867,46867,2801,3773,8991,15669,15633,168172,91414,10009,16514,64891,26351,13752,4767,5039,2793,15559,3193,3666,3033,5667,34848,17669,9617,7562,75345,37303,5436,29098,2769,17026,3935,8894,2922,1275,21016,8111,2351,10554,57836,6,2008,2008-06-01
675951,307335,307335,257185,7244,42906,51417,51417,2954,4101,9934,17260,17168,176824,96582,10815,17286,68481,27853,14541,4966,5417,2929,16150,3288,3772,3137,5953,36239,18443,9821,7975,78124,38917,5782,30293,2842,17579,4090,9171,2983,1335,21628,8347,2407,10874,62251,7,2008,2008-07-01
672797,303801,303801,253347,7175,43279,50110,50110,2880,3846,9532,16871,16981,181462,99802,11140,17375,71287,28551,15135,5036,5455,2925,16638,3303,3933,3162,6240,36471,18799,9715,7957,78919,39245,5828,30555,2862,17681,4143,9225,2981,1332,21993,8649,2438,10906,58505,8,2008,2008-08-01
678652,305281,305281,254485,7204,43592,51186,51186,3000,3966,9567,17582,17071,184752,101933,11521,17532,72880,28895,15301,5116,5536,2942,17195,3354,4020,3222,6599,36729,18948,9781,8000,79065,39273,5896,30502,2875,17648,4092,9150,3069,1337,22144,8726,2478,10940,58368,9,2008,2008-09-01
694086,311597,311597,259403,7443,44751,53348,53348,3098,4117,9906,18147,18080,189107,104365,11890,17718,74757,29466,15572,5231,5685,2978,17440,3383,4004,3227,6826,37836,19513,10108,8215,80920,40457,6057,31452,2948,17811,4117,9254,3084,1356,22652,8919,2506,11227,59114,10,2008,2008-10-01
