Periodo de Cobertura,Year,Month,Total general,Total Región Distrito Nacional,Total 0 - Santo Domingo,Total Región Este,Total V - Este,Total Región Norte,Total II - Norcentral,Total III - Nordeste,Total VII - Cibao Occidental,Total VIII - Cibao Central,Total Región Sur,Total I - Valdesia,Total IV - Enriquillo,Total VI - El Valle
2007-09-01,2007,9,1208042,539284,539284,92472,92472,245531,153132,29302,19607,43490,94379,54153,18170,22056
2007-10-01,2007,10,1384810,587603,587603,103732,103732,308771,176819,44672,28449,58831,129032,66037,28950,34045
2007-11-01,2007,11,1421975,599612,599612,105679,105679,320150,184693,45428,29201,60828,133267,68957,29563,34747
2007-12-01,2007,12,1477181,620697,620697,109869,109869,331903,188414,47828,30317,65344,138550,71184,30787,36579
2008-01-01,2008,1,1485499,623725,623725,113761,113761,335516,191242,48342,30131,65801,139618,72244,30767,36607
2008-02-01,2008,2,1497613,630263,630263,115547,115547,338183,192258,49272,30507,66146,140627,72863,30998,36766
2008-03-01,2008,3,1529018,640116,640116,116799,116799,346047,197037,49661,31078,68271,144006,75265,31408,37333
2008-04-01,2008,4,1564920,647091,647091,119440,119440,352066,201219,50448,31366,69033,144657,75230,31633,37794
2008-05-01,2008,5,1585022,656888,656888,122542,122542,361746,206848,51862,32316,70720,148468,77204,32288,38976
2008-06-01,2008,6,1627155,671644,671644,123585,123585,372089,211629,53335,33549,73576,153921,79497,33900,40524
2008-07-01,2008,7,1651943,679400,679400,127302,127302,378567,216157,54604,34227,73579,156102,80678,34299,41125
2008-08-01,2008,8,1660516,675706,675706,124851,124851,383053,220050,55845,34917,72241,157115,81037,34327,41751
2008-09-01,2008,9,1661072,675662,675662,125544,125544,386133,221545,55923,35536,73129,156443,80274,34266,41903
2008-10-01,2008,10,1684348,687173,687173,128783,128783,392787,224651,56624,36196,75316,159849,82453,34644,42752
2008-11-01,2008,11,1688779,685540,685540,125766,125766,393493,225586,57293,36947,73667,161261,83257,34832,43172
2008-12-01,2008,12,1692259,686660,686660,127158,127158,396414,226810,58128,37304,74172,161320,83102,34909,43309
2009-01-01,2009,1,1732143,703573,703573,132678,132678,405722,230538,59541,38218,77425,165419,85250,35674,44495
2009-02-01,2009,2,1753062,709667,709667,137023,137023,411004,233754,60548,38519,78183,167320,86429,36059,44832
2009-03-01,2009,3,1771270,714394,714394,139495,139495,417461,236904,62086,38802,79669,169666,87819,36254,45593
2009-04-01,2009,4,1812016,732020,732020,142394,142394,427722,242337,63841,39622,81922,173232,89618,36662,46952
2009-05-01,2009,5,1810333,731303,731303,144042,144042,431814,244947,64594,40167,82106,172094,88866,36545,46683
2009-06-01,2009,6,1853218,749991,749991,146897,146897,442584,248559,66588,41641,85796,177180,91807,37294,48079
2009-07-01,2009,7,1902560,762572,762572,149095,149095,454210,253885,68329,43271,88725,181812,94544,38042,49226
2009-08-01,2009,8,1990226,811007,811007,156289,156289,474483,263766,72555,45923,92239,192446,100339,39941,52166
2009-09-01,2009,9,2016376,819858,819858,158329,158329,484177,267839,74507,47452,94379,195612,102074,40354,53184
2009-10-01,2009,10,2040405,829234,829234,159086,159086,494308,271876,76049,48572,97811,199010,103421,41301,54288
2009-11-01,2009,11,2066134,841894,841894,160073,160073,501442,276086,76708,49541,99107,203147,105189,42221,55737
2009-12-01,2009,12,2088299,848287,848287,163547,163547,510593,280478,79805,50293,100017,205770,106572,42838,56360
2010-01-01,2010,1,2116721,859585,859585,167452,167452,518949,283876,81251,51540,102282,207891,107127,43329,57435
2010-02-01,2010,2,2133644,865083,865083,168735,168735,522202,284698,82108,51890,103506,210403,108891,43631,57881
2010-03-01,2010,3,2181022,880668,880668,172019,172019,532958,290336,83467,53033,106122,214272,110915,44323,59034
2010-04-01,2010,4,2220654,892793,892793,174783,174783,545322,297802,83765,53867,109888,217061,112561,44837,59663
2010-05-01,2010,5,2222231,893952,893952,176314,176314,546726,301057,84832,53898,106939,217724,113241,45093,59390
2010-06-01,2010,6,2218190,888139,888139,176215,176215,548791,303248,84753,53297,107493,216297,113858,44801,57638
2010-07-01,2010,7,2244244,902026,902026,176818,176818,553368,305831,85292,54132,108113,217677,114196,44905,58576
2010-08-01,2010,8,2264526,907022,907022,178908,178908,562701,311751,85979,55393,109578,219640,115090,45337,59213
2010-09-01,2010,9,2292014,919744,919744,179364,179364,572186,315415,88155,55737,112879,221566,116261,45751,59554
2010-10-01,2010,10,2307559,925255,925255,181121,181121,577449,318573,88819,56602,113455,222398,117387,45317,59694
2010-11-01,2010,11,2335714,941859,941859,181556,181556,588997,324013,90634,57570,116780,227679,120297,46472,60910
2010-12-01,2010,12,2364083,949196,949196,184981,184981,596667,328020,92089,58461,118097,230848,121856,47213,61779
2011-01-01,2011,1,2366133,947809,947809,186132,186132,595110,326439,92702,58590,117379,231259,121901,47419,61939
2011-02-01,2011,2,2382134,950156,950156,187857,187857,598963,327270,93831,58888,118974,232285,122457,47534,62294
2011-03-01,2011,3,2409261,956780,956780,190544,190544,606942,332105,95145,59447,120245,235131,123632,48064,63435
2011-04-01,2011,4,2442786,966369,966369,193360,193360,618034,337397,97224,60524,122889,238669,125535,48578,64556
2011-05-01,2011,5,2411906,960985,960985,190705,190705,609643,334146,94885,58796,121816,231818,120971,48008,62839
2011-06-01,2011,6,2446039,970564,970564,192759,192759,625239,342071,98516,60657,123995,238474,125053,48673,64748
2011-07-01,2011,7,2480143,980372,980372,197245,197245,633846,345913,99461,61541,126931,243008,128132,48972,65904
2011-08-01,2011,8,2501328,987044,987044,198374,198374,640942,349016,101140,62405,128381,259997,128525,65654,65818
2011-09-01,2011,9,2503709,985717,985717,199071,199071,646853,352052,102615,63025,129161,253664,128484,58354,66826
2011-10-01,2011,10,2505352,993791,993791,196853,196853,642345,349961,101307,62275,128802,241260,125325,48899,67036
2011-11-01,2011,11,2512669,996795,996795,197774,197774,645492,351883,100889,62454,130266,544214,125143,351075,67996
2011-12-01,2011,12,2517423,996454,996454,198688,198688,647882,353237,102389,62596,129660,243020,125004,49998,68018
2012-01-01,2012,1,2521387,996840,996840,199943,199943,648711,353428,102851,62400,130032,242988,125228,50135,67625
2012-02-01,2012,2,2536789,1003867,1003867,203682,203682,652308,355976,102826,62959,130547,243833,125496,50451,67886
2012-03-01,2012,3,2574224,1016708,1016708,206222,206222,661768,360143,104845,63712,133068,248778,128548,50809,69421
2012-04-01,2012,4,2588831,1018322,1018322,208472,208472,667950,365219,105461,63935,133335,249735,128937,51457,69341
2012-05-01,2012,5,2604319,1026528,1026528,209630,209630,670391,366544,105077,64813,133957,252316,129743,52049,70524
2012-06-01,2012,6,2626515,1032184,1032184,211368,211368,679776,370570,108029,65226,135951,253589,130149,52527,70913
2012-07-01,2012,7,2532771,1002020,1002020,202650,202650,653391,357831,102911,63666,128983,246185,125818,51286,69081
2012-08-01,2012,8,2635709,1034171,1034171,212054,212054,684559,374703,109508,66030,134318,254018,130198,52633,71187
2012-09-01,2012,9,2666303,1046074,1046074,213406,213406,690827,378391,110279,66562,135595,256730,132042,53038,71650
2012-10-01,2012,10,2659359,1041914,1041914,212521,212521,689944,377401,109742,67205,135596,255978,131344,52878,71756
2012-11-01,2012,11,2675291,1043950,1043950,213391,213391,696519,381444,110813,67745,136517,256509,131745,53088,71676
2012-12-01,2012,12,2688411,1045575,1045575,214774,214774,702178,384426,112181,68393,137178,257570,131887,53656,72027
2013-01-01,2013,1,2690681,1047714,1047714,217225,217225,701984,384140,111850,68736,137258,257725,131721,53769,72235
2013-02-01,2013,2,2708415,1050053,1050053,219196,219196,709770,388748,114060,69295,137667,258916,132197,54271,72448
2013-03-01,2013,3,2735198,1056218,1056218,222096,222096,718378,393167,115644,70027,139540,261816,133906,54799,73111
2013-04-01,2013,4,2748075,1059082,1059082,222283,222283,724725,397302,116557,71060,139806,263542,134925,54850,73767
2013-05-01,2013,5,2780307,1073332,1073332,224639,224639,733596,402783,117745,71966,141102,266268,135936,55883,74449
2013-06-01,2013,6,2807780,1080295,1080295,226375,226375,742664,407533,119345,72701,143085,267365,136995,55631,74739
2013-07-01,2013,7,2812343,1081411,1081411,226796,226796,743357,407277,119884,72884,143312,269362,138425,55623,75314
2013-08-01,2013,8,2842043,1091284,1091284,228689,228689,755890,414163,121750,74170,145807,271748,139698,56117,75933
2013-09-01,2013,9,2851794,1095435,1095435,229327,229327,759606,416259,122943,74633,145771,272770,139933,56576,76261
2013-10-01,2013,10,2850942,1095533,1095533,228587,228587,761888,417382,122805,75065,146636,273549,140507,56769,76273
2013-11-01,2013,11,2886412,1108810,1108810,231128,231128,771999,423006,125213,76105,147675,276767,141631,57628,77508
2013-12-01,2013,12,2900976,1113362,1113362,233634,233634,775070,424911,125525,76469,148165,278462,142950,57931,77581
2014-01-01,2014,1,2902340,1113381,1113381,235022,235022,774494,424839,126040,76427,147188,278722,142511,58392,77819
2014-02-01,2014,2,2908347,1112981,1112981,236107,236107,779180,427643,126954,76545,148038,279843,143065,58543,78235
2014-03-01,2014,3,2934599,1123241,1123241,239161,239161,785967,432402,126528,77639,149398,282452,144958,58836,78658
2014-04-01,2014,4,2968854,1135164,1135164,241815,241815,798893,438844,130179,78796,151074,286501,146312,59771,80418
2014-05-01,2014,5,3005537,1146637,1146637,244139,244139,811325,445554,132312,80062,153397,290489,148232,60519,81738
2014-06-01,2014,6,3030417,1156072,1156072,245889,245889,818818,450033,132762,80832,155191,293407,149712,61022,82673
2014-07-01,2014,7,3037396,1157596,1157596,246958,246958,823211,452837,133679,81299,155396,294781,150362,61320,83099
2014-08-01,2014,8,3069411,1169098,1169098,249355,249355,832449,457327,135431,82348,157343,298466,151958,62395,84113
2014-09-01,2014,9,3079772,1173107,1173107,249718,249718,837260,459774,136164,83122,158200,299829,152459,62672,84698
2014-10-01,2014,10,3101900,1182092,1182092,252328,252328,844137,462495,137556,84255,159831,303356,153829,63453,86074
2014-11-01,2014,11,3128462,1187925,1187925,253887,253887,851688,466128,139768,84732,161060,306395,155217,64013,87165
2014-12-01,2014,12,3141599,1194395,1194395,255652,255652,853841,467115,140416,84945,161365,308205,155796,64457,87952
2015-01-01,2015,1,3155369,1197166,1197166,257866,257866,859720,468948,142223,85742,162807,311581,157393,64766,89422
2015-02-01,2015,2,3157355,1195903,1195903,259838,259838,861545,470462,141908,86496,162679,313330,158341,64959,90030
2015-03-01,2015,3,3195650,1208598,1208598,261553,261553,871753,474077,144970,87262,165444,317305,160111,66201,90993
2015-04-01,2015,4,3239887,1223680,1223680,265892,265892,887000,483253,147446,88754,167547,321881,162519,67128,92234
2015-05-01,2015,5,3269990,1233510,1233510,268522,268522,896864,487872,149337,89898,169757,323693,163434,67279,92980
2015-06-01,2015,6,3284981,1238038,1238038,269489,269489,900745,490131,150017,90088,170509,325431,164222,67845,93364
2015-07-01,2015,7,3288174,1236769,1236769,269637,269637,903195,492146,150328,90560,170161,326997,164936,67991,94070
2015-08-01,2015,8,3304081,1246154,1246154,273093,273093,906956,494087,150532,90677,171660,328154,165145,68135,94874
2015-09-01,2015,9,3297922,1243732,1243732,272008,272008,904262,491716,150491,90345,171710,328230,164755,68366,95109
2015-10-01,2015,10,3335730,1257036,1257036,273178,273178,914747,497479,152283,91282,173703,332555,167146,69146,96263
2015-11-01,2015,11,3352699,1264138,1264138,274321,274321,918928,498627,153486,91471,175344,334925,168141,69621,97163
2015-12-01,2015,12,3339838,1261433,1261433,272590,272590,917033,497189,153336,91229,175279,334762,168396,69317,97049
2016-01-01,2016,1,3363868,1271363,1271363,277323,277323,921348,498279,154373,92047,176649,337239,169294,69778,98167
2016-02-01,2016,2,3375431,1274677,1274677,278985,278985,925351,501206,155056,92554,176535,338749,169628,70448,98673
2016-03-01,2016,3,3459881,1325319,1325319,283426,283426,939691,507736,157852,94377,179726,348512,173108,73221,102183
2016-04-01,2016,4,3473780,1329651,1329651,283817,283817,946627,511900,158738,94700,181289,347427,172091,73383,101953
2016-05-01,2016,5,3502485,1342560,1342560,286572,286572,955237,516933,159925,95719,182660,351359,174151,74538,102670
2016-06-01,2016,6,3500714,1342519,1342519,286180,286180,955059,514333,160855,95882,183989,352017,174306,74632,103079
2016-07-01,2016,7,3538894,1354972,1354972,290412,290412,967069,523437,161918,96486,185228,355746,176963,74783,104000
2016-08-01,2016,8,3538743,1360194,1360194,290650,290650,963238,520140,161462,96719,184917,356451,177341,74539,104571
2016-09-01,2016,9,3565436,1371094,1371094,293781,293781,973357,526719,162043,97438,187157,359941,178665,75540,105736
2016-10-01,2016,10,3583009,1377651,1377651,295160,295160,976949,528014,162782,98201,187952,362427,179875,75906,106646
2016-11-01,2016,11,3574648,1376370,1376370,294419,294419,977640,527888,163133,98174,188445,360939,179189,75613,106137
2016-12-01,2016,12,3591288,1384685,1384685,296786,296786,980805,529352,163650,98917,188886,363637,181401,75781,106455
2017-01-01,2017,1,3597940,1385825,1385825,299649,299649,980074,527226,164387,99008,189453,365009,181494,76350,107165
2017-02-01,2017,2,3624775,1394314,1394314,302880,302880,988032,532139,165239,99894,190760,366814,182607,76644,107563
2017-03-01,2017,3,3651710,1401150,1401150,305319,305319,995430,535387,167373,101275,191395,369792,184347,77149,108296
2017-04-01,2017,4,3729129,1439691,1439691,308351,308351,1008080,541724,169407,103207,193742,378050,186376,80065,111609
