Periodo de Cobertura,Year,Month,Total general_cotizantes,Total Región Distrito Nacional_cotizantes,Total 0 - Santo Domingo_cotizantes,Total Región Este_cotizantes,Total V - Este_cotizantes,Total Región Norte_cotizantes,Total II - Norcentral_cotizantes,Total III - Nordeste_cotizantes,Total VII - Cibao Occidental_cotizantes,Total VIII - Cibao Central_cotizantes,Total Región Sur_cotizantes,Total I - Valdesia_cotizantes,Total IV - Enriquillo_cotizantes,Total VI - El Valle_cotizantes,Total general_nocotizantes,Total Región Distrito Nacional_nocotizantes,Total 0 - Santo Domingo_nocotizantes,Total Región Este_nocotizantes,Total V - Este_nocotizantes,Total Región Norte_nocotizantes,Total II - Norcentral_nocotizantes,Total III - Nordeste_nocotizantes,Total VII - Cibao Occidental_nocotizantes,Total VIII - Cibao Central_nocotizantes,Total Región Sur_nocotizantes,Total I - Valdesia_nocotizantes,Total IV - Enriquillo_nocotizantes,Total VI - El Valle_nocotizantes,Total general,Total Región Distrito Nacional,Total 0 - Santo Domingo,Total Región Este,Total V - Este,Total Región Norte,Total II - Norcentral,Total III - Nordeste,Total VII - Cibao Occidental,Total VIII - Cibao Central,Total Región Sur,Total I - Valdesia,Total IV - Enriquillo,Total VI - El Valle
2007-09-01,2007,9,805496,334858,334858,66088,66088,161131,102943,18234,12494,27460,58092,34027,11060,13005,402546,204426,204426,26384,26384,84400,50189,11068,7113,16030,36287,20126,7110,9051,1208042,539284,539284,92472,92472,245531,153132,29302,19607,43490,94379,54153,18170,22056
2007-10-01,2007,10,903242,362220,362220,71774,71774,191360,113590,25669,17162,34939,73683,39397,15992,18294,481568,225383,225383,31958,31958,117411,63229,19003,11287,23892,55349,26640,12958,15751,1384810,587603,587603,103732,103732,308771,176819,44672,28449,58831,129032,66037,28950,34045
2007-11-01,2007,11,915500,362981,362981,72303,72303,194285,115883,25594,17286,35522,74948,40537,16041,18370,506475,236631,236631,33376,33376,125865,68810,19834,11915,25306,58319,28420,13522,16377,1421975,599612,599612,105679,105679,320150,184693,45428,29201,60828,133267,68957,29563,34747
2007-12-01,2007,12,941619,371593,371593,73465,73465,197388,115896,26242,17757,37493,76237,41005,16327,18905,535562,249104,249104,36404,36404,134515,72518,21586,12560,27851,62313,30179,14460,17674,1477181,620697,620697,109869,109869,331903,188414,47828,30317,65344,138550,71184,30787,36579
2008-01-01,2008,1,939349,369779,369779,75946,75946,198171,116903,26358,17450,37460,76239,41199,16232,18808,546150,253946,253946,37815,37815,137345,74339,21984,12681,28341,63379,31045,14535,17799,1485499,623725,623725,113761,113761,335516,191242,48342,30131,65801,139618,72244,30767,36607
2008-02-01,2008,2,932574,367354,367354,76014,76014,195309,114549,26446,17356,36958,75611,40558,16475,18578,565039,262909,262909,39533,39533,142874,77709,22826,13151,29188,65016,32305,14523,18188,1497613,630263,630263,115547,115547,338183,192258,49272,30507,66146,140627,72863,30998,36766
2008-03-01,2008,3,951361,370943,370943,76629,76629,200056,117804,26554,17569,38129,77008,41665,16569,18774,577657,269173,269173,40170,40170,145991,79233,23107,13509,30142,66998,33600,14839,18559,1529018,640116,640116,116799,116799,346047,197037,49661,31078,68271,144006,75265,31408,37333
2008-04-01,2008,4,969551,370061,370061,77058,77058,201124,118913,26615,17499,38097,76648,41192,16517,18939,595369,277030,277030,42382,42382,150942,82306,23833,13867,30936,68009,34038,15116,18855,1564920,647091,647091,119440,119440,352066,201219,50448,31366,69033,144657,75230,31633,37794
2008-05-01,2008,5,962794,369689,369689,77113,77113,200992,119025,26691,17627,37649,76890,41354,16492,19044,622228,287199,287199,45429,45429,160754,87823,25171,14689,33071,71578,35850,15796,19932,1585022,656888,656888,122542,122542,361746,206848,51862,32316,70720,148468,77204,32288,38976
2008-06-01,2008,6,982560,375269,375269,76718,76718,203917,120215,26984,17990,38728,78576,42194,16874,19508,644595,296375,296375,46867,46867,168172,91414,26351,15559,34848,75345,37303,17026,21016,1627155,671644,671644,123585,123585,372089,211629,53335,33549,73576,153921,79497,33900,40524
