Periodo de Cobertura,Year,Month,Total general,Cotizante,Total Región Distrito Nacional,Total Región Este,Total Región Norte,Total Región Sur
2007-09-01,2007,9,805496,SI,334858,66088,161131,58092
2007-10-01,2007,10,903242,SI,362220,71774,191360,73683
2007-11-01,2007,11,915500,SI,362981,72303,194285,74948
2007-12-01,2007,12,941619,SI,371593,73465,197388,76237
2008-01-01,2008,1,939349,SI,369779,75946,198171,76239
2008-02-01,2008,2,932574,SI,367354,76014,195309,75611
2008-03-01,2008,3,951361,SI,370943,76629,200056,77008
2008-04-01,2008,4,969551,SI,370061,77058,201124,76648
2008-05-01,2008,5,962794,SI,369689,77113,200992,76890
2008-06-01,2008,6,982560,SI,375269,76718,203917,78576
2008-07-01,2008,7,975992,SI,372065,75885,201743,77978
2008-08-01,2008,8,987719,SI,371905,74741,201591,78196
2008-09-01,2008,9,982420,SI,370381,74358,201381,77378
2008-10-01,2008,10,990262,SI,375576,75435,203680,78929
2008-11-01,2008,11,988605,SI,372502,73139,201686,78984
2008-12-01,2008,12,981402,SI,369213,73133,200252,78212
2009-01-01,2009,1,990803,SI,372972,74694,199873,78862
2009-02-01,2009,2,991334,SI,371580,76437,198586,79108
2009-03-01,2009,3,995438,SI,369837,76775,201711,79634
2009-04-01,2009,4,1007585,SI,373054,76793,203908,80077
2009-05-01,2009,5,998016,SI,369131,76457,203716,78980
2009-06-01,2009,6,1010032,SI,374258,76206,206166,79830
2009-07-01,2009,7,1029884,SI,375807,75306,208022,80674
2009-08-01,2009,8,1077250,SI,403165,79266,217445,85950
2009-09-01,2009,9,1086332,SI,405179,80122,220644,87104
2009-10-01,2009,10,1087741,SI,406085,78913,222724,87336
2009-11-01,2009,11,1095545,SI,410510,78760,223146,88609
2009-12-01,2009,12,1101692,SI,411502,80534,225483,89233
2010-01-01,2010,1,1106637,SI,412758,82072,225417,89118
2010-02-01,2010,2,1109888,SI,412746,82647,225062,89693
2010-03-01,2010,3,1132104,SI,416544,83171,228739,90007
2010-04-01,2010,4,1149674,SI,420343,84299,232430,90429
2010-05-01,2010,5,1141771,SI,418309,84385,231363,90039
2010-06-01,2010,6,1130230,SI,411909,83159,229599,88485
2010-07-01,2010,7,1141222,SI,417203,83065,230323,88804
2010-08-01,2010,8,1144899,SI,416592,83393,232957,89192
2010-09-01,2010,9,1150815,SI,421356,82932,233715,88605
2010-10-01,2010,10,1154310,SI,423073,83074,234628,88913
2010-11-01,2010,11,1166916,SI,431200,83389,241010,91970
2010-12-01,2010,12,1181150,SI,433841,85353,242729,93156
2011-01-01,2011,1,1182984,SI,432759,85666,241467,93231
2011-02-01,2011,2,1181928,SI,429409,85756,240023,92353
2011-03-01,2011,3,1194822,SI,430774,86766,243292,93452
2011-04-01,2011,4,1209403,SI,434047,87739,247087,94716
2011-05-01,2011,5,1183558,SI,429608,85727,240339,90671
2011-06-01,2011,6,1198763,SI,433112,86348,248317,93703
2011-07-01,2011,7,1214674,SI,437659,87651,250742,95595
2011-08-01,2011,8,1219579,SI,438571,87654,251427,110883
2011-09-01,2011,9,1215711,SI,436642,87897,252406,103930
2011-10-01,2011,10,1219753,SI,441669,86740,251219,95047
2011-11-01,2011,11,1221054,SI,442794,86675,252029,373424
2011-12-01,2011,12,1226270,SI,443025,88230,253358,96067
2012-01-01,2012,1,1226769,SI,442428,88617,252852,96013
2012-02-01,2012,2,1226796,SI,443891,90096,252093,95915
2012-03-01,2012,3,1245125,SI,448210,90628,256880,97641
2012-04-01,2012,4,1252603,SI,448401,91449,259969,97894
2012-05-01,2012,5,1256915,SI,451938,91579,259572,98698
2012-06-01,2012,6,1265012,SI,453534,91673,262584,98993
2012-07-01,2012,7,1221903,SI,441847,87998,252521,96144
2012-08-01,2012,8,1258081,SI,450557,90685,262184,98377
2012-09-01,2012,9,1271421,SI,454948,90765,263198,98696
2012-10-01,2012,10,1267743,SI,452759,90008,263031,98571
2012-11-01,2012,11,1278081,SI,453758,90249,265934,99120
2012-12-01,2012,12,1283471,SI,454242,91367,266969,99339
2013-01-01,2013,1,1286037,SI,456085,92751,267170,99628
