Región Geográfica/2,Región Salud,Provincia
Región Distrito Nacional,Total Región Distrito Nacional,Total Región Distrito Nacional
Región Distrito Nacional,0 - Santo Domingo,Total 0 - Santo Domingo
Región Distrito Nacional,0 - Santo Domingo,Distrito Nacional
Región Distrito Nacional,0 - Santo Domingo,Monte Plata
Región Distrito Nacional,0 - Santo Domingo,Santo Domingo
Región Este,Total Región Este,Total Región Este
Región Este,V - Este,Total V - Este
Región Este,V - Este,El Seybo
Región Este,V - Este,Hato Mayor del Rey
Región Este,V - Este,La Altagracia
Región Este,V - Este,La Romana
Región Este,V - Este,San Pedro de Macorís
Región Norte,Total Región Norte,Total Región Norte
Región Norte,II - Norcentral,Total II - Norcentral
Región Norte,II - Norcentral,Espaillat
Región Norte,II - Norcentral,Puerto Plata
Región Norte,II - Norcentral,Santiago
Región Norte,III - Nordeste,Total III - Nordeste
Región Norte,III - Nordeste,Duarte
Región Norte,III - Nordeste,Hermanas Mirabal
Región Norte,III - Nordeste,Maria Trinidad Sanchez
Región Norte,III - Nordeste,Samaná
Región Norte,VII - Cibao Occidental,Total VII - Cibao Occidental
Región Norte,VII - Cibao Occidental,Dajabon
Región Norte,VII - Cibao Occidental,Montecristi
Región Norte,VII - Cibao Occidental,Santiago Rodriguez
Región Norte,VII - Cibao Occidental,Valverde
Región Norte,VIII - Cibao Central,Total VIII - Cibao Central
Región Norte,VIII - Cibao Central,La vega
Región Norte,VIII - Cibao Central,Monseñor Nouel
Región Norte,VIII - Cibao Central,Sanchez Ramirez
Región Sur,Total Región Sur,Total Región Sur
Región Sur,I - Valdesia,Total I - Valdesia
Región Sur,I - Valdesia,Peravia
Región Sur,I - Valdesia,San Cristóbal
Región Sur,I - Valdesia,San José de Ocoa
Región Sur,IV - Enriquillo,Total IV - Enriquillo
Región Sur,IV - Enriquillo,Bahoruco
Región Sur,IV - Enriquillo,Barahona
Región Sur,IV - Enriquillo,Independencia
Región Sur,IV - Enriquillo,Pedernales
Región Sur,VI - El Valle,Total VI - El Valle
Región Sur,VI - El Valle,Azua
Región Sur,VI - El Valle,Elias Piña
Región Sur,VI - El Valle,San Juan de la Maguana
