Periodo de Cobertura,Poblacion Total proyectada,Porcentaje de Población Cubierta por el SFS,Total Seguro Familiar de Salud,Reg_Subsidiado,Reg_Contributivo,Reg_PensionadosJub,Year,Month
2007-01-01,9139465,0.057005962602843824,521004,521004,,,2007,1
2007-02-01,9147662,0.059196655932412016,541511,541511,,,2007,2
2007-03-01,9155591,0.06048610078803214,553786,553786,,,2007,3
2007-04-01,9164388,0.06518263958269772,597359,597359,,,2007,4
2007-05-01,9172920,0.06777427471295945,621688,621688,,,2007,5
2007-06-01,9174058,0.08012081458390605,735033,735033,,,2007,6
2007-07-01,9182607,0.08555446182113642,785613,785613,,,2007,7
2007-08-01,9191460,0.09471890211130767,870605,870605,,,2007,8
2007-09-01,9200332,0.2347437027272494,2159720,951678,1208042.0,,2007,9
2007-10-01,9208938,0.25938484980569965,2388659,1003849,1384810.0,,2007,10
2007-11-01,9217849,0.263948671756285,2433039,1011064,1421975.0,,2007,11
2007-12-01,9226491,0.2773662273122035,2559117,1081936,1477181.0,,2007,12
2008-01-01,9235440,0.2785679945947351,2572698,1087199,1485499.0,,2008,1
2008-02-01,9244410,0.2834452387983657,2620284,1122671,1497613.0,,2008,2
2008-03-01,9252817,0.2886398812383299,2670732,1141714,1529018.0,,2008,3
2008-04-01,9261822,0.29709629487588946,2751653,1186733,1564920.0,,2008,4
2008-05-01,9270559,0.29998352850135573,2781015,1195993,1585022.0,,2008,5
2008-06-01,9279602,0.30465379872973003,2827066,1199911,1627155.0,,2008,6
2008-07-01,9287769,0.30730641556653704,2854191,1202248,1651943.0,,2008,7
2008-08-01,9296227,0.30978944468546216,2879873,1219357,1660516.0,,2008,8
2008-09-01,9304699,0.3095496157371668,2880266,1219194,1661072.0,,2008,9
2008-10-01,9312923,0.31145613466362815,2900567,1216219,1684348.0,,2008,10
2008-11-01,9321435,0.31271161575444123,2914921,1226142,1688779.0,,2008,11
2008-12-01,9329691,0.31264722486521795,2916902,1224643,1692259.0,,2008,12
2009-01-01,9338238,0.315860550994738,2949581,1217438,1732143.0,,2009,1
2009-02-01,9346808,0.31873833291536535,2979186,1226124,1753062.0,,2009,2
2009-03-01,9354562,0.3209149717538886,3002019,1230749,1771270.0,,2009,3
2009-04-01,9363166,0.32539100556371636,3046690,1234674,1812016.0,,2009,4
2009-05-01,9371511,0.32530101069080536,3048562,1238229,1810333.0,,2009,5
2009-06-01,9380152,0.33056010179792394,3100704,1242775,1853218.0,4711.0,2009,6
2009-07-01,9388150,0.33512161607984536,3146172,1235140,1902560.0,8472.0,2009,7
2009-08-01,9396430,0.3449642044904288,3241432,1240281,1990226.0,10925.0,2009,8
2009-09-01,9404733,0.34772215223972863,3270234,1239151,2016376.0,14707.0,2009,9
2009-10-01,9412779,0.3611788824533116,3399697,1342484,2040405.0,16808.0,2009,10
2009-11-01,9421116,0.36414613725168016,3430663,1346166,2066134.0,18363.0,2009,11
2009-12-01,9429199,0.37238285033543145,3511272,1404225,2088299.0,18748.0,2009,12
2010-01-01,9437570,0.3768752973487879,3556787,1418984,2116721.0,21082.0,2010,1
2010-02-01,9445960,0.3795559159683081,3585270,1429444,2133644.0,22182.0,2010,2
2010-03-01,9453554,0.38680712036975723,3656702,1452434,2181022.0,23246.0,2010,3
2010-04-01,9461979,0.39227480847294205,3711696,1467505,2220654.0,23537.0,2010,4
2010-05-01,9470152,0.395874110573938,3748988,1502455,2222232.0,24301.0,2010,5
2010-06-01,9478612,0.398242168790114,3774783,1531735,2218189.0,24859.0,2010,6
2010-07-01,9486856,0.41166673131751974,3905423,1636037,2244244.0,25142.0,2010,7
2010-08-01,9495397,0.42406336459655136,4026650,1736031,2264526.0,26093.0,2010,8
2010-09-01,9503949,0.42962446452522,4083129,1764636,2292014.0,26479.0,2010,9
2010-10-01,9512247,0.4348846282061431,4136730,1802728,2307559.0,26443.0,2010,10
2010-11-01,9520844,0.44228232286969515,4210901,1847833,2335714.0,27354.0,2010,11
2010-12-01,9529181,0.46226155217326653,4404974,2013786,2364083.0,27105.0,2010,12
2011-01-01,9537809,0.4619127935986137,4405636,2012210,2366133.0,27293.0,2011,1
2011-02-01,9546463,0.462799991997036,4418103,2008220,2382134.0,27749.0,2011,2
2011-03-01,9554297,0.46457797993928807,4438716,2001160,2409261.0,28295.0,2011,3
2011-04-01,9562982,0.4672336515952869,4468147,1997098,2442786.0,28263.0,2011,4
2011-05-01,9571412,0.46466372986556215,4447488,2006919,2411906.0,28663.0,2011,5
2011-06-01,9580139,0.46763434225745576,4480002,2004773,2446039.0,29190.0,2011,6
2011-07-01,9588304,0.471697914459116,4522783,2013637,2480143.0,29003.0,2011,7
2011-08-01,9596760,0.4733438160379128,4542567,2012102,2501328.0,29137.0,2011,8
2011-09-01,9605236,0.4720483702847072,4534136,2001122,2503709.0,29305.0,2011,9
2011-10-01,9613455,0.4714164678567695,4531941,1997224,2505352.0,29365.0,2011,10
2011-11-01,9621966,0.47169674056216787,4538650,1996335,2512669.0,29646.0,2011,11
2011-12-01,9630221,0.4725307965414293,4550576,2003427,2517423.0,29726.0,2011,12
2012-01-01,9638770,0.4721872189086367,4551304,2000222,2521387.0,29695.0,2012,1
2012-02-01,9647339,0.478078462879764,4612185,2045696,2536789.0,29700.0,2012,2
2012-03-01,9655369,0.4920019110610894,4750460,2146475,2574224.0,29761.0,2012,3
2012-04-01,9663972,0.500390936563144,4835764,2217013,2588831.0,29920.0,2012,4
2012-05-01,9672321,0.5092221401667707,4925360,2291076,2604319.0,29965.0,2012,5
2012-06-01,9680963,0.5098470059228611,4935810,2279756,2626515.0,29539.0,2012,6
2012-07-01,9689389,0.5020525030009633,4864582,2302079,2532771.0,29732.0,2012,7
2012-08-01,9698109,0.5067967373845768,4914970,2249470,2635709.0,29791.0,2012,8
2012-09-01,9706854,0.5095690117519023,4946312,2250127,2666303.0,29882.0,2012,9
2012-10-01,9715333,0.5099486553883433,4954321,2264638,2659359.0,30324.0,2012,10
2012-11-01,9724114,0.5142036590685795,5000175,2294356,2675291.0,30528.0,2012,11
2012-12-01,9732628,0.5160440736047859,5022465,2303351,2688411.0,30703.0,2012,12
2013-01-01,9741447,0.5170946369671775,5037250,2315910,2690681.0,30659.0,2013,1
2013-02-01,9750286,0.5195609646732414,5065868,2326832,2708415.0,30621.0,2013,2
2013-03-01,9758285,0.5228745624871584,5102359,2336433,2735198.0,30728.0,2013,3
2013-04-01,9767160,0.5251068887987911,5128803,2349918,2748075.0,30810.0,2013,4
2013-05-01,9775767,0.5291291210193533,5172643,2361647,2780307.0,30689.0,2013,5
2013-06-01,9784680,0.532667905337732,5211985,2373337,2807780.0,30868.0,2013,6
2013-07-01,9792703,0.5351256951221741,5240327,2397962,2812343.0,30022.0,2013,7
2013-08-01,9801017,0.5400494662951814,5293034,2421393,2842043.0,29598.0,2013,8
2013-09-01,9809345,0.5463076280832206,5358920,2477669,2851794.0,29457.0,2013,9
2013-10-01,9817422,0.5466159038492997,5366359,2486574,2850942.0,28843.0,2013,10
2013-11-01,9825788,0.565879499944432,5560212,2646899,2886412.0,26901.0,2013,11
2013-12-01,9833901,0.5773836852740332,5677934,2751753,2900976.0,25205.0,2013,12
2014-01-01,9842302,0.5763524630721553,5672635,2741484,2902340.0,28811.0,2014,1
2014-02-01,9850721,0.5775193511216082,5688982,2751541,2908347.0,29094.0,2014,2
2014-03-01,9858343,0.5791589925406329,5709548,2745683,2934599.0,29266.0,2014,3
2014-04-01,9866795,0.5826824211914812,5749208,2750900,2968854.0,29454.0,2014,4
2014-05-01,9874994,0.586670331141467,5793366,2758167,3005537.0,29662.0,2014,5
2014-06-01,9883486,0.5883613332380903,5815061,2754819,3030417.0,29825.0,2014,6
2014-07-01,9891345,0.5882331472615706,5818417,2751045,3037396.0,29976.0,2014,7
2014-08-01,9899484,0.5907212941603825,5847836,2748393,3069411.0,30032.0,2014,8
2014-09-01,9907641,0.5916612238977976,5861967,2751945,3079772.0,30250.0,2014,9
2014-10-01,9915551,0.6021637123342919,5970785,2838755,3101900.0,30130.0,2014,10
2014-11-01,9923744,0.6036673255577734,5990640,2832009,3128462.0,30169.0,2014,11
2014-12-01,9931689,0.6230173941209798,6187615,3015646,3141599.0,30370.0,2014,12
2015-01-01,9939915,0.6224183003576992,6186785,3000981,3155369.0,30435.0,2015,1
2015-02-01,9948160,0.6222205915465775,6189950,3002033,3157355.0,30562.0,2015,2
2015-03-01,9955622,0.6286553466975745,6258655,3032565,3195650.0,30440.0,2015,3
2015-04-01,9963900,0.6326876022441013,6304036,3033637,3239887.0,30512.0,2015,4
2015-05-01,9972335,0.6335791968480802,6318264,3017731,3269990.0,30543.0,2015,5
2015-06-01,9980243,0.6371504180810026,6358916,3043353,3284981.0,30582.0,2015,6
2015-07-01,9987914,0.6389524379164658,6381802,3063142,3288174.0,30486.0,2015,7
2015-08-01,9995860,0.6413225075181125,6410570,3075944,3304081.0,30545.0,2015,8
2015-09-01,10003823,0.6401951533928579,6404399,3076009,3297922.0,30468.0,2015,9
2015-10-01,10011552,0.6439540043341931,6446979,3080836,3335730.0,30413.0,2015,10
2015-11-01,10019552,0.6478187847121308,6490854,3107676,3352699.0,30479.0,2015,11
