Periodo de Cobertura,SFS_Total,SFS_Hombres,SFS_Mujeres,Reg_Subsidiado_Total,Reg_Subsidiado_Hombres,Reg_Subsidiado_Mujeres,RC_Total,RC_Hombres,RC_Mujeres,Year,Month
2007-01-01,521004,236293,284711,521004,236293,284711,0,0,0,2007,1
2007-02-01,541511,247177,294334,541511,247177,294334,0,0,0,2007,2
2007-03-01,553786,253792,299994,553786,253792,299994,0,0,0,2007,3
2007-04-01,597359,275860,321499,597359,275860,321499,0,0,0,2007,4
2007-05-01,621688,288028,333660,621688,288028,333660,0,0,0,2007,5
2007-06-01,735033,331285,403748,735033,331285,403748,0,0,0,2007,6
2007-07-01,785613,357470,428143,785613,357470,428143,0,0,0,2007,7
2007-08-01,870605,401509,469096,870605,401509,469096,0,0,0,2007,8
2007-09-01,2159720,1106699,1053021,951678,434621,517057,1208042,672078,535964,2007,9
2007-10-01,2388659,1206731,1181928,1003849,459910,543939,1384810,746821,637989,2007,10
2007-11-01,2433039,1227593,1205446,1011064,464219,546845,1421975,763374,658601,2007,11
2007-12-01,2559117,1272336,1286781,1081936,479821,602115,1477181,792515,684666,2007,12
2008-01-01,2572698,1277668,1295030,1087199,482671,604528,1485499,794997,690502,2008,1
2008-02-01,2620284,1299233,1321051,1122671,501425,621246,1497613,797808,699805,2008,2
2008-03-01,2670732,1328722,1342010,1141714,511788,629926,1529018,816934,712084,2008,3
2008-04-01,2751653,1360193,1391460,1186733,524539,662194,1564920,835654,729266,2008,4
2008-05-01,2781015,1371701,1409314,1195993,529291,666702,1585022,842410,742612,2008,5
2008-06-01,2827066,1398510,1428556,1199911,531467,668444,1627155,867043,760112,2008,6
2008-07-01,2854191,1410113,1444078,1202248,533124,669124,1651943,876989,774954,2008,7
2008-08-01,2879873,1425918,1453955,1219357,542008,677349,1660516,883910,776606,2008,8
2008-09-01,2880266,1423536,1456730,1219194,541928,677266,1661072,881608,779464,2008,9
2008-10-01,2900567,1433747,1466820,1216219,540679,675540,1684348,893068,791280,2008,10
2008-11-01,2914921,1438386,1476535,1226142,545993,680149,1688779,892393,796386,2008,11
2008-12-01,2916902,1435840,1481062,1224643,545438,679205,1692259,890402,801857,2008,12
2009-01-01,2949581,1452995,1496586,1217438,542181,675257,1732143,910814,821329,2009,1
2009-02-01,2979186,1466054,1513132,1226124,546842,679282,1753062,919212,833850,2009,2
2009-03-01,3002019,1477744,1524275,1230749,549299,681450,1771270,928445,842825,2009,3
2009-04-01,3046690,1498780,1547910,1234674,551394,683280,1812016,947386,864630,2009,4
2009-05-01,3048562,1495898,1552664,1238229,553242,684987,1810333,942656,867677,2009,5
2009-06-01,3095993,1520342,1575651,1242775,555642,687133,1853218,964700,888518,2009,6
2009-07-01,3137700,1542438,1595262,1235140,551860,683280,1902560,990578,911982,2009,7
2009-08-01,3230507,1589579,1640928,1240281,552410,687871,1990226,1037169,953057,2009,8
2009-09-01,3255527,1602534,1652993,1239151,551899,687252,2016376,1050635,965741,2009,9
2009-10-01,3382889,1645624,1737265,1342484,586142,756342,2040405,1059482,980923,2009,10
2009-11-01,3412300,1656334,1755966,1346166,586954,759212,2066134,1069380,996754,2009,11
2009-12-01,3492524,1694508,1798016,1404225,615631,788594,2088299,1078877,1009422,2009,12
2010-01-01,3535705,1715996,1819709,1418984,624338,794646,2116721,1091658,1025063,2010,1
2010-02-01,3563088,1730491,1832597,1429444,629878,799566,2133644,1100613,1033031,2010,2
2010-03-01,3633456,1767487,1865969,1452434,642390,810044,2181022,1125097,1055925,2010,3
2010-04-01,3688159,1797212,1890947,1467505,650264,817241,2220654,1146948,1073706,2010,4
2010-05-01,3724687,1809109,1915578,1502455,663825,838630,2222232,1145284,1076948,2010,5
2010-06-01,3749924,1816878,1933046,1531735,675227,856508,2218189,1141651,1076538,2010,6
2010-07-01,3880281,1880334,1999947,1636037,726569,909468,2244244,1153765,1090479,2010,7
2010-08-01,4000557,1935460,2065097,1736031,771762,964269,2264526,1163698,1100828,2010,8
2010-09-01,4056650,1960494,2096156,1764636,783466,981170,2292014,1177028,1114986,2010,9
2010-10-01,4110287,1984808,2125479,1802728,800923,1001805,2307559,1183885,1123674,2010,10
2010-11-01,4183547,2020198,2163349,1847833,823269,1024564,2335714,1196929,1138785,2010,11
2010-12-01,4377869,2114818,2263051,2013786,904636,1109150,2364083,1210182,1153901,2010,12
2011-01-01,4378343,2111980,2266363,2012210,903910,1108300,2366133,1208070,1158063,2011,1
2011-02-01,4390354,2118568,2271786,2008220,901865,1106355,2382134,1216703,1165431,2011,2
2011-03-01,4410421,2129549,2280872,2001160,898507,1102653,2409261,1231042,1178219,2011,3
2011-04-01,4439884,2143856,2296028,1997098,896570,1100528,2442786,1247286,1195500,2011,4
2011-05-01,4418825,2129810,2289015,2006919,901349,1105570,2411906,1228461,1183445,2011,5
2011-06-01,4450812,2144879,2305933,2004773,900269,1104504,2446039,1244610,1201429,2011,6
2011-07-01,4493780,2168148,2325632,2013637,904326,1109311,2480143,1263822,1216321,2011,7
2011-08-01,4513430,2177806,2335624,2012102,903710,1108392,2501328,1274096,1227232,2011,8
2011-09-01,4504831,2171453,2333378,2001122,898132,1102990,2503709,1273321,1230388,2011,9
2011-10-01,4502576,2169262,2333314,1997224,896184,1101040,2505352,1273078,1232274,2011,10
2011-11-01,4509004,2171855,2337149,1996335,895739,1100596,2512669,1276116,1236553,2011,11
2011-12-01,4520850,2178632,2342218,2003427,899174,1104253,2517423,1279458,1237965,2011,12
2012-01-01,4521609,2177107,2344502,2000222,897444,1102778,2521387,1279663,1241724,2012,1
2012-02-01,4582485,2205655,2376830,2045696,918852,1126844,2536789,1286803,1249986,2012,2
2012-03-01,4720699,2271300,2449399,2146475,964482,1181993,2574224,1306818,1267406,2012,3
2012-04-01,4805844,2308502,2497342,2217013,995077,1221936,2588831,1313425,1275406,2012,4
2012-05-01,4895395,2354345,2541050,2291076,1032503,1258573,2604319,1321842,1282477,2012,5
2012-06-01,4906271,2359915,2546356,2279756,1027109,1252647,2626515,1332806,1293709,2012,6
2012-07-01,4834850,2315902,2518948,2302079,1035487,1266592,2532771,1280415,1252356,2012,7
2012-08-01,4885179,2343859,2541320,2249470,1007228,1242242,2635709,1336631,1299078,2012,8
2012-09-01,4916430,2358942,2557488,2250127,1007671,1242456,2666303,1351271,1315032,2012,9
2012-10-01,4923997,2360296,2563701,2264638,1014672,1249966,2659359,1345624,1313735,2012,10
2012-11-01,4969647,2380875,2588772,2294356,1027783,1266573,2675291,1353092,1322199,2012,11
2012-12-01,4991762,2392114,2599648,2303351,1031326,1272025,2688411,1360788,1327623,2012,12
2013-01-01,5006591,2397156,2609435,2315910,1036008,1279902,2690681,1361148,1329533,2013,1
2013-02-01,5035247,2411821,2623426,2326832,1041351,1285481,2708415,1370470,1337945,2013,2
2013-03-01,5071631,2427761,2643870,2336433,1044957,1291476,2735198,1382804,1352394,2013,3
2013-04-01,5097993,2437166,2660827,2349918,1049237,1300681,2748075,1387929,1360146,2013,4
2013-05-01,5141954,2460846,2681108,2361647,1057227,1304420,2780307,1403619,1376688,2013,5
2013-06-01,5181117,2482793,2698324,2373337,1065511,1307826,2807780,1417282,1390498,2013,6
2013-07-01,5210305,2494984,2715321,2397962,1074845,1323117,2812343,1420139,1392204,2013,7
2013-08-01,5263436,2518891,2744545,2421393,1085187,1336206,2842043,1433704,1408339,2013,8
2013-09-01,5329463,2544146,2785317,2477669,1106928,1370741,2851794,1437218,1414576,2013,9
2013-10-01,5337516,2548174,2789342,2486574,1111737,1374837,2850942,1436437,1414505,2013,10
2013-11-01,5533311,2638590,2894721,2646899,1183670,1463229,2886412,1454920,1431492,2013,11
2013-12-01,5652729,2705829,2946900,2751753,1243431,1508322,2900976,1462398,1438578,2013,12
2014-01-01,5643824,2700992,2942832,2741484,1238417,1503067,2902340,1462575,1439765,2014,1
2014-02-01,5659888,2710450,2949438,2751541,1243298,1508243,2908347,1467152,1441195,2014,2
2014-03-01,5680282,2719067,2961215,2745683,1240483,1505200,2934599,1478584,1456015,2014,3
2014-04-01,5719754,2737808,2981946,2750900,1243401,1507499,2968854,1494407,1474447,2014,4
2014-05-01,5763704,2761118,3002586,2758167,1247178,1510989,3005537,1513940,1491597,2014,5
2014-06-01,5785236,2772006,3013230,2754819,1246069,1508750,3030417,1525937,1504480,2014,6
2014-07-01,5788441,2773236,3015205,2751045,1244201,1506844,3037396,1529035,1508361,2014,7
2014-08-01,5817804,2790099,3027705,2748393,1244450,1503943,3069411,1545649,1523762,2014,8
2014-09-01,5831717,2798022,3033695,2751945,1248467,1503478,3079772,1549555,1530217,2014,9
2014-10-01,5940655,2865735,3074920,2838755,1306577,1532178,3101900,1559158,1542742,2014,10
2014-11-01,5960471,2873514,3086957,2832009,1301575,1530434,3128462,1571939,1556523,2014,11
2014-12-01,6157245,2978843,3178402,3015646,1400518,1615128,3141599,1578325,1563274,2014,12
