Periodo de Cobertura,Total Cotizantes,15-19_cotizantes,20-24_cotizantes,25-29_cotizantes,30-34_cotizantes,35-39_cotizantes,40-44_cotizantes,45-49_cotizantes,50-54_cotizantes,55-59_cotizantes,60-64_cotizantes,65-69_cotizantes,70-74_cotizantes,75-79_cotizantes,80-84_cotizantes,85 y mas_cotizantes,No Especificada,Year,Month,Sexo,Total Afiliados,0-4,5-9,10-14,15-19_nocotizantes,20-24_nocotizantes,25-29_nocotizantes,30-34_nocotizantes,35-39_nocotizantes,40-44_nocotizantes,45-49_nocotizantes,50-54_nocotizantes,55-59_nocotizantes,60-64_nocotizantes,65-69_nocotizantes,70-74_nocotizantes,75-79_nocotizantes,80-84_nocotizantes,85 y mas_nocotizantes,Total Afiliados_afiliados,0-4_afiliados,5-9_afiliados,10-14_afiliados,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 y Más
2007-10-01,518603,9846,70943,92605,81501,70281,60337,45110,34834,23532,13996,8014,4156,2117,725,604,2,2007,10,M,228124,46255,56124,52793,32811,4763,1937,4142,5567,6379,5797,4755,3195,1743,977,487,248,90,61,746727,46257,56124,52793,42657,75706,94542,85643,75848,66716,50907,39589,26727,15739,8991,4643,2365,815,665
2007-11-01,523979,9796,72363,93966,82368,71115,60747,45456,34851,23637,14052,7992,4195,2111,723,605,2,2007,11,M,239314,48181,59325,55658,34589,4890,1979,4176,5738,6538,5943,4941,3332,1856,1062,581,311,133,81,763293,48183,59325,55658,44385,77253,95945,86544,76853,67285,51399,39792,26969,15908,9054,4776,2422,856,686
2007-12-01,539488,10666,74523,96694,84717,72920,62213,46762,35947,24520,14487,8262,4294,2135,729,617,2,2007,12,M,252918,50791,63102,59451,36684,3879,2120,4433,6119,6891,6320,5230,3565,2001,1137,628,343,140,84,792406,50793,63102,59451,47350,78402,98814,89150,79039,69104,53082,41177,28085,16488,9399,4922,2478,869,701
2008-01-01,536970,9854,73548,96092,84815,72884,62137,46674,35827,24442,14489,8329,4354,2159,745,619,2,2008,1,M,257925,51163,64515,60949,37556,3883,2114,4449,6234,7046,6445,5307,3640,2072,1192,682,387,173,118,794895,51165,64515,60949,47410,77431,98206,89264,79118,69183,53119,41134,28082,16561,9521,5036,2546,918,737
2008-02-01,531330,9658,73120,95495,84007,71974,61558,46110,35419,23937,14227,8109,4269,2117,726,602,2,2008,2,M,266391,53041,66536,62608,38674,3805,2206,4657,6454,7313,6641,5454,3780,2198,1339,836,479,224,146,797721,53043,66536,62608,48332,76925,97701,88664,78428,68871,52751,40873,27717,16425,9448,5105,2596,950,748
2008-03-01,545271,9901,74690,97456,85963,73887,63287,47539,36390,24719,14873,8520,4469,2191,761,623,2,2008,3,M,271570,53660,67742,63638,39274,3868,2243,4758,6658,7633,6840,5605,3962,2341,1441,930,549,269,159,816841,53662,67742,63638,49175,78558,99699,90721,80545,70920,54379,41995,28681,17214,9961,5399,2740,1030,782
2008-04-01,555570,11293,77405,99177,87312,74609,64058,48309,36867,24857,15040,8591,4473,2186,767,625,1,2008,4,M,279983,55204,69426,65289,40112,4214,2651,5180,6990,7897,7044,5784,4099,2470,1514,1006,620,308,175,835553,55205,69426,65289,51405,81619,101828,92492,81599,71955,55353,42651,28956,17510,10105,5479,2806,1075,800
2008-05-01,549271,10346,75279,97818,86066,73989,63510,48345,37016,24942,15201,8596,4534,2216,776,636,1,2008,5,M,293060,57957,72952,68336,41936,4231,2739,5392,7324,8224,7299,5995,4243,2583,1593,1062,675,333,186,842331,57958,72952,68336,52282,79510,100557,91458,81313,71734,55644,43011,29185,17784,10189,5596,2891,1109,822
2008-06-01,562936,10814,76739,99749,87814,75658,64928,49834,38167,25844,15877,9010,4733,2298,810,659,2,2008,6,M,304028,59631,75352,70799,43285,4373,2845,5672,7650,8652,7808,6449,4574,2803,1717,1116,737,357,208,866964,59633,75352,70799,54099,81112,102594,93486,83308,73580,57642,44616,30418,18680,10727,5849,3035,1167,867
2008-07-01,556411,10583,75761,98212,86551,74750,64038,49501,37921,25708,15779,9055,4737,2336,818,659,2,2008,7,M,320500,61099,77414,72721,45186,6251,4618,7048,8768,9461,8402,6889,4894,3059,1927,1253,853,408,249,876911,61101,77414,72721,55769,82012,102830,93599,83518,73499,57903,44810,30602,18838,10982,5990,3189,1226,908
2008-08-01,566372,11858,77896,99689,87544,75564,64844,50321,38457,26176,16095,9240,4809,2376,841,660,2,2008,8,M,317474,60565,75951,71031,44122,5854,4697,7190,8971,9716,8644,7213,5194,3235,2094,1356,919,445,277,883846,60567,75951,71031,55980,83750,104386,94734,84535,74560,58965,45670,31370,19330,11334,6165,3295,1286,937
2008-09-01,560752,11558,77121,98585,86776,74924,64082,49971,38140,25961,16001,9087,4726,2343,825,651,1,2008,9,M,320786,60846,76804,71802,44717,5816,4639,7279,8995,9828,8854,7336,5305,3337,2149,1384,950,467,278,881538,60847,76804,71802,56275,82937,103224,94055,83919,73910,58825,45476,31266,19338,11236,6110,3293,1292,929
2008-10-01,564960,10760,76357,99029,87849,75721,64797,50789,38727,26560,16316,9259,4860,2404,860,670,2,2008,10,M,328026,61345,78464,73376,45940,5957,4837,7498,9248,10105,9170,7533,5542,3500,2262,1467,997,493,292,892986,61347,78464,73376,56700,82314,103866,95347,84969,74902,59959,46260,32102,19816,11521,6327,3401,1353,962
2008-11-01,562181,11040,76244,97829,86976,74925,64283,50805,38742,26728,16474,9289,4911,2412,868,654,1,2008,11,M,330133,61886,79156,74090,46313,5631,4567,7280,9240,10088,9207,7668,5589,3594,2375,1546,1050,536,317,892314,61887,79156,74090,57353,81875,102396,94256,84165,74371,60012,46410,32317,20068,11664,6457,3462,1404,971
2008-12-01,555896,10824,75280,96475,86047,73942,63404,50357,38487,26553,16394,9259,4924,2416,877,656,1,2008,12,M,334429,62838,80481,75512,47206,5377,4382,7178,9202,9994,9255,7661,5660,3651,2406,1589,1112,575,350,890325,62839,80481,75512,58030,80657,100857,93225,83144,73398,59612,46148,32213,20045,11665,6513,3528,1452,1006
2009-01-01,562506,10960,76171,97369,87078,74758,64112,50923,38987,27056,16633,9411,5026,2456,898,666,2,2009,1,M,348233,66342,83773,78544,48906,5520,4579,7357,9531,10395,9423,7892,5839,3789,2499,1682,1190,607,365,910739,66344,83773,78544,59866,81691,101948,94435,84289,74507,60346,46879,32895,20422,11910,6708,3646,1505,1031
2009-02-01,561337,10843,75759,96680,86695,74678,64185,51000,39069,27196,16673,9498,5022,2474,905,658,2,2009,2,M,357791,67906,85298,80236,49790,5791,5046,8005,10051,10815,9809,8246,6148,3947,2654,1769,1250,639,391,919128,67908,85298,80236,60633,81550,101726,94700,84729,75000,60809,47315,33344,20620,12152,6791,3724,1544,1049
2009-03-01,564450,10614,75188,97006,87425,75437,64710,51678,39336,27556,16827,9483,5080,2517,930,661,2,2009,3,M,363869,69255,86587,81569,50725,6132,5146,8001,10035,10861,9832,8359,6232,4084,2750,1869,1315,700,417,928319,69257,86587,81569,61339,81320,102152,95426,85472,75571,61510,47695,33788,20911,12233,6949,3832,1630,1078
2009-04-01,571817,10732,76024,97762,88843,76521,65463,52526,39927,28015,17049,9607,5163,2568,938,677,2,2009,4,M,375469,71944,89402,83955,52331,5812,4975,7971,10179,11053,10038,8512,6484,4332,3026,2216,1646,945,648,947286,71946,89402,83955,63063,81836,102737,96814,86700,76516,62564,48439,34499,21381,12633,7379,4214,1883,1325
2009-05-01,563115,10462,74952,95745,87437,75159,64327,51839,39374,27870,16999,9555,5219,2570,932,673,2,2009,5,M,379437,72671,89858,84673,52847,5844,5173,8107,10331,11156,10168,8650,6648,4457,3090,2336,1717,1013,698,942552,72673,89858,84673,63309,80796,100918,95544,85490,75483,62007,48024,34518,21456,12645,7555,4287,1945,1371
2009-06-01,571694,10295,75457,96792,88862,76478,65340,52995,40083,28512,17530,9767,5326,2601,981,674,1,2009,6,M,392879,75001,92114,86977,55168,6668,5365,8485,10769,11667,10515,9062,6968,4708,3285,2476,1824,1088,739,964573,75002,92114,86977,65463,82125,102157,97347,87247,77007,63510,49145,35480,22238,13052,7802,4425,2069,1413
2009-07-01,584781,10433,76578,98048,90430,77876,67017,54588,41564,29499,18316,10243,5615,2781,1055,737,1,2009,7,M,405696,77504,94816,89706,57103,6866,5604,8794,11012,12021,10884,9275,7238,4972,3449,2622,1918,1139,773,990477,77505,94816,89706,67536,83444,103652,99224,88888,79038,65472,50839,36737,23288,13692,8237,4699,2194,1510
2009-08-01,614216,11020,78580,100712,93520,81106,70567,57903,44813,32382,20424,11589,6387,3170,1225,816,2,2009,8,M,422898,80928,99243,94103,59803,7001,5572,8911,11376,12149,11080,9528,7526,5253,3660,2762,1982,1222,799,1037114,80930,99243,94103,70823,85581,106284,102431,92482,82716,68983,54341,39908,25677,15249,9149,5152,2447,1615
2009-09-01,620609,11204,79620,101155,94602,81850,71203,58573,45305,32813,20649,11799,6513,3255,1238,827,3,2009,9,M,429951,82037,100597,95694,61196,7053,5584,9043,11454,12320,11279,9797,7693,5477,3718,2850,2053,1265,841,1050560,82040,100597,95694,72400,86673,106739,103645,93304,83523,69852,55102,40506,26126,15517,9363,5308,2503,1668
