Total general_cotizantes,Total Región Distrito Nacional_cotizantes,Total 0 - Santo Domingo_cotizantes,Distrito Nacional_cotizantes,Monte Plata_cotizantes,Santo Domingo_cotizantes,Total Región Este_cotizantes,Total V - Este_cotizantes,El Seybo_cotizantes,Hato Mayor del Rey_cotizantes,La Altagracia_cotizantes,La Romana_cotizantes,San Pedro de Macorís_cotizantes,Total Región Norte_cotizantes,Total II - Norcentral_cotizantes,Espaillat_cotizantes,Puerto Plata_cotizantes,Santiago_cotizantes,Total III - Nordeste_cotizantes,Duarte_cotizantes,Hermanas Mirabal_cotizantes,Maria Trinidad Sanchez_cotizantes,Samana,Total VII - Cibao Occidental_cotizantes,Dajabon_cotizantes,Montecristi_cotizantes,Santiago Rodriguez_cotizantes,Valverde_cotizantes,Total VIII - Cibao Central_cotizantes,La vega_cotizantes,Monseñor Nouel_cotizantes,Sanchez Ramirez_cotizantes,Total Región Sur_cotizantes,Total I - Valdesia_cotizantes,Peravia_cotizantes,San Cristóbal_cotizantes,San jose de Ocoa,Total IV - Enriquillo_cotizantes,Bahoruco_cotizantes,Barahona_cotizantes,Independencia_cotizantes,Pedernales_cotizantes,Total VI - El Valle_cotizantes,Azua_cotizantes,Elias Piña_cotizantes,San Juan de la Maguana_cotizantes,No Especificada_cotizantes,Month,Year,Periodo de Cobertura,Total general_no_cotizantes,Total Región Distrito Nacional_no_cotizantes,Total 0 - Santo Domingo_no_cotizantes,Distrito Nacional_no_cotizantes,Monte Plata_no_cotizantes,Santo Domingo_no_cotizantes,Total Región Este_no_cotizantes,Total V - Este_no_cotizantes,El Seybo_no_cotizantes,Hato Mayor del Rey_no_cotizantes,La Altagracia_no_cotizantes,La Romana_no_cotizantes,San Pedro de Macorís_no_cotizantes,Total Región Norte_no_cotizantes,Total II - Norcentral_no_cotizantes,Espaillat_no_cotizantes,Puerto Plata_no_cotizantes,Santiago_no_cotizantes,Total III - Nordeste_no_cotizantes,Duarte_no_cotizantes,Hermanas Mirabal_no_cotizantes,Maria Trinidad Sanchez_no_cotizantes,Samaná_regionales,Total VII - Cibao Occidental_no_cotizantes,Dajabon_no_cotizantes,Montecristi_no_cotizantes,Santiago Rodriguez_no_cotizantes,Valverde_no_cotizantes,Total VIII - Cibao Central_no_cotizantes,La vega_no_cotizantes,Monseñor Nouel_no_cotizantes,Sanchez Ramirez_no_cotizantes,Total Región Sur_no_cotizantes,Total I - Valdesia_no_cotizantes,Peravia_no_cotizantes,San Cristóbal_no_cotizantes,San José de Ocoa_regionales,Total IV - Enriquillo_no_cotizantes,Bahoruco_no_cotizantes,Barahona_no_cotizantes,Independencia_no_cotizantes,Pedernales_no_cotizantes,Total VI - El Valle_no_cotizantes,Azua_no_cotizantes,Elias Piña_no_cotizantes,San Juan de la Maguana_no_cotizantes,No Especificada_no_cotizantes,Total general,Total Región Distrito Nacional,Total 0 - Santo Domingo,Distrito Nacional,Monte Plata,Santo Domingo,Total Región Este,Total V - Este,El Seybo,Hato Mayor del Rey,La Altagracia,La Romana,San Pedro de Macorís,Total Región Norte,Total II - Norcentral,Espaillat,Puerto Plata,Santiago,Total III - Nordeste,Duarte,Hermanas Mirabal,Maria Trinidad Sanchez,Samaná,Total VII - Cibao Occidental,Dajabon,Montecristi,Santiago Rodriguez,Valverde,Total VIII - Cibao Central,La vega,Monseñor Nouel,Sanchez Ramirez,Total Región Sur,Total I - Valdesia,Peravia,San Cristóbal,San José de Ocoa,Total IV - Enriquillo,Bahoruco,Barahona,Independencia,Pedernales,Total VI - El Valle,Azua,Elias Piña,San Juan de la Maguana,No Especificada
805496,334858,334858,284414,4006,46438,66088,66088,2467,3183,17629,23224,19585,161131,102943,8688,18005,76250,18234,10557,2607,2996,2074,12494,2219,2843,1847,5585,27460,15694,7596,4170,58092,34027,5026,27535,1466,11060,2626,5914,1714,806,13005,4759,1614,6632,185327,9,2007,2007-09-01,402546,204426,204426,181566,2568,20292,26384,26384,1285,1589,5528,10386,7596,84400,50189,4460,9264,36465,11068,5978,1802,2274,1014,7113,1570,1709,1341,2493,16030,7765,5312,2953,36287,20126,2832,16273,1021,7110,1490,3708,1229,683,9051,3482,974,4595,51049,1208042,539284,539284,465980,6574,66730,92472,92472,3752,4772,23157,33610,27181,245531,153132,13148,27269,112715,29302,16535,4409,5270,3088,19607,3789,4552,3188,8078,43490,23459,12908,7123,94379,54153,7858,2487,43808,18170,4116,9622,2943,1489,22056,8241,2588,11227,236376
903242,362220,362220,306444,6426,49350,71774,71774,3123,4385,18396,24178,21692,191360,113590,10380,20983,82227,25669,13853,4259,4575,2982,17162,3088,4162,2618,7294,34939,18837,9673,6429,73683,39397,5767,31480,2150,15992,3952,8423,2542,1075,18294,6684,2354,9256,204205,10,2007,2007-10-01,481568,225383,225383,192688,5375,27320,31958,31958,1930,2649,6549,11299,9531,117411,63229,6822,12025,44382,19003,9253,3561,3978,2211,11287,2500,2564,2356,3867,23892,11868,6806,5218,55349,26640,3977,20529,2134,12958,3082,6657,2211,1008,15751,6058,1731,7962,51467,1384810,587603,587603,499132,11801,76670,103732,103732,5053,7034,24945,35477,31223,308771,176819,17202,33008,126609,44672,23106,7820,8553,5193,28449,5588,6726,4974,11161,58831,30705,16479,11647,129032,66037,9744,4284,52009,28950,7034,15080,4753,2083,34045,12742,4085,17218,255672
915500,362981,362981,307214,6331,49436,72303,72303,3118,4398,18277,24148,22362,194285,115883,10385,21117,84381,25594,13852,4327,4556,2859,17286,3073,4251,2601,7361,35522,19085,9884,6553,74948,40537,5870,32515,2152,16041,3990,8470,2541,1040,18370,6705,2352,9313,210983,11,2007,2007-11-01,506475,236631,236631,200037,5511,31083,33376,33376,1978,2773,6842,11623,10160,125865,68810,7284,12899,48627,19834,9753,3748,4025,2308,11915,2570,2696,2464,4185,25306,12568,7152,5586,58319,28420,4306,21861,2253,13522,3228,6957,2304,1033,16377,6219,1829,8329,52284,1421975,599612,599612,507251,11842,80519,105679,105679,5096,7171,25119,35771,32522,320150,184693,17669,34016,133008,45428,23605,8075,8581,5167,29201,5643,6947,5065,11546,60828,31653,17036,12139,133267,68957,10176,4405,54376,29563,7218,15427,4845,2073,34747,12924,4181,17642,263267
941619,371593,371593,313912,6679,51002,73465,73465,3155,4598,18033,24662,23017,197388,115896,10740,21226,83930,26242,14101,4395,4777,2969,17757,3175,4399,2661,7522,37493,20932,9818,6743,76237,41005,5987,32747,2271,16327,4103,8559,2596,1069,18905,6907,2379,9619,222936,12,2007,2007-12-01,535562,249104,249104,210683,5910,32511,36404,36404,2186,3092,6934,12828,11364,134515,72518,7890,13307,51321,21586,11019,3888,4228,2451,12560,2725,2879,2548,4408,27851,14075,7816,5960,62313,30179,4538,23297,2344,14460,3525,7428,2454,1053,17674,6911,1989,8774,53226,1477181,620697,620697,524595,12589,83513,109869,109869,5341,7690,24967,37490,34381,331903,188414,18630,34533,135251,47828,25120,8283,9005,5420,30317,5900,7278,5209,11930,65344,35007,17634,12703,138550,71184,10525,4615,56044,30787,7628,15987,5050,2122,36579,13818,4368,18393,276162
939349,369779,369779,312036,6723,51020,75946,75946,3446,4698,19202,25257,23343,198171,116903,10804,21677,84422,26358,14196,4427,4726,3009,17450,3154,4304,2629,7363,37460,20732,9953,6775,76239,41199,6104,32880,2215,16232,4040,8537,2584,1071,18808,6868,2388,9552,219214,1,2008,2008-01-01,546150,253946,253946,214410,6039,33497,37815,37815,2262,3179,7336,13211,11827,137345,74339,8051,13773,52515,21984,11352,3912,4232,2488,12681,2754,2887,2538,4502,28341,14463,7861,6017,63379,31045,4616,24045,2384,14535,3451,7518,2465,1101,17799,6869,1996,8934,53665,1485499,623725,623725,526446,12762,84517,113761,113761,5708,7877,26538,38468,35170,335516,191242,18855,35450,136937,48342,25548,8339,8958,5497,30131,5908,7191,5167,11865,65801,35195,17814,12792,139618,72244,10720,4599,56925,30767,7491,16055,5049,2172,36607,13737,4384,18486,272879
932574,367354,367354,310094,6420,50840,76014,76014,3234,4639,19443,25265,23433,195309,114549,10678,21850,82021,26446,14227,4423,4727,3069,17356,3148,4281,2572,7355,36958,20275,9922,6761,75611,40558,5958,32412,2188,16475,4077,8795,2548,1055,18578,6784,2371,9423,218286,2,2008,2008-02-01,565039,262909,262909,222015,6096,34798,39533,39533,2350,3238,7620,13628,12697,142874,77709,8458,14369,54882,22826,11807,4066,4410,2543,13151,2854,3002,2540,4755,29188,14608,8243,6337,65016,32305,4722,25126,2457,14523,3352,7591,2455,1125,18188,7014,2038,9136,54707,1497613,630263,630263,532109,12516,85638,115547,115547,5584,7877,27063,38893,36130,338183,192258,19136,36219,136903,49272,26034,8489,9137,5612,30507,6002,7283,5112,12110,66146,34883,18165,13098,140627,72863,10680,4645,57538,30998,7429,16386,5003,2180,36766,13798,4409,18559,272993
951361,370943,370943,313055,6722,51166,76629,76629,3393,4773,19493,25261,23709,200056,117804,10901,22019,84884,26554,14314,4490,4633,3117,17569,3190,4334,2631,7414,38129,21278,10048,6803,77008,41665,6003,33438,2224,16569,4096,8848,2580,1045,18774,6861,2377,9536,226725,3,2008,2008-03-01,577657,269173,269173,227074,6300,35799,40170,40170,2375,3309,7786,13765,12935,145991,79233,8522,14509,56202,23107,12031,4118,4365,2593,13509,2905,3107,2629,4868,30142,15215,8495,6432,66998,33600,4852,26265,2483,14839,3393,7739,2585,1122,18559,7134,2083,9342,55325,1529018,640116,640116,540129,13022,86965,116799,116799,5768,8082,27279,39026,36644,346047,197037,19423,36528,141086,49661,26345,8608,8998,5710,31078,6095,7441,5260,12282,68271,36493,18543,13235,144006,75265,10855,4707,59703,31408,7489,16587,5165,2167,37333,13995,4460,18878,282050
969551,370061,370061,312042,6697,51322,77058,77058,3507,4773,19275,25462,24041,201124,118913,11339,22228,85346,26615,14248,4541,4712,3114,17499,3160,4301,2612,7426,38097,21206,10073,6818,76648,41192,5978,32979,2235,16517,4078,8835,2564,1040,18939,6901,2387,9651,244660,4,2008,2008-04-01,595369,277030,277030,233424,6482,37124,42382,42382,2475,3376,8124,14910,13497,150942,82306,8807,14899,58600,23833,12460,4259,4508,2606,13867,2922,3211,2683,5051,30936,15660,8631,6645,68009,34038,4905,26571,2562,15116,3492,7871,2610,1143,18855,7230,2107,9518,57006,1564920,647091,647091,545466,13179,88446,119440,119440,5982,8149,27399,40372,37538,352066,201219,20146,37127,143946,50448,26708,8800,9220,5720,31366,6082,7512,5295,12477,69033,36866,18704,13463,144657,75230,10883,4797,59550,31633,7570,16706,5174,2183,37794,14131,4494,19169,301666
962794,369689,369689,311664,6542,51483,77113,77113,3493,4611,19103,25582,24324,200992,119025,11357,22024,85644,26691,14263,4595,4742,3091,17627,3164,4350,2613,7500,37649,20787,9984,6878,76890,41354,6024,33104,2226,16492,4056,8847,2560,1029,19044,6943,2389,9712,238110,5,2008,2008-05-01,622228,287199,287199,241782,6649,38768,45429,45429,2687,3612,8774,15507,14849,160754,87823,9328,15849,62646,25171,13129,4541,4786,2715,14689,3076,3400,2851,5362,33071,16506,9430,7135,71578,35850,5128,28071,2651,15796,3626,8276,2741,1153,19932,7625,2248,10059,57268,1585022,656888,656888,553446,13191,90251,122542,122542,6180,8223,27877,41089,39173,361746,206848,20685,37873,148290,51862,27392,9136,9528,5806,32316,6240,7750,5464,12862,70720,37293,19414,14013,148468,77204,11152,4877,61175,32288,7682,17123,5301,2182,38976,14568,4637,19771,295378
982560,375269,375269,315818,6864,52587,76718,76718,3509,4756,18956,25368,24129,203917,120215,11641,21923,86651,26984,14430,4653,4856,3045,17990,3240,4471,2640,7639,38728,21786,10016,6926,78576,42194,6193,33650,2351,16874,4202,9002,2594,1076,19508,7049,2448,10011,248080,6,2008,2008-06-01,644595,296375,296375,248374,7134,40867,46867,46867,2801,3773,8991,15669,15633,168172,91414,10009,16514,64891,26351,13752,4767,5039,2793,15559,3193,3666,3033,5667,34848,17669,9617,7562,75345,37303,5436,29098,2769,17026,3935,8894,2922,1275,21016,8111,2351,10554,57836,1627155,671644,671644,564192,13998,93454,123585,123585,6310,8529,27947,41037,39762,372089,211629,21650,38437,151542,53335,28182,9420,9895,5838,33549,6433,8137,5673,13306,73576,39455,19633,14488,153921,79497,11629,5120,62748,33900,8137,17896,5516,2351,40524,15160,4799,20565,305916
