Periodo de Cobertura,Total_Capitas_Dispersadas,Total_Capitas_Dispersada_mes,Total_Capitas_Dispersada_posterior,Titulares_Total,Titulares_Dispersadas_mes,Titulares_Dispersadas_posterior,Dependientes_Total,Dependientes_Dispersadas_mes,Dependientess_Dispersadas_posterior,Adicionales_Total,Adicionales_Dispersadas_mes,Adicionales_Dispersadas_posterior,Year,Month
2007-09-01,173242,57432,115810,77667,28975,48692,95246,28128,67118,329,329,0,2007,9
2007-10-01,173441,172952,489,78958,78588,370,94154,94035,119,329,329,0,2007,10
2007-11-01,175569,167099,8470,80413,73371,7042,94263,92835,1428,893,893,0,2007,11
2007-12-01,175886,175106,780,81573,81172,401,93424,93045,379,889,889,0,2007,12
2008-01-01,178955,178033,922,83904,83293,611,93830,93519,311,1221,1221,0,2008,1
2008-02-01,183616,182609,1007,89550,88810,740,92586,92319,267,1480,1480,0,2008,2
2008-03-01,184734,183869,865,90619,90007,612,92368,92115,253,1747,1747,0,2008,3
2008-04-01,184761,183712,1049,91324,90617,707,91693,91351,342,1744,1744,0,2008,4
2008-05-01,187624,186769,855,92186,91548,638,93693,93476,217,1745,1745,0,2008,5
2008-06-01,193338,192858,480,92125,91752,373,99471,99364,107,1742,1742,0,2008,6
2008-07-01,194686,194000,686,92474,91973,501,100433,100248,185,1779,1779,0,2008,7
2008-08-01,198632,198020,612,92769,92346,423,104062,103873,189,1801,1801,0,2008,8
2008-09-01,197971,197090,881,92554,91933,621,103632,103372,260,1785,1785,0,2008,9
2008-10-01,197695,196996,699,92672,92172,500,103236,103037,199,1787,1787,0,2008,10
2008-11-01,197994,197335,659,92323,91877,446,103888,103678,210,1783,1780,3,2008,11
2008-12-01,197959,197080,879,92646,92063,583,103422,103126,296,1891,1891,0,2008,12
2009-01-01,197595,196828,767,92850,92327,523,102865,102622,243,1880,1879,1,2009,1
2009-02-01,197495,196819,676,92755,92309,446,102872,102642,230,1868,1868,0,2009,2
2009-03-01,197914,197310,604,93515,93092,423,102546,102365,181,1853,1853,0,2009,3
2009-04-01,200699,200350,349,93339,93147,192,102135,101981,154,5225,5222,3,2009,4
