Periodo de Cobertura,Total_Capitas_Dispersadas,Total_Capitas_Dispersada_mes,Total_Capitas_Dispersada_posterior,Titulares_Total,Titulares_Dispersadas_mes,Titulares_Dispersadas_posterior,Dependientes_Total,Dependientes_Dispersadas_mes,Dependientess_Dispersadas_posterior,Adicionales_Total,Adicionales_Dispersadas_mes,Adicionales_Dispersadas_posterior,Year,Month
2007-09-01,321977,298937,23040,295069,274092,20977,24652,22589,2063,2256,2256,0,2007,9
2007-10-01,337618,329619,7999,307462,300078,7384,27697,27082,615,2459,2459,0,2007,10
2007-11-01,355760,305712,50048,314892,277985,36907,38335,27685,10650,2533,42,2491,2007,11
2007-12-01,366525,357791,8734,314306,306241,8065,49692,49023,669,2527,2527,0,2007,12
2008-01-01,363932,350497,13435,306476,294797,11679,54885,53129,1756,2571,2571,0,2008,1
2008-02-01,362646,346500,16146,298536,284689,13847,60925,58628,2297,3185,3183,2,2008,2
2008-03-01,370070,356341,13729,302307,290593,11714,64546,62531,2015,3217,3217,0,2008,3
2008-04-01,383297,369472,13825,311030,299336,11694,69018,66887,2131,3249,3249,0,2008,4
2008-05-01,388379,373122,15257,309233,296103,13130,75864,73737,2127,3282,3282,0,2008,5
2008-06-01,398698,389133,9565,313288,304746,8542,82068,81046,1022,3342,3341,1,2008,6
2008-07-01,413129,400922,12207,318328,307569,10759,91046,89611,1435,3755,3742,13,2008,7
2008-08-01,426622,412436,14186,322786,310874,11912,99922,97650,2272,3914,3912,2,2008,8
2008-09-01,430520,415787,14733,321556,309101,12455,105046,102778,2268,3918,3908,10,2008,9
2008-10-01,426766,417180,9586,314147,306250,7897,108718,107030,1688,3901,3900,1,2008,10
2008-11-01,409682,398195,11487,297222,287609,9613,108218,106346,1872,4242,4240,2,2008,11
2008-12-01,411897,396219,15678,292147,279378,12769,115269,112373,2896,4481,4468,13,2008,12
2009-01-01,415925,401077,14848,289504,277546,11958,121753,118864,2889,4668,4667,1,2009,1
2009-02-01,419977,407534,12443,288712,279131,9581,126407,123548,2859,4858,4855,3,2009,2
2009-03-01,423727,413106,10621,287794,279271,8523,130832,128765,2067,5101,5070,31,2009,3
2009-04-01,421251,414012,7239,279389,273996,5393,136328,134527,1801,5534,5489,45,2009,4
