Periodo de Cobertura,Total_Capitas_Dispersadas,Total_Capitas_Dispersada_mes,Total_Capitas_Dispersada_posterior,Titulares_Total,Titulares_Dispersadas_mes,Titulares_Dispersadas_posterior,Dependientes_Total,Dependientes_Dispersadas_mes,Dependientess_Dispersadas_posterior,Adicionales_Total,Adicionales_Dispersadas_mes,Adicionales_Dispersadas_posterior,Year,Month
2007-09-01,1365545,1207909,157636,864823,786177,78646,498096,419106,78990,2626,2626,0,2007,9
2007-10-01,1426608,1384810,41798,910379,882174,28205,513329,499736,13593,2900,2900,0,2007,10
2007-11-01,1469201,1341375,127826,927527,837937,89590,537699,501972,35727,3975,1466,2509,2007,11
2007-12-01,1513477,1477181,36296,944416,919911,24505,564795,553015,11780,4266,4255,11,2007,12
2008-01-01,1527586,1485499,42087,945206,917437,27769,577426,563108,14318,4954,4954,0,2008,1
2008-02-01,1553787,1497613,56174,948345,910416,37929,598349,580117,18232,7093,7080,13,2008,2
2008-03-01,1573142,1529018,44124,957362,928058,29304,607633,592823,14810,8147,8137,10,2008,3
2008-04-01,1609077,1564920,44157,978373,948781,29592,621557,607002,14555,9147,9137,10,2008,4
2008-05-01,1635841,1585022,50819,976409,941078,35331,649427,633962,15465,10005,9982,23,2008,5
2008-06-01,1661157,1627155,34002,983268,960671,22597,666831,655441,11390,11058,11043,15,2008,6
2008-07-01,1697287,1651943,45344,995565,964834,30731,688569,674013,14556,13153,13096,57,2008,7
2008-08-01,1705030,1660516,44514,1007154,977858,29296,683352,668147,15205,14524,14511,13,2008,8
2008-09-01,1713251,1661072,52179,1006525,971728,34797,691743,674405,17338,14983,14939,44,2008,9
2008-10-01,1720324,1684348,35976,1002973,980267,22706,701453,688210,13243,15898,15871,27,2008,10
2008-11-01,1735659,1688779,46880,1006103,975844,30259,712112,695532,16580,17444,17403,41,2008,11
2008-12-01,1752077,1692259,59818,1004756,966146,38610,728414,707328,21086,18907,18785,122,2008,12
2009-01-01,1783337,1732143,51194,1009171,976384,32787,754277,735953,18324,19889,19806,83,2009,1
2009-02-01,1801214,1753062,48152,1011818,981354,30464,768045,750383,17662,21351,21325,26,2009,2
2009-03-01,1811606,1771270,40336,1010836,984456,26380,777653,763805,13848,23117,23009,108,2009,3
2009-04-01,1841904,1812016,29888,1011825,993800,18025,801362,789690,11672,28717,28526,191,2009,4
2009-05-01,1856663,1810333,46330,1011555,984483,27072,814126,795132,18994,30982,30718,264,2009,5
2009-06-01,1865762,1853218,12544,1003639,997718,5921,828892,822303,6589,33231,33197,34,2009,6
2009-07-01,1921398,1902560,18838,1026036,1016530,9506,859810,850580,9230,35552,35450,102,2009,7
2009-08-01,2037181,1990226,46955,1088954,1061037,27917,909967,891019,18948,38260,38170,90,2009,8
2009-09-01,2063897,2016376,47521,1096838,1068508,28330,926784,907665,19119,40275,40203,72,2009,9
2009-10-01,2091906,2040405,51501,1100361,1070583,29778,949367,927824,21543,42178,41998,180,2009,10
2009-11-01,2119180,2066134,53046,1106541,1076290,30251,968411,945974,22437,44228,43870,358,2009,11
2009-12-01,2145905,2088299,57606,1111961,1079602,32359,987227,962409,24818,46717,46288,429,2009,12
2010-01-01,2177823,2116721,61102,1118760,1084064,34696,1010993,984778,26215,48070,47879,191,2010,1
2010-02-01,2199981,2133644,66337,1128040,1092145,35895,1022177,992062,30115,49764,49437,327,2010,2
2010-03-01,2230086,2181022,49064,1138541,1110729,27812,1040053,1019071,20982,51492,51222,270,2010,3
2010-04-01,2260556,2220654,39902,1150207,1127831,22376,1057851,1040556,17295,52498,52267,231,2010,4
2010-05-01,2275475,2222231,53244,1151055,1119159,31896,1068514,1047384,21130,55906,55688,218,2010,5
2010-06-01,2296819,2218189,78630,1155066,1109088,45978,1083603,1051542,32061,58150,57559,591,2010,6
2010-07-01,2311413,2244244,67169,1156153,1119412,36741,1094116,1064315,29801,61144,60517,627,2010,7
2010-08-01,2326869,2264526,62343,1155898,1122894,33004,1107918,1079262,28656,63053,62370,683,2010,8
2010-09-01,2347810,2292014,55796,1159858,1130641,29217,1122822,1096904,25918,65130,64469,661,2010,9
2010-10-01,2360732,2307559,53173,1161099,1134058,27041,1132392,1106867,25525,67241,66634,607,2010,10
2010-11-01,2381377,2335714,45663,1164782,1141554,23228,1147579,1125560,22019,69016,68600,416,2010,11
2010-12-01,2404095,2364083,40012,1172595,1152861,19734,1160624,1140803,19821,70876,70419,457,2010,12
2011-01-01,2420031,2366133,53898,1180009,1151725,28284,1168080,1142920,25160,71942,71488,454,2011,1
2011-02-01,2438561,2382134,56427,1185907,1155317,30590,1178888,1153651,25237,73766,73166,600,2011,2
2011-03-01,2462034,2409261,52773,1193091,1165589,27502,1192653,1167985,24668,76290,75687,603,2011,3
2011-04-01,2492762,2442786,49976,1204462,1178791,25671,1209521,1185769,23752,78779,78226,553,2011,4
2011-05-01,2495768,2411906,83862,1200861,1155834,45027,1214053,1176067,37986,80854,80005,849,2011,5
2011-06-01,2516240,2446039,70201,1205040,1166668,38372,1227967,1196915,31052,83233,82456,777,2011,6
2011-07-01,2539609,2480143,59466,1210727,1181811,28916,1243061,1213394,29667,85821,84938,883,2011,7
2011-08-01,2562024,2501328,60696,1217325,1187855,29470,1256614,1226406,30208,88085,87067,1018,2011,8
2011-09-01,2577010,2503709,73301,1218127,1182536,35591,1268949,1232851,36098,89934,88322,1612,2011,9
2011-10-01,2578912,2505352,73560,1220874,1187019,33855,1265755,1226895,38860,92283,91438,845,2011,10
