Periodo de Cobertura,Total_Capitas_Dispersadas,Total_Capitas_Dispersada_mes,Total_Capitas_Dispersada_posterior,Titulares_Total_capitas,Titulares_Dispersadas_mes_capitas,Titulares_Dispersadas_posterior_capitas,Dependientes_Total_capitas,Dependientes_Dispersadas_mes_capitas,Dependientess_Dispersadas_posterior_capitas,Adicionales_Total_capitas,Adicionales_Dispersadas_mes_capitas,Adicionales_Dispersadas_posterior_capitas,Year,Month,Total_Monto_Dispersadas,Total_Monto_Dispersada_mes,Total_Monto_Dispersada_posterior,Titulares_Total_monto,Titulares_Dispersadas_mes_monto,Titulares_Dispersadas_posterior_monto,Dependientes_Total_monto,Dependientes_Dispersadas_mes_monto,Dependientess_Dispersadas_posterior_monto,Adicionales_Total_monto,Adicionales_Dispersadas_mes_monto,Adicionales_Dispersadas_posterior_monto
2007-09-01,1365545,1207909,157636,864823,786177,78646,498096,419106,78990,2626,2626,0,2007,9,660008806,583818653,76190153,417994896,379982928,38011968,240744687,202566502,38178185,1269223,1269223,0
2007-10-01,1426608,1384810,41798,910379,882174,28205,513329,499736,13593,2900,2900,0,2007,10,689522331,669320213,20202118,440013457,426381158,13632299,248107219,241537400,6569819,1401655,1401655,0
2007-11-01,1469201,1341375,127826,927527,837937,89590,537699,501972,35727,3975,1466,2509,2007,11,710108795,648326775,61782020,448301592,405000089,43301503,259885969,242618126,17267843,1921234,708560,1212674
2007-12-01,1513477,1477181,36296,944416,919911,24505,564795,553015,11780,4266,4255,11,2007,12,731508714,713965887,17542827,456464552,444620582,11843970,272982279,267288738,5693541,2061883,2056567,5316
2008-01-01,1527586,1485499,42087,945206,917437,27769,577426,563108,14318,4954,4954,0,2008,1,947103320,921009380,26093940,586027720,568810940,17216780,358004120,349126960,8877160,3071480,3071480,0
2008-02-01,1553787,1497613,56174,948345,910416,37929,598349,580117,18232,7093,7080,13,2008,2,963347940,928520060,34827880,587973900,564457920,23515980,370976380,359672540,11303840,4397660,4389600,8060
2008-03-01,1573142,1529018,44124,957362,928058,29304,607633,592823,14810,8147,8137,10,2008,3,975348040,947991160,27356880,593564440,575395960,18168480,376732460,367550260,9182200,5051140,5044940,6200
2008-04-01,1609077,1564920,44157,978373,948781,29592,621557,607002,14555,9147,9137,10,2008,4,997627740,970250400,27377340,606591260,588244220,18347040,385365340,376341240,9024100,5671140,5664940,6200
2008-05-01,1635841,1585022,50819,976409,941078,35331,649427,633962,15465,10005,9982,23,2008,5,1014221420,982713640,31507780,605373580,583468360,21905220,402644740,393056440,9588300,6203100,6188840,14260
2008-06-01,1661157,1627155,34002,983268,960671,22597,666831,655441,11390,11058,11043,15,2008,6,1029917340,1008836100,21081240,609626160,595616020,14010140,413435220,406373420,7061800,6855960,6846660,9300
2008-07-01,1697287,1651943,45344,995565,964834,30731,688569,674013,14556,13153,13096,57,2008,7,1052317940,1024204660,28113280,617250300,598197080,19053220,426912780,417888060,9024720,8154860,8119520,35340
2008-08-01,1705030,1660516,44514,1007154,977858,29296,683352,668147,15205,14524,14511,13,2008,8,1057118600,1029519920,27598680,624435480,606271960,18163520,423678240,414251140,9427100,9004880,8996820,8060
2008-09-01,1713251,1661072,52179,1006525,971728,34797,691743,674405,17338,14983,14939,44,2008,9,1062215620,1029864640,32350980,624045500,602471360,21574140,428880660,418131100,10749560,9289460,9262180,27280
2008-10-01,1720324,1684348,35976,1002973,980267,22706,701453,688210,13243,15898,15871,27,2008,10,1066600880,1044295760,22305120,621843260,607765540,14077720,434900860,426690200,8210660,9856760,9840020,16740
2008-11-01,1735659,1688779,46880,1006103,975844,30259,712112,695532,16580,17444,17403,41,2008,11,1076108580,1047042980,29065600,623783860,605023280,18760580,441509440,431229840,10279600,10815280,10789860,25420
2008-12-01,1752077,1692259,59818,1004756,966146,38610,728414,707328,21086,18907,18785,122,2008,12,1086287740,1049200580,37087160,622948720,599010520,23938200,451616680,438543360,13073320,11722340,11646700,75640
2009-01-01,1783337,1732143,51194,1009171,976384,32787,754277,735953,18324,19889,19806,83,2009,1,1105668940,1073928660,31740280,625686020,605358080,20327940,467651740,456290860,11360880,12331180,12279720,51460
2009-02-01,1801214,1753062,48152,1011818,981354,30464,768045,750383,17662,21351,21325,26,2009,2,1116752680,1086898440,29854240,627327160,608439480,18887680,476187900,465237460,10950440,13237620,13221500,16120
2009-03-01,1811606,1771270,40336,1010836,984456,26380,777653,763805,13848,23117,23009,108,2009,3,1123195720,1098187400,25008320,626718320,610362720,16355600,482144860,473559100,8585760,14332540,14265580,66960
2009-04-01,1841904,1812016,29888,1011825,993800,18025,801362,789690,11672,28717,28526,191,2009,4,1141980480,1123449920,18530560,627331500,616156000,11175500,496844440,489607800,7236640,17804540,17686120,118420
2009-05-01,1856663,1810333,46330,1011555,984483,27072,814126,795132,18994,30982,30718,264,2009,5,1151131060,1122406460,28724600,627164100,610379460,16784640,504758120,492981840,11776280,19208840,19045160,163680
2009-06-01,1865762,1853218,12544,1003639,997718,5921,828892,822303,6589,33231,33197,34,2009,6,1156772440,1148995160,7777280,622256180,618585160,3671020,513913040,509827860,4085180,20603220,20582140,21080
2009-07-01,1921398,1902560,18838,1026036,1016530,9506,859810,850580,9230,35552,35450,102,2009,7,1191266760,1179587200,11679560,636142320,630248600,5893720,533082200,527359600,5722600,22042240,21979000,63240
2009-08-01,2037181,1990226,46955,1088954,1061037,27917,909967,891019,18948,38260,38170,90,2009,8,1346826836,1315750784,31076052,720789485,702310999,18478486,602316151,589774385,12541766,23721200,23665400,55800
2009-09-01,2063897,2016376,47521,1096838,1068508,28330,926784,907665,19119,40275,40203,72,2009,9,1364425996,1332974528,31451468,726008003,707256129,18751874,613447493,600792539,12654954,24970500,24925860,44640
2009-10-01,2091906,2040405,51501,1100361,1070583,29778,949367,927824,21543,42178,41998,180,2009,10,1382885670,1348804334,34081336,728339906,708629592,19710314,628395404,614135982,14259422,26150360,26038760,111600
2009-11-01,2119180,2066134,53046,1106541,1076290,30251,968411,945974,22437,44228,43870,358,2009,11,1402706273,1367594752,35111521,732430507,712407113,20023394,641000819,626149649,14851170,29274947,29037990,236957
2009-12-01,2145905,2088299,57606,1111961,1079602,32359,987227,962409,24818,46717,46288,429,2009,12,1545444450,1503908581,41535869,802257576,778911249,23346327,712264434,694358844,17905590,30922440,30638488,283952
2010-01-01,2177823,2116721,61102,1118760,1084064,34696,1010993,984778,26215,48070,47879,191,2010,1,1568392033,1524319710,44072323,807162907,782130493,25032414,729411118,710497630,18913488,31818008,31691587,126421
2010-02-01,2199981,2133644,66337,1128040,1092145,35895,1022177,992062,30115,49764,49437,327,2010,2,1587242119,1539381468,47860651,813858240,787960773,25897467,737480153,715752890,21727263,35903726,35667805,235921
2010-03-01,2230086,2181022,49064,1138541,1110729,27812,1040053,1019071,20982,51492,51222,270,2010,3,1608962285,1573563749,35398536,821434501,801368758,20065743,750377340,735239343,15137997,37150444,36955648,194796
2010-04-01,2260556,2220654,39902,1150207,1127831,22376,1057851,1040556,17295,52498,52267,231,2010,4,1630945782,1602157443,28788339,829851289,813707508,16143781,763218245,750740342,12477903,37876248,37709593,166655
2010-05-01,2275475,2222231,53244,1151055,1119159,31896,1068514,1047384,21130,55906,55688,218,2010,5,1641709536,1603295218,38414318,830463100,807450834,23012266,770911382,755666607,15244775,40335054,40177777,157277
2010-06-01,2296819,2218189,78630,1155066,1109088,45978,1083603,1051542,32061,58150,57559,591,2010,6,1657108801,1600378996,56729805,833356957,800184808,33172149,781797788,758666521,23131267,41954056,41527667,426389
2010-07-01,2311413,2244244,67169,1156153,1119412,36741,1094116,1064315,29801,61144,60517,627,2010,7,1667638076,1619177157,48460919,834141206,807633368,26507838,789382704,767881985,21500719,44114166,43661804,452362
2010-08-01,2326869,2264526,62343,1155898,1122894,33004,1107918,1079262,28656,63053,62370,683,2010,8,1678789268,1633810213,44979055,833957229,810145561,23811668,799340568,778665946,20674622,45491471,44998706,492765
2010-09-01,2347810,2292014,55796,1159858,1130641,29217,1122822,1096904,25918,65130,64469,661,2010,9,1693897784,1653642257,40255527,836814289,815734867,21079422,810093509,791394297,18699212,46989986,46513093,476893
2010-10-01,2360732,2307559,53173,1161099,1134058,27041,1132392,1106867,25525,67241,66634,607,2010,10,1703220755,1664857664,38363091,837709654,818200164,19509490,816998075,798582402,18415673,48513026,48075098,437928
2010-11-01,2381377,2335714,45663,1164782,1141554,23228,1147579,1125560,22019,69016,68600,416,2010,11,1718115716,1685170933,32944783,840366870,823608378,16758492,827955192,812069028,15886164,49793654,49493527,300127
2010-12-01,2404095,2364083,40012,1172595,1152861,19734,1160624,1140803,19821,70876,70419,457,2010,12,1734506306,1705638601,28867705,846003794,831766154,14237640,837366902,823066548,14300354,51135610,50805899,329711
2011-01-01,2420031,2366133,53898,1180009,1151725,28284,1168080,1142920,25160,71942,71488,454,2011,1,1746003795,1707117634,38886161,851352846,830946552,20406294,842746244,824593921,18152323,51904705,51577161,327544
2011-02-01,2438561,2382134,56427,1185907,1155317,30590,1178888,1153651,25237,73766,73166,600,2011,2,1759372831,1718662035,40710796,855608135,833538108,22070027,850544015,832336122,18207893,53220681,52787805,432876
2011-03-01,2462034,2409261,52773,1193091,1165589,27502,1192653,1167985,24668,76290,75687,603,2011,3,1776308131,1738233622,38074509,860791246,840949151,19842095,860475189,842677816,17797373,55041696,54606655,435041
2011-04-01,2492762,2442786,49976,1204462,1178791,25671,1209521,1185769,23752,78779,78226,553,2011,4,1798477758,1762421239,36056519,868995184,850474129,18521055,872645116,855508617,17136499,56837458,56438493,398965
2011-05-01,2495768,2411906,83862,1200861,1155834,45027,1214053,1176067,37986,80854,80005,849,2011,5,1800646528,1740141936,60504592,866397141,833911113,32486028,875914860,848508817,27406043,58334527,57722006,612521
2011-06-01,2516240,2446039,70201,1205040,1166668,38372,1227967,1196915,31052,83233,82456,777,2011,6,1815416682,1764768214,50648468,869412214,841727627,27684587,885953539,863550233,22403306,60050929,59490354,560575
2011-07-01,2539609,2480143,59466,1210727,1181811,28916,1243061,1213394,29667,85821,84938,883,2011,7,1832276932,1789373566,42903366,873515263,852652998,20862265,896843550,875439502,21404048,61918119,61281066,637053
