Periodo de Cobertura,Total_Monto_Dispersadas,Total_Monto_Dispersada_mes,Total_Monto_Dispersada_posterior,Titulares_Total,Titulares_Dispersadas_mes,Titulares_Dispersadas_posterior,Dependientes_Total,Dependientes_Dispersadas_mes,Dependientess_Dispersadas_posterior,Adicionales_Total,Adicionales_Dispersadas_mes,Adicionales_Dispersadas_posterior,Year,Month
2007-09-01,83733053,27758607,55974446,37538790,14004486,23534304,46035248,13595106,32440142,159015,159015,0,2007,9
2007-10-01,83829231,83592889,236342,38162767,37983938,178829,45507449,45449936,57513,159015,159015,0,2007,10
2007-11-01,84857751,80763958,4093793,38866009,35462405,3403604,45560129,44869940,690189,431613,431613,0,2007,11
2007-12-01,85010966,84633981,376985,39426668,39232862,193806,45154618,44971439,183179,429680,429680,0,2007,12
2008-01-01,110952100,110380460,571640,52020480,51641660,378820,58174600,57981780,192820,757020,757020,0,2008,1
2008-02-01,113841920,113217580,624340,55521000,55062200,458800,57403320,57237780,165540,917600,917600,0,2008,2
2008-03-01,114535080,113998780,536300,56183780,55804340,379440,57268160,57111300,156860,1083140,1083140,0,2008,3
2008-04-01,114551820,113901440,650380,56620880,56182540,438340,56849660,56637620,212040,1081280,1081280,0,2008,4
2008-05-01,116326880,115796780,530100,57155320,56759760,395560,58089660,57955120,134540,1081900,1081900,0,2008,5
2008-06-01,119869560,119571960,297600,57117500,56886240,231260,61672020,61605680,66340,1080040,1080040,0,2008,6
2008-07-01,120705320,120280000,425320,57333880,57023260,310620,62268460,62153760,114700,1102980,1102980,0,2008,7
2008-08-01,123151840,122772400,379440,57516780,57254520,262260,64518440,64401260,117180,1116620,1116620,0,2008,8
2008-09-01,122742020,122195800,546220,57383480,56998460,385020,64251840,64090640,161200,1106700,1106700,0,2008,9
2008-10-01,122570900,122137520,433380,57456640,57146640,310000,64006320,63882940,123380,1107940,1107940,0,2008,10
2008-11-01,122756280,122347700,408580,57240260,56963740,276520,64410560,64280360,130200,1105460,1103600,1860,2008,11
2008-12-01,122734580,122189600,544980,57440520,57079060,361460,64121640,63938120,183520,1172420,1172420,0,2008,12
2009-01-01,122508900,122033360,475540,57567000,57242740,324260,63776300,63625640,150660,1165600,1164980,620,2009,1
2009-02-01,122446900,122027780,419120,57508100,57231580,276520,63780640,63638040,142600,1158160,1158160,0,2009,2
2009-03-01,122706680,122332200,374480,57979300,57717040,262260,63578520,63466300,112220,1148860,1148860,0,2009,3
2009-04-01,124433380,124217000,216380,57870180,57751140,119040,63323700,63228220,95480,3239500,3237640,1860,2009,4
2009-05-01,124264740,123890260,374480,58008440,57762920,245520,63018660,62890940,127720,3237640,3236400,1240,2009,5
2009-06-01,125636800,125571700,65100,57949540,57902420,47120,64452720,64434740,17980,3234540,3234540,0,2009,6
2009-07-01,126455820,126327480,128340,58122520,58037580,84940,65132240,65088840,43400,3201060,3201060,0,2009,7
2009-08-01,136203614,135905770,297844,62605423,62412817,192606,70431851,70326613,105238,3166340,3166340,0,2009,8
2009-09-01,136432661,135768111,664550,62546519,62189092,357427,70739642,70432519,307123,3146500,3146500,0,2009,9
2009-10-01,138970539,138399319,571220,62716629,62477684,238945,73099350,72767075,332275,3154560,3154560,0,2009,10
2009-11-01,138964680,138382213,582467,62539235,62283083,256152,73088096,72784947,303149,3337349,3314183,23166,2009,11
2009-12-01,149883368,149194360,689008,67619986,67283781,336205,78955157,78610296,344861,3308225,3300283,7942,2009,12
2010-01-01,148609734,147951825,657909,66836452,66488710,347742,78502786,78193280,309506,3270496,3269835,661,2010,1
2010-02-01,148109723,147380326,729397,66430981,66112098,318883,78171628,77761114,410514,3507114,3507114,0,2010,2
2010-03-01,147395457,146758410,637047,66324202,66037064,287138,77646390,77297202,349188,3424865,3424144,721,2010,3
2010-04-01,144915011,144340730,574281,65461313,65212412,248901,76937177,76612518,324659,2516521,2515800,721,2010,4
2010-05-01,143148828,142661847,486981,64245620,64011148,234472,75572135,75319626,252509,3331073,3331073,0,2010,5
2010-06-01,142158231,141337931,820300,63713166,63297604,415562,75108221,74704925,403296,3336844,3335402,1442,2010,6
