Periodo de Cobertura,Total_Capitas_Dispersadas,Total_Capitas_Dispersada_mes,Total_Capitas_Dispersada_posterior,Titulares_Total,Titulares_Dispersadas_mes,Titulares_Dispersadas_posterior,Dependientes_Total,Dependientes_Dispersadas_mes,Dependientess_Dispersadas_posterior,Adicionales_Total,Adicionales_Dispersadas_mes,Adicionales_Dispersadas_posterior,Year,Month
2007-09-01,420654625,411574827,9079798,237840407,233501556,4338851,182794402,178053455,4740947,19816,19816,0,2007,9
2007-10-01,442512221,426412574,16099647,253245090,243360521,9884569,189212999,182997921,6215078,54132,54132,0,2007,10
2007-11-01,453301594,419803037,33498557,257238843,235179194,22059649,195797404,184367195,11430209,265347,256648,8699,2007,11
2007-12-01,469345250,456400784,12944466,265124375,257372258,7752117,203810046,198623013,5187033,410829,405513,5316,2007,12
2008-01-01,610513380,593320780,17192600,343992120,334395140,9596980,265800820,258205200,7595620,720440,720440,0,2008,1
2008-02-01,624665500,600472480,24193020,347360580,332888540,14472040,275799560,266085400,9714160,1505360,1498540,6820,2008,2
2008-03-01,631369560,613060960,18308600,349950320,339423960,10526360,279445780,271669740,7776040,1973460,1967260,6200,2008,3
2008-04-01,645431780,627276320,18155460,357131780,346473360,10658420,285724520,278233680,7490840,2575480,2569280,6200,2008,4
2008-05-01,657099560,635581220,21518340,356493800,343124740,13369060,297519400,289384380,8135020,3086360,3072100,14260,2008,5
2008-06-01,662855020,648001680,14853340,358270100,349787260,8482840,300881040,294519220,6361820,3703880,3695200,8680,2008,6
2008-07-01,675472640,655353020,20119620,362553060,350481040,12072020,308195800,300175480,8020320,4723780,4696500,27280,2008,7
2008-08-01,669461120,651037200,18423920,366791380,356275560,10515820,297208160,289306880,7901280,5461580,5454760,6820,2008,8
2008-09-01,672551200,649880900,22670300,367297300,353830280,13467020,299500300,290318100,9182200,5753600,5732520,21080,2008,9
2008-10-01,679435060,663506640,15928420,369615480,360743900,8871580,303489380,296448660,7040720,6330200,6314080,16120,2008,10
2008-11-01,699349460,677814380,21535080,382265960,369741960,12524000,310003720,301014960,8988760,7079780,7057460,22320,2008,11
2008-12-01,708177020,681355200,26821820,384377060,368717100,15659960,316028260,304933980,11094280,7771700,7704120,67580,2008,12
2009-01-01,725286540,703227560,22058980,388626540,376036820,12589720,328388580,318969540,9419040,8271420,8221200,50220,2009,1
2009-02-01,733920040,712199580,21720460,390817620,378146680,12670940,334034920,324999660,9035260,9067500,9053240,14260,2009,2
2009-03-01,737778300,719729480,18048820,390306740,379497660,10809080,337450500,330258500,7192000,10021060,9973320,47740,2009,3
2009-04-01,756371480,742545480,13826000,396240140,388527340,7712800,348997380,342972840,6024540,11133960,11045300,88660,2009,4
2009-05-01,765216400,743727200,21489200,398619080,387065380,11553700,354303340,344506100,9797240,12293980,12155720,138260,2009,5
2009-06-01,770330160,764253540,6076620,397488820,394915820,2573000,359460500,355973620,3486880,13380840,13364100,16740,2009,6
2009-07-01,797623800,788595980,9027820,408760420,404577900,4182520,374335540,369548520,4787020,14527840,14469560,58280,2009,7
2009-08-01,909841971,886457739,23384232,468527008,455593976,12933032,425683523,415285643,10397880,15631440,15578120,53320,2009,8
2009-09-01,922367383,899635485,22731898,473086915,460508658,12578257,432651448,422536867,10114581,16629020,16589960,39060,2009,9
2009-10-01,932859934,908565533,24294401,474987916,462090623,12897293,440341518,429046090,11295428,17530500,17428820,101680,2009,10
2009-11-01,946393537,921806974,24586563,478947464,465995892,12951572,447702625,436254290,11448335,19743448,19556792,186656,2009,11
2009-12-01,1043886247,1013353615,30532632,525714314,509676559,16037755,497440916,483149904,14291012,20731017,20527152,203865,2009,12
2010-01-01,1062015698,1030432518,31583180,531042442,514232705,16809737,509618056,494919407,14698649,21355200,21280406,74794,2010,1
2010-02-01,1076525265,1040639662,35885603,537273866,518877593,18396273,515063063,497788011,17275052,24188336,23974058,214278,2010,2
2010-03-01,1093096946,1066783934,26313012,543647418,529668770,13978648,524336977,512164943,12172034,25112551,24950221,162330,2010,3
