Periodo de Cobertura,Total_Monto_Dispersadas,Total_Monto_Dispersada_mes,Total_Monto_Dispersada_posterior,Titulares_Total,Titulares_Dispersadas_mes,Titulares_Dispersadas_posterior,Dependientes_Total,Dependientes_Dispersadas_mes,Dependientess_Dispersadas_posterior,Adicionales_Total,Adicionales_Dispersadas_mes,Adicionales_Dispersadas_posterior,Year,Month
2007-09-01,155621128,144485219,11135909,142615699,132476886,10138813,11915037,10917941,997096,1090392,1090392,0,2007,9
2007-10-01,163180879,159314750,3866129,148605600,145036699,3568901,13386771,13089543,297228,1188508,1188508,0,2007,10
2007-11-01,171949450,147759780,24189670,152196740,134358490,17838250,18528436,13380991,5147445,1224274,20299,1203975,2007,11
2007-12-01,177152498,172931122,4221376,151913509,148015462,3898047,24017615,23694286,323329,1221374,1221374,0,2007,12
2008-01-01,225637840,217308140,8329700,190015120,182774140,7240980,34028700,32939980,1088720,1594020,1594020,0,2008,1
2008-02-01,224840520,214830000,10010520,185092320,176507180,8585140,37773500,36349360,1424140,1974700,1973460,1240,2008,2
2008-03-01,229443400,220931420,8511980,187430340,180167660,7262680,40018520,38769220,1249300,1994540,1994540,0,2008,3
2008-04-01,237644140,229072640,8571500,192838600,185588320,7250280,42791160,41469940,1321220,2014380,2014380,0,2008,4
2008-05-01,240794980,231335640,9459340,191724460,183583860,8140600,47035680,45716940,1318740,2034840,2034840,0,2008,5
2008-06-01,247192760,241262460,5930300,194238560,188942520,5296040,50882160,50248520,633640,2072040,2071420,620,2008,6
2008-07-01,256139980,248571640,7568340,197363360,190692780,6670580,56448520,55558820,889700,2328100,2320040,8060,2008,7
2008-08-01,264505640,255710320,8795320,200127320,192741880,7385440,61951640,60543000,1408640,2426680,2425440,1240,2008,8
2008-09-01,266922400,257787940,9134460,199364720,191642620,7722100,65128520,63722360,1406160,2429160,2422960,6200,2008,9
2008-10-01,264594920,258651600,5943320,194771140,189875000,4896140,67405160,66358600,1046560,2418620,2418000,620,2008,10
2008-11-01,254002840,246880900,7121940,184277640,178317580,5960060,67095160,65934520,1160640,2630040,2628800,1240,2008,11
2008-12-01,255376140,245655780,9720360,181131140,173214360,7916780,71466780,69671260,1795520,2778220,2770160,8060,2008,12
2009-01-01,257873500,248667740,9205760,179492480,172078520,7413960,75486860,73695680,1791180,2894160,2893540,620,2009,1
2009-02-01,260385740,252671080,7714660,179001440,173061220,5940220,78372340,76599760,1772580,3011960,3010100,1860,2009,2
2009-03-01,262710740,256125720,6585020,178432280,173148020,5284260,81115840,79834300,1281540,3162620,3143400,19220,2009,3
2009-04-01,261175620,256687440,4488180,173221180,169877520,3343660,84523360,83406740,1116620,3431080,3403180,27900,2009,4
2009-05-01,261649920,254789000,6860920,170536580,165551160,4985420,87436120,85584800,1851320,3677220,3653040,24180,2009,5
2009-06-01,260805480,259169920,1635560,166817820,165766920,1050900,89999820,89419500,580320,3987840,3983500,4340,2009,6
2009-07-01,267187140,264663740,2523400,169259380,167633120,1626260,93614420,92722240,892180,4313340,4308380,4960,2009,7
2009-08-01,300781251,293387275,7393976,189657054,184304206,5352848,106200777,104162129,2038648,4923420,4920940,2480,2009,8
2009-09-01,305625952,297570932,8055020,190374569,184558379,5816190,110056403,107823153,2233250,5194980,5189400,5580,2009,9
2009-10-01,311055197,301839482,9215715,190635361,184061285,6574076,114954536,112322817,2631719,5465300,5455380,9920,2009,10
2009-11-01,317348056,307405565,9942491,190943808,184128138,6815670,120210098,117110412,3099686,6194150,6167015,27135,2009,11
2009-12-01,351674835,341360606,10314229,208923276,201950909,6972367,135868361,132598644,3269717,6883198,6811053,72145,2009,12
2010-01-01,357766601,345935367,11831234,209284013,201409078,7874935,141290276,137384943,3905333,7192312,7141346,50966,2010,1
2010-02-01,362607131,351361480,11245651,210153393,202971082,7182311,144245462,140203765,4041697,8208276,8186633,21643,2010,2
2010-03-01,368469882,360021405,8448477,211462881,205662924,5799957,148393973,145777198,2616775,8613028,8581283,31745,2010,3
2010-04-01,374020228,365777372,8242856,212980876,207510634,5470242,151963136,149220101,2743035,9076216,9046637,29579,2010,4
2010-05-01,377014366,367044291,9970075,212112212,205363510,6748702,155346875,152156524,3190351,9555279,9524257,31022,2010,5
2010-06-01,381631118,365783144,15847974,212440487,202156531,10283956,159126708,153693998,5432710,10063923,9932615,131308,2010,6
2010-07-01,385605749,373098230,12507519,212480889,204681711,7799178,162128064,157551752,4576312,10996796,10864767,132029,2010,7
2010-08-01,389509673,378410486,11099187,211752195,205111713,6640482,166170511,161847443,4323068,11586967,11451330,135637,2010,8
2010-09-01,392178428,382561883,9616545,211127393,205201898,5925495,168999434,165402897,3596537,12051601,11957088,94513,2010,9
2010-10-01,394029749,384578420,9451329,210210392,204565553,5644839,171260557,167537035,3723522,12558800,12475832,82968,2010,10
2010-11-01,396629968,389543645,7086323,209335241,204993390,4341851,174115453,171405611,2709842,13179274,13144644,34630,2010,11
2010-12-01,401000695,394793134,6207561,210475179,206612392,3862787,176759678,174474065,2285613,13765838,13706677,59161,2010,12
2011-01-01,404347635,396042737,8304898,211094207,205799284,5294923,179162204,176185416,2976788,14091224,14058037,33187,2011,1
2011-02-01,408524287,400343479,8180808,212185085,206781218,5403867,181828799,179106688,2722111,14510403,14455573,54830,2011,2
2011-03-01,414204494,405984009,8220485,214019085,208843208,5175877,184957133,181983950,2973183,15228276,15156851,71425,2011,3
2011-04-01,418969865,411630312,7339553,215012560,210488182,4524378,188075368,185321517,2753851,15881937,15820613,61324,2011,4
2011-05-01,420110525,403892439,16218086,214314891,204877232,9437659,189335794,182732125,6603669,16459840,16283082,176758,2011,5
2011-06-01,424803759,413599230,11204529,214982985,208184496,6798489,192825595,188571784,4253811,16995179,16842950,152229,2011,6
2011-07-01,427660101,418411502,9248599,215094814,209810712,5284102,194857286,191004615,3852671,17708001,17596175,111826,2011,7
2011-08-01,431290582,420119245,11171337,215068839,208824449,6244390,198048387,193365297,4683090,18173356,17929499,243857,2011,8
2011-09-01,431188845,414935411,16253434,213192266,204219242,8973024,199388892,192586820,6802072,18607687,18129349,478338,2011,9
2011-10-01,430740817,422095379,8645438,212832975,207776139,5056836,198889634,195385441,3504193,19018208,18933799,84409,2011,10
2011-11-01,469965243,459414878,10550365,230985319,224796557,6188762,217599947,213334547,4265400,21379977,21283774,96203,2011,11
2011-12-01,469863521,454060419,15803102,230154944,221593345,8561599,217790789,211133620,6657169,21917788,21333454,584334,2011,12
2012-01-01,468828905,455139985,13688920,229285143,221725038,7560105,217249820,211358365,5891455,22293942,22056582,237360,2012,1
2012-02-01,468882524,455572127,13310397,228996519,221574419,7422100,217325523,211677740,5647783,22560482,22319968,240514,2012,2
2012-03-01,468391233,458854198,9537035,227891717,222523081,5368636,217520299,213466240,4054059,22979217,22864877,114340,2012,3
2012-04-01,471680406,460702629,10977777,229397905,223547446,5850459,218961040,214046635,4914405,23321461,23108548,212913,2012,4
2012-05-01,471069250,460321744,10747506,228405082,222443434,5961648,219108500,214475622,4632878,23555668,23402688,152980,2012,5
2012-06-01,471160730,463819886,7340844,227919317,223990628,3928689,219487810,216175801,3312009,23753603,23653457,100146,2012,6
2012-07-01,462390134,448911781,13478353,221945821,214339198,7606623,216640241,210915183,5725058,23804072,23657400,146672,2012,7
2012-08-01,470276723,456200625,14076098,226383951,219438156,6945795,219974358,213534846,6439512,23918414,23227623,690791,2012,8
2012-09-01,468435390,461365824,7069566,224913250,221319708,3593542,219564298,216178166,3386132,23957842,23867950,89892,2012,9
2012-10-01,467376335,458011995,9364340,224955835,220242508,4713327,219028854,214559212,4469642,23391646,23210275,181371,2012,10
2012-11-01,468243767,459822574,8421193,225874531,221747907,4126624,218928698,214780014,4148684,23440538,23294653,145885,2012,11
2012-12-01,469061526,454826131,14235395,226113469,218834892,7278577,219027275,212750998,6276277,23920782,23240241,680541,2012,12
2013-01-01,467795860,453382242,14413618,225555159,217921717,7633442,218202420,212088591,6113829,24038281,23371934,666347,2013,1
2013-02-01,469831187,452495088,17336099,226357933,217405197,8952736,219251235,211559453,7691782,24222019,23530438,691581,2013,2
2013-03-01,469425069,457478914,11946155,226110318,219845852,6264466,218789128,213348741,5440387,24525623,24284321,241302,2013,3
2013-04-01,471038502,459433015,11605487,226543245,220213330,6329915,219645528,214616778,5028750,24849729,24602907,246822,2013,4
2013-05-01,471494302,462596798,8897504,226398148,221480578,4917570,219985405,216145046,3840359,25110749,24971174,139575,2013,5
2013-06-01,472128323,464137683,7990640,225874531,221874868,3999663,220878079,217006175,3871904,25375713,25256640,119073,2013,6
2013-07-01,471320817,461089033,10231784,225340664,220233045,5107619,220419125,215446364,4972761,25561028,25409624,151404,2013,7
2013-08-01,498449187,488772944,9676243,238199377,233667198,4532179,234579957,229574680,5005277,25669853,25531066,138787,2013,8
2013-09-01,499315487,489201277,10114210,237241444,232426737,4814707,234898429,229718453,5179976,27175614,27056087,119527,2013,9
2013-10-01,496197622,486356744,9840878,235802046,230682235,5119811,233068669,228498054,4570615,27326907,27176455,150452,2013,10
2013-11-01,497465669,488733178,8732491,235848016,231344259,4503757,234201302,230100455,4100847,27416351,27288464,127887,2013,11
2013-12-01,496317155,486461230,9855925,235092373,229809565,5282808,233694751,229253699,4441052,27530031,27397966,132065,2013,12
2014-01-01,493003690,482783314,10220376,234033301,228611735,5421566,232289624,227674702,4614922,26680765,26496877,183888,2014,1
2014-02-01,491735640,473318532,18417108,233284343,223940782,9343561,231758828,223735989,8022839,26692469,25641761,1050708,2014,2
