Periodo de Cobertura,Total_Monto_Dispersadas,Total_Monto_Dispersada_mes,Total_Monto_Dispersada_posterior,Titulares_Total,Titulares_Dispersadas_mes,Titulares_Dispersadas_posterior,Dependientes_Total,Dependientes_Dispersadas_mes,Dependientess_Dispersadas_posterior,Adicionales_Total,Adicionales_Dispersadas_mes,Adicionales_Dispersadas_posterior,Year,Month
2007-09-01,660008806,583818653,76190153,417994896,379982928,38011968,240744687,202566502,38178185,1269223,1269223,0,2007,9
2007-10-01,689522331,669320213,20202118,440013457,426381158,13632299,248107219,241537400,6569819,1401655,1401655,0,2007,10
2007-11-01,710108795,648326775,61782020,448301592,405000089,43301503,259885969,242618126,17267843,1921234,708560,1212674,2007,11
2007-12-01,731508714,713965887,17542827,456464552,444620582,11843970,272982279,267288738,5693541,2061883,2056567,5316,2007,12
2008-01-01,947103320,921009380,26093940,586027720,568810940,17216780,358004120,349126960,8877160,3071480,3071480,0,2008,1
2008-02-01,963347940,928520060,34827880,587973900,564457920,23515980,370976380,359672540,11303840,4397660,4389600,8060,2008,2
2008-03-01,975348040,947991160,27356880,593564440,575395960,18168480,376732460,367550260,9182200,5051140,5044940,6200,2008,3
2008-04-01,997627740,970250400,27377340,606591260,588244220,18347040,385365340,376341240,9024100,5671140,5664940,6200,2008,4
2008-05-01,1014221420,982713640,31507780,605373580,583468360,21905220,402644740,393056440,9588300,6203100,6188840,14260,2008,5
2008-06-01,1029917340,1008836100,21081240,609626160,595616020,14010140,413435220,406373420,7061800,6855960,6846660,9300,2008,6
2008-07-01,1052317940,1024204660,28113280,617250300,598197080,19053220,426912780,417888060,9024720,8154860,8119520,35340,2008,7
2008-08-01,1057118600,1029519920,27598680,624435480,606271960,18163520,423678240,414251140,9427100,9004880,8996820,8060,2008,8
2008-09-01,1062215620,1029864640,32350980,624045500,602471360,21574140,428880660,418131100,10749560,9289460,9262180,27280,2008,9
2008-10-01,1066600880,1044295760,22305120,621843260,607765540,14077720,434900860,426690200,8210660,9856760,9840020,16740,2008,10
2008-11-01,1076108580,1047042980,29065600,623783860,605023280,18760580,441509440,431229840,10279600,10815280,10789860,25420,2008,11
2008-12-01,1086287740,1049200580,37087160,622948720,599010520,23938200,451616680,438543360,13073320,11722340,11646700,75640,2008,12
2009-01-01,1105668940,1073928660,31740280,625686020,605358080,20327940,467651740,456290860,11360880,12331180,12279720,51460,2009,1
2009-02-01,1116752680,1086898440,29854240,627327160,608439480,18887680,476187900,465237460,10950440,13237620,13221500,16120,2009,2
2009-03-01,1123195720,1098187400,25008320,626718320,610362720,16355600,482144860,473559100,8585760,14332540,14265580,66960,2009,3
2009-04-01,1141980480,1123449920,18530560,627331500,616156000,11175500,496844440,489607800,7236640,17804540,17686120,118420,2009,4
2009-05-01,1151131060,1122406460,28724600,627164100,610379460,16784640,504758120,492981840,11776280,19208840,19045160,163680,2009,5
2009-06-01,1156772440,1148995160,7777280,622256180,618585160,3671020,513913040,509827860,4085180,20603220,20582140,21080,2009,6
2009-07-01,1191266760,1179587200,11679560,636142320,630248600,5893720,533082200,527359600,5722600,22042240,21979000,63240,2009,7
2009-08-01,1346826836,1315750784,31076052,720789485,702310999,18478486,602316151,589774385,12541766,23721200,23665400,55800,2009,8
2009-09-01,1364425996,1332974528,31451468,726008003,707256129,18751874,613447493,600792539,12654954,24970500,24925860,44640,2009,9
2009-10-01,1382885670,1348804334,34081336,728339906,708629592,19710314,628395404,614135982,14259422,26150360,26038760,111600,2009,10
2009-11-01,1402706273,1367594752,35111521,732430507,712407113,20023394,641000819,626149649,14851170,29274947,29037990,236957,2009,11
2009-12-01,1545444450,1503908581,41535869,802257576,778911249,23346327,712264434,694358844,17905590,30922440,30638488,283952,2009,12
2010-01-01,1568392033,1524319710,44072323,807162907,782130493,25032414,729411118,710497630,18913488,31818008,31691587,126421,2010,1
2010-02-01,1587242119,1539381468,47860651,813858240,787960773,25897467,737480153,715752890,21727263,35903726,35667805,235921,2010,2
2010-03-01,1608962285,1573563749,35398536,821434501,801368758,20065743,750377340,735239343,15137997,37150444,36955648,194796,2010,3
2010-04-01,1630945782,1602157443,28788339,829851289,813707508,16143781,763218245,750740342,12477903,37876248,37709593,166655,2010,4
2010-05-01,1641709536,1603295218,38414318,830463100,807450834,23012266,770911382,755666607,15244775,40335054,40177777,157277,2010,5
2010-06-01,1657108801,1600378996,56729805,833356957,800184808,33172149,781797788,758666521,23131267,41954056,41527667,426389,2010,6
2010-07-01,1667638076,1619177157,48460919,834141206,807633368,26507838,789382704,767881985,21500719,44114166,43661804,452362,2010,7
2010-08-01,1678789268,1633810213,44979055,833957229,810145561,23811668,799340568,778665946,20674622,45491471,44998706,492765,2010,8
2010-09-01,1693897784,1653642257,40255527,836814289,815734867,21079422,810093509,791394297,18699212,46989986,46513093,476893,2010,9
2010-10-01,1703220755,1664857664,38363091,837709654,818200164,19509490,816998075,798582402,18415673,48513026,48075098,437928,2010,10
2010-11-01,1718115716,1685170933,32944783,840366870,823608378,16758492,827955192,812069028,15886164,49793654,49493527,300127,2010,11
2010-12-01,1734506306,1705638601,28867705,846003794,831766154,14237640,837366902,823066548,14300354,51135610,50805899,329711,2010,12
2011-01-01,1746003795,1707117634,38886161,851352846,830946552,20406294,842746244,824593921,18152323,51904705,51577161,327544,2011,1
2011-02-01,1759372831,1718662035,40710796,855608135,833538108,22070027,850544015,832336122,18207893,53220681,52787805,432876,2011,2
2011-03-01,1776308131,1738233622,38074509,860791246,840949151,19842095,860475189,842677816,17797373,55041696,54606655,435041,2011,3
2011-04-01,1798477758,1762421239,36056519,868995184,850474129,18521055,872645116,855508617,17136499,56837458,56438493,398965,2011,4
2011-05-01,1800646528,1740141936,60504592,866397141,833911113,32486028,875914860,848508817,27406043,58334527,57722006,612521,2011,5
2011-06-01,1815416682,1764768214,50648468,869412214,841727627,27684587,885953539,863550233,22403306,60050929,59490354,560575,2011,6
2011-07-01,1832276932,1789373566,42903366,873515263,852652998,20862265,896843550,875439502,21404048,61918119,61281066,637053,2011,7
2011-08-01,1848448902,1804658121,43790781,878275584,857013624,21261960,906621766,884827399,21794367,63551552,62817098,734454,2011,8
2011-09-01,1859261001,1806375965,52885036,878854215,853176072,25678143,915521219,889477338,26043881,64885567,63722555,1163012,2011,9
2011-10-01,1860633269,1807561357,53071912,880836126,856410467,24425659,913216820,885180203,28036617,66580323,65970687,609636,2011,10
2011-11-01,2036633099,1981440516,55192583,962024972,934875783,27149189,999875202,972591987,27283215,74732925,73972746,760179,2011,11
2011-12-01,2049066638,1985189423,63877215,967503234,937105098,30398136,1004993088,973122701,31870387,76570316,74961624,1608692,2011,12
2012-01-01,2054766492,1988315355,66451137,969103265,936570441,32532824,1007920294,975067340,32852954,77742933,76677574,1065359,2012,1
2012-02-01,2062455157,2000461065,61994092,970331876,939030811,31301065,1013033451,983564289,29469162,79089830,77865965,1223865,2012,2
2012-03-01,2078456218,2029981557,48474661,974460089,950869762,23590327,1023149344,999013360,24135984,80846785,80098435,748350,2012,3
2012-04-01,2095659890,2041500346,54159544,981321523,955163580,26157943,1031881302,1004903265,26978037,82457065,81433501,1023564,2012,4
2012-05-01,2105970565,2053713873,52256692,983451481,958059246,25392235,1038498267,1012558799,25939468,84020817,83095828,924989,2012,5
2012-06-01,2112260284,2071217194,41043090,983265374,964442801,18822573,1043518372,1022139257,21379115,85476538,84635136,841402,2012,6
2012-07-01,2068733036,1997292551,71440485,955284979,919632532,35652447,1027783049,993124244,34658805,85665008,84535775,1129233,2012,7
2012-08-01,2138971848,2078467398,60504450,992467312,963547763,28919549,1058939053,1029323221,29615832,87565483,85596414,1969069,2012,8
2012-09-01,2143025944,2102593214,40432730,991246592,973092735,18153857,1063190292,1041672384,21517908,88589060,87828095,760965,2012,9
2012-10-01,2145570697,2097117318,48453379,990955609,969294935,21660674,1066042585,1040228495,25814090,88572503,87593888,978615,2012,10
2012-11-01,2160948784,2109680974,51267810,998419517,975961590,22457927,1072937129,1045250172,27686957,89592138,88469212,1122926,2012,11
2012-12-01,2177833079,2120027142,57805937,1006506405,980070879,26435526,1080300901,1050765500,29535401,91025773,89190763,1835010,2012,12
2013-01-01,2181482636,2121817221,59665415,1007532355,978261878,29270477,1082273138,1053717944,28555194,91677143,89837399,1839744,2013,1
2013-02-01,2197288142,2135801895,61486247,1013708511,984967173,28741338,1090678615,1059793163,30885452,92901016,91041559,1859457,2013,2
2013-03-01,2211025996,2156922434,54103562,1019090569,993969602,25120967,1097617331,1069819958,27797373,94318096,93132874,1185222,2013,3
2013-04-01,2227079115,2167076978,60002137,1025913358,997413331,28500027,1105444777,1075249331,30195446,95720980,94414316,1306664,2013,4
2013-05-01,2246703719,2192494489,54209230,1034414253,1007645945,26768308,1114856478,1088428080,26428398,97432988,96420464,1012524,2013,5
2013-06-01,2264310351,2214159147,50151204,1036683000,1015131935,21551065,1128506014,1100874238,27631776,99121337,98152974,968363,2013,6
2013-07-01,2277388949,2217757439,59631510,1044780138,1018554373,26225765,1132026236,1099759187,32267049,100582575,99443879,1138696,2013,7
2013-08-01,2424847709,2369599556,55248153,1110487336,1087206178,23281158,1212753432,1181787131,30966301,101606941,100606247,1000694,2013,8
2013-09-01,2443365658,2383786082,59579576,1114222089,1089435497,24786592,1220312380,1186553376,33759004,108831189,107797209,1033980,2013,9
2013-10-01,2443817877,2383073904,60743973,1114026494,1085903026,28123468,1219824225,1188430785,31393440,109967158,108740093,1227065,2013,10
2013-11-01,2466117756,2412722921,53394835,1121218495,1097082218,24136277,1233587154,1205423593,28163561,111312107,110217110,1094997,2013,11
2013-12-01,2484486440,2424896825,59589615,1130017912,1102354177,27663735,1242016268,1211561534,30454734,112452260,110981114,1471146,2013,12
2014-01-01,2491443552,2426036978,65406574,1134335276,1104494891,29840385,1245396615,1212246127,33150488,111711661,109295960,2415701,2014,1
2014-02-01,2504813614,2431058169,73755445,1140035212,1105779654,34255558,1252075373,1215596374,36478999,112703029,109682141,3020888,2014,2
2014-03-01,2522694135,2453001954,69692181,1147983691,1114821476,33162215,1259715404,1225346196,34369208,114995040,112834282,2160758,2014,3
2014-04-01,2544043608,2481635366,62408242,1156317518,1126605854,29711664,1271101064,1239872292,31228772,116625026,115157220,1467806,2014,4
2014-05-01,2566336803,2512298318,54038485,1165222256,1140370454,24851802,1283044264,1255320375,27723889,118070283,116607489,1462794,2014,5
2014-06-01,2590940379,2533095262,57845117,1173433196,1148776164,24657032,1297867936,1265993019,31874917,119639247,118326079,1313168,2014,6
2014-07-01,2609599958,2538928939,70671019,1180258241,1150070957,30187284,1309409904,1270485092,38924812,119931813,118372890,1558923,2014,7
2014-08-01,2623989811,2565689957,58299854,1188144865,1162668656,25476209,1314736203,1283178917,31557286,121108743,119842384,1266359,2014,8
