Periodo de Cobertura,Total_Capitas_Dispersadas,Total_Capitas_Titulares,Total_Capitas_Depend_Directos,Total_Capitas_Depend_Adicionales,Monto_Dispersado_Total,Monto_Dispersado_Titulares,Monto_Dispersado_Dep_Directos,Monto_Dispersado_Dep_Adicionales,Year,Month
2007-09-01,1207909,786177,419106,2626,583818656.9700001,379982929.41,202566502.98000002,1269224.58,2007,9
2007-10-01,1534269,955329,576040,2900,741558235.77,461739165.57000005,278417413.2,1401657.0,2007,10
2007-11-01,1360641,851660,507515,1466,657638614.53,411632827.8,245297224.95,708561.7799999998,2007,11
2007-12-01,1599467,1005990,586713,6764,773070385.1100003,486225146.7000001,283575994.2900001,3269244.1199999996,2007,12
2008-01-01,1511121,936466,569690,4965,933393261.2599999,578008226.5699999,352308238.06,3076796.6300000004,2008,1
2008-02-01,1521071,927714,586277,7080,942201632.3000002,574525023.96,363287008.3400001,4389600.0,2008,2
2008-03-01,1566319,955680,602490,8149,970658978.8100004,592151087.6300004,373455511.18,5052380.0,2008,3
2008-04-01,1592488,969352,613989,9147,987104890.87,600824805.77,380608945.1,5671140.0,2008,4
2008-05-01,1625959,969126,646841,9992,1007996860.95,600778304.72,401023516.23,6195040.0,2008,5
2008-06-01,1704449,1014517,678865,11067,1056667494.4500003,628928241.5700003,420877712.87999994,6861540.0,2008,6
2008-07-01,1671237,978980,679161,13096,1036143706.0999999,606948602.87,421075583.22999996,8119520.0,2008,7
2008-08-01,1681167,993417,673239,14511,1042300989.4499999,615897629.4899999,417406539.96000004,8996820.0,2008,8
2008-09-01,1720839,1014211,691614,15014,1066905556.31,628798656.37,428798219.94,9308680.0,2008,9
2008-10-01,1736635,1017556,703171,15908,1076675705.7400002,630856702.6500002,435956043.09000003,9862960.0,2008,10
2008-11-01,1725203,1001549,706208,17446,1069603719.46,620944252.94,437842946.52,10816520.0,2008,11
2008-12-01,1729671,992746,718099,18826,1072390826.54,615498829.91,445219876.63,11672120.0,2008,12
2009-01-01,1783379,1011730,751724,19925,1105688829.85,627268226.5600001,466067103.28999996,12353500.0,2009,1
2009-02-01,1801656,1015230,765020,21406,1117018519.8,629436313.18,474310486.62,13271720.0,2009,2
2009-03-01,1819628,1017050,779543,23035,1128165943.25,630567856.5899999,483316386.65999997,14281700.0,2009,3
2009-04-01,1851576,1022611,800334,28631,1147974523.27,634016223.2700001,496207080.0,17751220.0,2009,4
2009-05-01,1842896,1007151,804976,30769,1142588413.1599998,624427196.5099999,499084436.65000004,19076780.0,2009,5
2009-06-01,1903860,1030308,840098,33454,1180386639.8400002,638784673.1800001,520860486.65999997,20741480.0,2009,6
2009-07-01,1911862,1022632,853746,35484,1185350749.91,634028559.9200001,529322109.99,22000080.0,2009,7
2009-08-01,2012366,1075857,898084,38425,1329477586.96,711499400.67,594154686.29,23823500.0,2009,8
2009-09-01,2044523,1086793,917446,40284,1351600784.9200006,719359154.6300004,607265550.2900001,24976080.0,2009,9
2009-10-01,2057281,1081904,933330,42047,1359965947.6099997,716122573.7199999,617774233.8899996,26069140.0,2009,10
2009-11-01,2089034,1091159,953874,44001,1382744406.31,722247754.4800001,631377440.1299998,29119211.7,2009,11
2009-12-01,2096232,1084705,965195,46332,1509159518.3900006,782288977.6900003,696202926.58,30667614.120000012,2009,12
2010-01-01,2128617,1091399,989212,48006,1532873880.8699994,787409623.8299994,713688605.58,31775651.46000001,2010,1
2010-02-01,2254735,1169719,1034961,50055,1622666801.4800005,841256970.9100003,745333759.7200003,36076070.84999999,2010,2
2010-03-01,2230392,1140333,1038712,51347,1608685541.6699998,822402558.0600002,749238544.4099996,37044439.19999999,2010,3
2010-04-01,2259737,1152318,1055025,52394,1630342797.1300006,831366247.2100009,761175326.8,37801223.12,2010,4
2010-05-01,2253915,1139624,1058523,55768,1626118479.270001,822208596.4100003,763674386.2200006,40235496.639999986,2010,5
2010-06-01,2244635,1125195,1061830,57610,1619453541.080002,811801816.5500009,766087261.7300012,41564462.8,2010,6
2010-07-01,2309913,1163017,1085998,60898,1666550491.230001,839089871.3900005,783523930.8000004,43936689.04,2010,7
2010-08-01,2314203,1152778,1098796,62629,1669647718.790001,831703888.6400001,792758259.2300006,45185570.92000002,2010,8
2010-09-01,2341521,1159843,1116937,64741,1689359218.6300023,836802455.3800006,805847426.5700015,46709336.68,2010,9
2010-10-01,2354521,1162431,1125219,66871,1698738059.300004,838669407.3400024,811822562.8800015,48246089.079999976,2010,10
2010-11-01,2394254,1175497,1149921,68836,1727284530.410001,848093659.6200007,829527073.5100005,49663797.280000016,2010,11
2010-12-01,2417992,1183463,1163938,70591,1744372374.600004,853843634.2700019,839598745.650002,50929994.67999999,2010,12
2011-01-01,2407712,1176052,1160056,71604,1737110778.9100018,848497341.6900008,836952583.3000009,51660853.91999997,2011,1
2011-02-01,2486189,1181437,1231420,73332,1789640802.3700013,852381677.5100006,884351553.5000008,52907571.36000001,2011,2
2011-03-01,2508215,1220437,1211874,75904,1807796705.8000035,879745225.7900022,873288559.9400014,54762920.06999998,2011,3
2011-04-01,2499439,1205441,1215557,78441,1803099083.8900037,869687959.880003,876817511.3300006,56593612.68000001,2011,4
2011-05-01,2462232,1177103,1204911,80218,1775750743.7600024,849252817.3800007,868622243.7400014,57875682.64000001,2011,5
2011-06-01,2527064,1211490,1232836,82738,1823036356.330005,874063005.4100026,889279538.6800023,59693812.23999998,2011,6
2011-07-01,2545254,1217991,1241664,85599,1836304341.9800017,878752215.0600009,895794160.4000008,61757966.51999996,2011,7
2011-08-01,2568211,1224669,1255620,87922,1852905387.0100057,883570556.3500032,905900866.1000025,63433964.55999999,2011,8
2011-09-01,2576239,1218713,1268183,89343,1858638589.5000017,879273600.1800007,914906064.2100012,64458925.109999985,2011,9
2011-10-01,2579527,1226201,1260298,93028,1861062329.140006,884678127.3700031,909266360.3300031,67117841.43999994,2011,10
2011-11-01,2583391,1218882,1269929,94580,2031995268.550007,958941405.3000045,998522088.4900028,74531774.75999995,2011,11
2011-12-01,2586943,1224959,1266038,95946,2038316363.250005,965159610.4700019,997506056.6000032,75650696.17999992,2011,12
2012-01-01,2593711,1223372,1271097,99242,2044707651.790007,964460041.050003,1001992521.0800041,78255089.65999995,2012,1
2012-02-01,2616140,1231300,1284740,100100,2062600170.0600038,970782823.9700025,1012885185.0900013,78932160.99999997,2012,2
2012-03-01,2656468,1245484,1302922,108062,2094190906.9200041,982036299.1200023,1027289966.3500022,84864641.44999965,2012,3
2012-04-01,2647322,1241072,1302081,104169,2087398490.8600037,978590658.7600024,1026663643.6500013,82144188.44999999,2012,4
2012-05-01,2670231,1247594,1316035,106602,2105480435.6300032,983745249.6100014,1037671920.2600017,84063265.75999989,2012,5
2012-06-01,2692186,1254835,1328836,108515,2122653367.2700055,989466293.3500032,1047615590.1200024,85571483.79999997,2012,6
2012-07-01,2583636,1189471,1285976,108189,2037062750.5300016,937947020.7900009,1013800249.4200008,85315480.31999996,2012,7
2012-08-01,2726021,1268293,1347701,110027,2149500640.0800066,1000084626.3400029,1062655082.2800037,86760931.45999996,2012,8
2012-09-01,2740634,1271489,1355257,113888,2160998622.0000024,1002613650.3500018,1068576380.4100008,89808591.23999996,2012,9
2012-10-01,2705534,1252244,1341255,112035,2133442335.0600085,987451876.000005,1057642428.0300035,88348031.02999987,2012,10
2012-11-01,2725184,1262782,1349205,113197,2148932567.9900055,995751396.5100033,1063916415.420002,89264756.05999996,2012,11
2012-12-01,2747735,1270865,1362366,114504,2166723697.180006,1002156511.6000037,1074271621.2600026,90295564.31999987,2012,12
2013-01-01,2766997,1275175,1375547,116275,2181725118.450005,1005560927.8000041,1084472319.5500011,91691871.0999999,2013,1
