Periodo de Cobertura,Total Empresas con aportes,Recaudo SFS,Cuidado de la Salud,Estancias Infantiles,Subsidios,Comisión Operación SISALRIL,Cápita Adicional,Recargo por Atraso en pago de Facturas,Year,Month
2007-08-01,27621,1141707513.33,1125430759.55,0.0,0.0,0.0,2458699.71,13818054.07,2007,8
2007-09-01,28103,1142107599.82,1129320811.55,0.0,0.0,0.0,2759330.97,10027457.3,2007,9
2007-10-01,28531,1152423753.3600001,1140621900.5,0.0,0.0,0.0,3205927.89,8595924.97,2007,10
2007-11-01,28862,1186494367.5,1175144743.66,0.0,0.0,0.0,3339810.3,8009813.54,2007,11
2007-12-01,28860,1208358287.8799999,1196076629.26,0.0,0.0,0.0,3770584.03,8511074.59,2007,12
2008-01-01,29343,1182696206.83,1169340960.85,0.0,0.0,0.0,5343088.97,8012157.01,2008,1
2008-02-01,29729,1218181878.16,1204343298.49,0.0,0.0,0.0,6015860.0,7822719.67,2008,2
2008-03-01,29972,1230448071.48,1215736704.8,0.0,0.0,0.0,6486440.0,8224926.68,2008,3
2008-04-01,30339,1252071350.86,1238114830.54,0.0,0.0,0.0,6969420.0,6987100.32,2008,4
2008-05-01,30569,1262731230.53,1248228934.02,0.0,0.0,0.0,7689240.0,6813056.51,2008,5
2008-06-01,30770,1266590207.71,1250331819.07,0.0,0.0,0.0,9184060.0,7074328.64,2008,6
2008-07-01,30940,1269949071.72,1254706398.95,0.0,0.0,0.0,9547380.0,5695292.77,2008,7
2008-08-01,31026,1383835208.5900002,1299905528.98,13640495.93,45012926.01,9543820.92,9737720.0,5994716.75,2008,8
2008-09-01,31211,1392606674.4900002,1307543197.13,13720701.18,45277507.33,9604279.18,10274640.0,6186349.67,2008,9
2008-10-01,31422,1413263892.4099998,1327121465.37,13926131.53,45955443.27,9748068.13,11222620.0,5290164.11,2008,10
2008-11-01,31559,1406475959.3099997,1318687154.83,13837642.89,45663396.61,9686127.86,12181760.0,6419877.12,2008,11
2008-12-01,31495,1438007989.6199996,1348981238.84,14155521.29,46712397.33,9908639.62,12760840.0,5489352.54,2008,12
2009-01-01,31671,1395458376.98,1308028918.87,13725799.45,45294322.53,9607823.94,13706340.0,5095172.19,2009,1
2009-02-01,31925,1408776604.99,1319801690.4,13849333.55,45701990.79,9694316.34,14803120.0,4926153.91,2009,2
2009-03-01,32092,1425518540.38,1333481587.8,13992883.7,46175682.84,9794801.63,18361920.0,3711664.41,2009,3
2009-04-01,31887,1432045653.61,1338631512.28,14046914.23,46354009.98,9832617.75,19919980.0,3260619.37,2009,4
