Periodo de Cobertura,SFS_Total,SFS_Hombres,SFS_Mujeres,Reg_Subsidiado_Total,Reg_Subsidiado_Hombres,Reg_Subsidiado_Mujeres,RC_Total,RC_Hombres,RC_Mujeres,Year,Month,Poblacion Total proyectada,Porcentaje de Población Cubierta por el SFS,Total Seguro Familiar de Salud,Reg_Subsidiado,Reg_Contributivo,Reg_PensionadosJub,SFS,Tasa_Dep_Regimen_Subsidiado,RC_Tasa_Dependencia,RC_Tasa_Dependencia_Directa
2007-09-01,2159720,1106699,1053021,951678,434621,517057,1208042,672078,535964,2007,9,9200332,0.2347437027272494,2159720,951678,1208042.0,,0.8286889056164115,1.411069336630252,0.5363451264070487,0.5330054724033427
2007-10-01,2388659,1206731,1181928,1003849,459910,543939,1384810,746821,637989,2007,10,9208938,0.2593848498056996,2388659,1003849,1384810.0,,0.8541976519976029,1.472108257197035,0.5697696826249696,0.5664823492871021
2007-11-01,2433039,1227593,1205446,1011064,464219,546845,1421975,763374,658601,2007,11,9217849,0.263948671756285,2433039,1011064,1421975.0,,0.8771971650379369,1.5130341412976478,0.5909782562482239,0.5865431305900597
2007-12-01,2559117,1272336,1286781,1081936,479821,602115,1477181,792515,684666,2007,12,9226491,0.2773662273122035,2559117,1081936,1477181.0,,0.8363907350824293,1.2842665529392143,0.6057868641640333,0.601161416702268
2008-01-01,2572698,1277668,1295030,1087199,482671,604528,1485499,794997,690502,2008,1,9235440,0.2785679945947351,2572698,1087199,1485499.0,,0.8523397444435884,1.3060553097438987,0.6191836605674286,0.6137838347483261
2008-02-01,2620284,1299233,1321051,1122671,501425,621246,1497613,797808,699805,2008,2,9244410,0.2834452387983657,2620284,1122671,1497613.0,,0.8995672790778093,1.3937803174873933,0.6449765821338816,0.6371999174003972
2008-03-01,2670732,1328722,1342010,1141714,511788,629926,1529018,816934,712084,2008,3,9252817,0.2886398812383299,2670732,1141714,1529018.0,,0.9166451970338176,1.4532782675774578,0.6475457352880962,0.6387779643082652
2008-04-01,2751653,1360193,1391460,1186733,524539,662194,1564920,835654,729266,2008,4,9261822,0.2970962948758894,2751653,1186733,1564920.0,,0.8942220319194634,1.355213098486728,0.6494006519945066,0.6397704001239485
2008-05-01,2781015,1371701,1409314,1195993,529291,666702,1585022,842410,742612,2008,5,9270559,0.2999835285013557,2781015,1195993,1585022.0,,0.9270036121595282,1.3819674449266386,0.6842620909212627,0.6736551061654825
2008-06-01,2827066,1398510,1428556,1199911,531467,668444,1627155,867043,760112,2008,6,9279602,0.30465379872973,2827066,1199911,1627155.0,,0.9348199229101422,1.3975155900024177,0.6937692508673625,0.6822741604565975
2008-07-01,2854191,1410113,1444078,1202248,533124,669124,1651943,876989,774954,2008,7,9287769,0.307306415566537,2854191,1202248,1651943.0,,0.950420672255585,1.4115473644937797,0.7121525568128818,0.6985792374646831
2008-08-01,2879873,1425918,1453955,1219357,542008,677349,1660516,883910,776606,2008,8,9296227,0.3097894446854621,2879873,1219357,1660516.0,,0.9527528248357716,1.4538394664713292,0.6981156773273829,0.6832760993927544
2008-09-01,2880266,1423536,1456730,1219194,541928,677266,1661072,881608,779464,2008,9,9304699,0.3095496157371668,2880266,1219194,1661072.0,,0.9634317344431153,1.461889194248294,0.7094001613620272,0.6940265177086592
2008-10-01,2900567,1433747,1466820,1216219,540679,675540,1684348,893068,791280,2008,10,9312923,0.3114561346636281,2900567,1216219,1684348.0,,0.9695051193728148,1.4696206078721228,0.7182543123455141,0.7020638254679592
2008-11-01,2914921,1438386,1476535,1226142,545993,680149,1688779,892393,796386,2008,11,9321435,0.3127116157544412,2914921,1226142,1688779.0,,0.986968812264872,1.4963444800732937,0.7305829620308164,0.7127491689245412
2008-12-01,2916902,1435840,1481062,1224643,545438,679205,1692259,890402,801857,2008,12,9329691,0.3126472248652179,2916902,1224643,1692259.0,,1.0032360525927224,1.4995315838995489,0.7515561830199576,0.7321129518726983
2009-01-01,2949581,1452995,1496586,1217438,542181,675257,1732143,910814,821329,2009,1,9338238,0.315860550994738,2949581,1217438,1732143.0,,1.0149627110631705,1.4975392600342596,0.774038697889355,0.7537536461064499
2009-02-01,2979186,1466054,1513132,1226124,546842,679282,1753062,919212,833850,2009,2,9346808,0.3187383329153653,2979186,1226124,1753062.0,,1.030726885308925,1.524447189623224,0.7863706674655628,0.7646404865114933
2009-03-01,3002019,1477744,1524275,1230749,549299,681450,1771270,928445,842825,2009,3,9354562,0.3209149717538886,3002019,1230749,1771270.0,,1.045771984413524,1.5482928546286518,0.7992373452952697,0.7758650462793665
2009-04-01,3046690,1498780,1547910,1234674,551394,683280,1812016,947386,864630,2009,4,9363166,0.3253910055637163,3046690,1234674,1812016.0,,1.064869385586328,1.5632234973675907,0.823320587643389,0.7946166230629905
2009-05-01,3048562,1495898,1552664,1238229,553242,684987,1810333,942656,867677,2009,5,9371511,0.3253010106908053,3048562,1238229,1810333.0,,1.0810120810243682,1.5771793222730763,0.8388666944985338,0.8076645305200801
2009-06-01,3095993,1520342,1575651,1242775,555642,687133,1853218,964700,888518,2009,6,9380152,0.3305601017979239,3100704,1242775,1853218.0,4711.0,1.096627239691898,1.5948665374914393,0.8574567162264287,0.8241837874028534
2009-07-01,3137700,1542438,1595262,1235140,551860,683280,1902560,990578,911982,2009,7,9388150,0.3351216160798453,3146172,1235140,1902560.0,8472.0,1.1046820573121217,1.6041928022787797,0.8716220869034854,0.8367485465259265
2009-08-01,3230507,1589579,1640928,1240281,552410,687871,1990226,1037169,953057,2009,8,9396430,0.3449642044904288,3241432,1240281,1990226.0,10925.0,1.0944405544533915,1.576495223138333,0.8757366613982359,0.8397624211031284
2009-09-01,3255527,1602534,1652993,1239151,551899,687252,2016376,1050635,965741,2009,9,9404733,0.3477221522397286,3270234,1239151,2016376.0,14707.0,1.1022713770586654,1.581198913487256,0.8870949024246894,0.8494695407053574
2009-10-01,3382889,1645624,1737265,1342484,586142,756342,2040405,1059482,980923,2009,10,9412779,0.3611788824533116,3399697,1342484,2040405.0,16808.0,1.0599123519027869,1.3483712517449,0.9058821221708172,0.8666530292373408
2009-11-01,3412300,1656334,1755966,1346166,586954,759212,2066134,1069380,996754,2009,11,9421116,0.3641461372516801,3430663,1346166,2066134.0,18363.0,1.066207280742122,1.3403849162885308,0.9196814984808926,0.8789211086231407
2009-12-01,3492524,1694508,1798016,1404225,615631,788594,2088299,1078877,1009422,2009,12,9429199,0.3723828503354314,3511272,1404225,2088299.0,18748.0,1.05243260809649,1.2574186277929873,0.9343230190384976,0.8914479595258252
2010-01-01,3535705,1715996,1819709,1418984,624338,794646,2116721,1091658,1025063,2010,1,9437570,0.3768752973487879,3556787,1418984,2116721.0,21082.0,1.076313836121949,1.2930777037290808,0.9525793680077927,0.9084131564188092
2010-02-01,3563088,1730491,1832597,1429444,629878,799566,2133644,1100613,1033031,2010,2,9445960,0.3795559159683081,3585270,1429444,2133644.0,22182.0,1.0817597826563252,1.3076764121853963,0.953627036703002,0.9083610692719374
2010-03-01,3633456,1767487,1865969,1452434,642390,810044,2181022,1125097,1055925,2010,3,9453554,0.3868071203697572,3656702,1452434,2181022.0,23246.0,1.1018515144100196,1.350353742289195,0.9635950803481316,0.9174794211729412
2010-04-01,3688159,1797212,1890947,1467505,650264,817241,2220654,1146948,1073706,2010,4,9461979,0.392274808472942,3711696,1467505,2220654.0,23537.0,1.1142281766084037,1.3799333783100016,0.968959888493932,0.9226169523625436
