Ano de Cobertura,Grupo Numero,Grupo Descripcion ,Montos Pagados,Distribucion Porcentual 
2007,0.0,Total de Montos Pagados  2007,947776336.17,1.0
2007,1.0,Prevención y Promoción,70378983.09,0.07425695325376463
2007,2.0,Atención Ambulatoria,130565459.56,0.13775978000001557
2007,3.0,Servicios Odontológicos,337347.34,0.0003559356011812169
2007,4.0,Emergencia,115022314.15,0.12136018780001359
2007,5.0,Hospitalización,271050509.39,0.2859857321246544
2007,6.0,Partos,58823431.2,0.06206467597377216
2007,7.0,Cirugía,75251518.17,0.07939797112269571
2007,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,192427075.73,0.2030300487429398
2007,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,24191873.89,0.025524876457414285
2007,10.0,Rehabilitación,572051.12,0.0006035718535785354
2007,11.0,Hemoterapia,11632.0,1.2272937776654513e-05
2007,12.0,Medicamentos Ambulatorios,9144140.53,0.009647994132193485
2008,0.0,Total de Montos Pagados  2008,4705971507.429999,1.0
2008,1.0,Prevención y Promoción,422202160.89,0.08971625948508363
2008,2.0,Atención Ambulatoria,398849319.32,0.08475387466547105
2008,3.0,Servicios Odontológicos,11247928.9,0.0023901396092690457
2008,4.0,Emergencia,432656467.44,0.09193775753994739
2008,5.0,Hospitalización,1072585981.28,0.22792020299879695
2008,6.0,Partos,358223601.54,0.07612107318848414
2008,7.0,Cirugía,630739396.73,0.13402958257060424
2008,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,928517602.36,0.1973062524696579
2008,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,190848334.44,0.040554502750108044
2008,10.0,Rehabilitación,28176028.71,0.005987292669646304
2008,11.0,Hemoterapia,472662.94,0.00010043897190064548
2008,12.0,Medicamentos Ambulatorios,231452022.88,0.0491826230810308
2009,0.0,Total de Montos Pagados  2009,7798229637.840001,1.0
2009,1.0,Prevención y Promoción,445000390.32,0.05706428394474144
2009,2.0,Atención Ambulatoria,571919202.81,0.07333962057680742
2009,3.0,Servicios Odontológicos,40809746.33,0.0052332065385681205
2009,4.0,Emergencia,615067442.72,0.07887270204707193
2009,5.0,Hospitalización,1657885769.68,0.21259771084904994
2009,6.0,Partos,681355376.6,0.08737308443621644
2009,7.0,Cirugía,1351958364.56,0.1733673445572543
2009,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,1570109145.06,0.20134174267467428
2009,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,443470669.33,0.05686812134617198
2009,10.0,Rehabilitación,39160532.31,0.005021720842892094
2009,11.0,Hemoterapia,1339643.81,0.0001717881970927779
2009,12.0,Medicamentos Ambulatorios,380153354.31,0.04874867398945911
2010,0.0,Total de Montos Pagados  2010,13068750094.59,1.0
2010,1.0,Prevención y Promoción,255818837.77,0.019574851146315818
2010,2.0,Atención Ambulatoria,1040022436.84,0.07958086498803986
2010,3.0,Servicios Odontológicos,138824145.9,0.010622603148365986
2010,4.0,Emergencia,1030160535.34,0.07882624794902536
2010,5.0,Hospitalización,3338744528.18,0.2554754283320577
2010,6.0,Partos,902801003.46,0.06908089885609854
2010,7.0,Cirugía,2242608614.71,0.17160084923793598
2010,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,2519230212.57,0.19276749454508832
2010,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,929517427.31,0.07112519717511373
2010,10.0,Rehabilitación,81636974.78,0.00624673164526995
2010,11.0,Hemoterapia,3359824.15,0.00025708840751273134
2010,12.0,Medicamentos Ambulatorios,586025553.58,0.04484174456917604
2011,0.0,Total de Montos Pagados  2011,17388570178.63,1.0
2011,1.0,Prevención y Promoción,377071420.19,0.021685015864812668
2011,2.0,Atención Ambulatoria,1175535340.09,0.0676039103856104
2011,3.0,Servicios Odontológicos,286660098.78000003,0.016485547450721172
2011,4.0,Emergencia,1202167913.47,0.06913552414720252
2011,5.0,Hospitalización,4538735984.33,0.26101835502886617
2011,6.0,Partos,1124198603.7,0.06465158389397677
2011,7.0,Cirugía,2948580833.7,0.16957005684824575
2011,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,3272459090.44,0.1881959848810196
2011,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,1431090138.19,0.0823006218158618
2011,10.0,Rehabilitación,122728535.74,0.007058000426672773
2011,11.0,Hemoterapia,6584320.6,0.0003786579651092831
2011,12.0,Medicamentos Ambulatorios,902757899.4,0.05191674129190108
2012,0.0,Total de Montos Pagados  2012,19639660124.11,1.0
2012,1.0,Prevención y Promoción,431503875.91999996,0.021971045995357017
2012,2.0,Atención Ambulatoria,1361565058.78,0.06932732288521216
2012,3.0,Servicios Odontológicos,290551774.3,0.014794134545297625
2012,4.0,Emergencia,1493072278.02,0.07602332568816084
2012,5.0,Hospitalización,3921617067.2400002,0.19967845891720665
2012,6.0,Partos,1232493137.19,0.06275531905345802
2012,7.0,Cirugía,3675415190.37,0.18714250486738282
2012,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,3808719377.67,0.19393000457244916
2012,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,2074126105.89,0.10560906312954803
2012,10.0,Rehabilitación,184598845.64,0.009399289217504488
2012,11.0,Hemoterapia,8018625.44,0.00040828738325039503
2012,12.0,Medicamentos Ambulatorios,1157978787.65,0.05896124374517278
2013,0.0,Total de Montos Pagados  2013,21239703083.99,1.0
2013,1.0,Prevención y Promoción,471428949.72,0.022195646890909332
2013,2.0,Atención Ambulatoria,1419881553.32,0.06685034850559064
2013,3.0,Servicios Odontológicos,348065077.9,0.016387473804300185
2013,4.0,Emergencia,1674701034.77,0.07884766694466416
2013,5.0,Hospitalización,3863484808.52,0.18189919102175237
2013,6.0,Partos,1276546863.62,0.06010191661211269
2013,7.0,Cirugía,3786608167.86,0.17827971289835298
2013,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,4322440656.71,0.20350758386863496
2013,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,2322047568.9,0.10932580176463512
2013,10.0,Rehabilitación,232457363.29,0.010944473299404123
2013,11.0,Hemoterapia,8697171.75,0.00040947708711407214
2013,12.0,Medicamentos Ambulatorios,1513343867.63,0.07125070730252928
2014,0.0,Total de Montos Pagados  2014,25506334088.76,1.0
2014,1.0,Prevención y Promoción,509290375.38,0.019967211815218537
2014,2.0,Atención Ambulatoria,1502964242.72,0.05892513747721664
2014,3.0,Servicios Odontológicos,409765136.22,0.01606523049506253
2014,4.0,Emergencia,2139765624.3200002,0.08389153913195786
2014,5.0,Hospitalización,4524363048.15,0.17738194098789653
2014,6.0,Partos,1563462589.55,0.06129703249825222
2014,7.0,Cirugía,4444466063.13,0.1742495039727628
2014,8.0,Apoyo Diagnóstico (Dx) en Internamiento y Ambulatoria,5043547629.82,0.19773706453733642
2014,9.0,Atenciones de Alto Costo y de Máximo Nivel de Complejidad,3418572622.7599998,0.13402837941601647
2014,10.0,Rehabilitación,255098209.63,0.010001367062090486
2014,11.0,Hemoterapia,10530309.110000001,0.00041285074810654365
2014,12.0,Medicamentos Ambulatorios,1684508237.97,0.06604274185808304
