Periodo de Cobertura,Ingresos en Salud,Gasto en Salud,Porcentaje (%) de Siniestralidad,Year,Month
2007-09-01,831159074.0,591024719.0,71.10849625399145,2007,9
2007-10-01,729353387.0,506026805.0,69.38019539216866,2007,10
2007-11-01,755673323.0,728017063.0,96.34018309787548,2007,11
2007-12-01,825760919.0,577155509.0,69.89377866161767,2007,12
2008-01-01,533619068.0,417349237.0,78.21108015577884,2008,1
2008-02-01,836564089.0,597040526.0,71.36817535566004,2008,2
2008-03-01,807540530.0,469293222.0,58.11389082848882,2008,3
2008-04-01,792131737.0,596306845.0,75.27874684813948,2008,4
2008-05-01,815338810.0,547829953.0,67.1904668686138,2008,5
2008-06-01,821274863.0,600190091.0,73.08029480015877,2008,6
2008-07-01,839179434.0,679141979.0,80.92929253077953,2008,7
2008-08-01,825195916.0,607981049.0,73.67717619678574,2008,8
2008-09-01,845067395.0,593374538.0,70.21623855219264,2008,9
2008-10-01,872501053.0,617036000.0,70.72037310194513,2008,10
2008-11-01,862303311.0,662940748.0,76.88022758850337,2008,11
2008-12-01,1033206028.0,698175425.0,67.57368870093352,2008,12
2009-01-01,876912151.0,655825395.0,74.78803826040267,2009,1
2009-02-01,913989922.0,708066047.0,77.46978713404238,2009,2
2009-03-01,919670126.0,756365827.0,82.24316585009961,2009,3
2009-04-01,908172678.0,710904068.0,78.27851302084646,2009,4
2009-05-01,938085747.0,728062857.0,77.61154663402002,2009,5
2009-06-01,911196168.0,721554507.0,79.18761429646398,2009,6
2009-07-01,906263353.0,741817584.0,81.85452733406511,2009,7
2009-08-01,902815891.0,691531208.0,76.5971462059699,2009,8
2009-09-01,901954611.0,706416685.0,78.32064678030677,2009,9
2009-10-01,903507620.0,698635405.0,77.3247938960382,2009,10
2009-11-01,930165030.0,671405896.0,72.18137366441307,2009,11
2009-12-01,1049600947.0,693520891.0,66.07472039561716,2009,12
2010-01-01,565397046.34,569909471.94,100.79809854494472,2010,1
2010-02-01,657241160.3900001,464891370.35,70.73375776923928,2010,2
2010-03-01,650467008.9300001,475767014.4699999,73.14237431543582,2010,3
2010-04-01,659795560.28,446401004.1000001,67.6574731588917,2010,4
2010-05-01,671115807.9999998,456500470.01,68.02111715568473,2010,5
2010-06-01,738300938.18,503617359.43000007,68.213019026019,2010,6
2010-07-01,708207077.41,545051452.23,76.96215833133438,2010,7
2010-08-01,722594464.4900002,529182256.8000001,73.23364387706616,2010,8
2010-09-01,713411449.3199999,634553464.6599998,88.94635280451905,2010,9
2010-10-01,707366133.2499999,694753145.1300001,98.21690811488962,2010,10
2010-11-01,925350379.0599998,559621843.6200001,60.47675089175213,2010,11
2010-12-01,739428121.3499999,583680844.68,78.93679288452721,2010,12
2011-01-01,764693595.4700001,736210428.9000001,96.27521836998078,2011,1
2011-02-01,757576021.4000001,380182856.11999995,50.184119531320725,2011,2
2011-03-01,782409716.85,629151607.9399998,80.41203916446476,2011,3
2011-04-01,760667969.68,495098834.55,65.08737771070861,2011,4
2011-05-01,804588393.4399999,543605530.6400001,67.56318324650778,2011,5
2011-06-01,765828437.4200002,401545114.3999999,52.432776687265026,2011,6
2011-07-01,835123061.84,496005792.75999993,59.393138020541095,2011,7
2011-08-01,837380896.46,420327714.14,50.19552224285525,2011,8
2011-09-01,836388407.77,539726541.24,64.5306099685232,2011,9
2011-10-01,928093692.83,730653799.11,78.7262972213555,2011,10
2011-11-01,843363793.2,541102346.68,64.16001624007113,2011,11
2011-12-01,837362770.88,726509163.8499999,86.76157922407967,2011,12
2012-01-01,839233365.66,548704374.25,65.38162050057213,2012,1
2012-02-01,923084618.8199999,623737310.0999999,67.57097858453514,2012,2
2012-03-01,865893836.7200003,655055802.23,75.65082166554583,2012,3
2012-04-01,861376174.1900002,629416383.6000001,73.07102314408398,2012,4
2012-05-01,858517789.3799998,656733438.47,76.49619455693242,2012,5
2012-06-01,851236738.4999999,620965191.0399998,72.9485891473891,2012,6
2012-07-01,887662650.16,701279686.13,79.00295072723802,2012,7
2012-08-01,913568949.0999998,623542924.0600001,68.25351547622999,2012,8
2012-09-01,886003587.95,670075638.2800001,75.6289982787084,2012,9
2012-10-01,878153955.54,768374466.7199999,87.49883341896538,2012,10
2012-11-01,912705900.5199997,701417586.29,76.85033984007099,2012,11
2012-12-01,852536840.5,761684617.7100002,89.34330829190719,2012,12
2013-01-01,907782574.9100001,655001980.0699999,72.1540595924017,2013,1
2013-02-01,920114309.38,613848363.6299998,66.71435900650526,2013,2
2013-03-01,941374431.33,669824057.5,71.15384008822652,2013,3
2013-04-01,947187543.33,726678297.1800001,76.71957916858135,2013,4
2013-05-01,937090451.03,762556568.9599999,81.37491616970787,2013,5
2013-06-01,988485659.1899999,749420085.9,75.81496796970238,2013,6
2013-07-01,971365823.2099999,792981223.12,81.63569318297552,2013,7
2013-08-01,972144992.9599999,896328439.8400003,92.201106453354,2013,8
2013-09-01,995922580.27,723117826.75,72.60783529518517,2013,9
2013-10-01,1007582820.11,804687788.94,79.86319068562032,2013,10
2013-11-01,988604974.1600001,719944602.4199998,72.82429496490485,2013,11
2013-12-01,1021500985.3399999,721740999.67,70.65494894552384,2013,12
2014-01-01,1025969911.37,792687245.5799998,77.26223125993113,2014,1
2014-02-01,1049301285.69,896055194.9200001,85.39541570567806,2014,2
2014-03-01,1053493338.61,627300002.5,59.544752634855016,2014,3
2014-04-01,1055229840.9399999,745776327.0700002,70.67430223596234,2014,4
2014-05-01,1082663266.96,820902101.14,75.82247649770211,2014,5
2014-06-01,1080784219.88,871993342.32,80.68153904179114,2014,6
2014-07-01,1097691132.1899998,897695923.78,81.78037495748097,2014,7
2014-08-01,1097996107.5,812660906.84,74.01309542802728,2014,8
2014-09-01,1126866812.9400003,835945682.6,74.18318411729726,2014,9
2014-10-01,1126810702.47,954917605.96,84.74516650106308,2014,10
2014-11-01,1133029891.96,819326136.69,72.31284386263351,2014,11
2014-12-01,1144408300.8700001,904634977.71,79.04827123521213,2014,12
2015-01-01,1119188443.37,826258900.03,73.82661114173439,2015,1
2015-02-01,1240608148.05,847603528.0099999,68.32161543854693,2015,2
2015-03-01,1199510211.7,838559937.1999999,69.90852841607366,2015,3
2015-04-01,1205440335.24,852802562.3999999,70.746144580454,2015,4
2015-05-01,1202682411.4400003,880970118.14,73.25043667057486,2015,5
2015-06-01,1178317914.38,885239496.7100003,75.12739014714802,2015,6
2015-07-01,1221511075.4300003,934417220.9499999,76.49682755607134,2015,7
2015-08-01,1213614557.0799997,877113633.9499999,72.27283397624753,2015,8
2015-09-01,1235360387.94,935553719.0799999,75.73123828586274,2015,9
2015-10-01,1220679265.9899998,1029239482.75,84.31694642697666,2015,10
2015-11-01,1236817320.1600003,938341822.9399999,75.86745493009523,2015,11
2015-12-01,1247676468.5000002,877146296.18,70.30238353653776,2015,12
