Ano de Cobertura,Ingresos ARS Total,Ingresos ARS Autogestion,Ingresos ARS Privada,Ingresos ARS Publica,Gastos ARS Total,Gastos ARS Autogestion,Gastos ARS Privada,Gastos ARS Publica,Siniestralidad ARS Total,Siniestralidad ARS Autogestion,Siniestralidad ARS Privada,Siniestralidad ARS Publica
2007,3141946703.0,362489348.0,1977749504.0,801707851.0,2402224096.0,192600663.0,1458503277.0,751120156.0,0.76456551401916,0.5313277867685094,0.7374560196072232,0.9369000878101666
2008,9883922234.0,1289832451.0,6257310152.0,2336779631.0,7086659613.0,613483044.0,4457640784.0,2015535785.0,0.7169886048498426,0.475630027391829,0.7123892975922285,0.8625271113551571
2009,11062334244.0,1392488358.0,6570271747.0,3099574139.0,8484106370.0,751687492.0,5234895652.0,2497523226.0,0.7669363610669799,0.5398159975137113,0.7967548152616769,0.8057633448980069
2010,8458675147.0,1984536065.9800003,6294964663.74,179174417.28,6463929697.420002,1403186956.0600004,4812836850.380001,247905890.98000005,0.76417755559658,0.7070604460731134,0.764553433969647,1.383600933344138
2011,9753476757.24,2018128065.4699993,7475856581.28,259492110.48999998,6640119730.33,1223397830.6599994,5083362092.350001,333359807.32000005,0.6807951559838438,0.6062042600726053,0.6799705207131782,1.2846625922095103
2012,10529974407.039997,2539358154.0,7798544717.219997,192071535.82000002,7960987418.88,2047260524.38,5682000940.67,231725953.82999998,0.7560310320942037,0.8062118063791643,0.7285975969495374,1.2064565050761198
2013,11599157145.22,1819903535.5500004,9429654838.859999,349598770.80999994,8836130233.98,1525826731.78,6984762341.349999,325541160.84999996,0.761790716631627,0.8384107739638375,0.7407230127411986,0.9311850842488378
2014,13074244811.38,2007023139.3000002,10595750510.499998,471471161.5800001,9979895447.110003,2044026534.4699998,7441510993.620003,494357919.01999986,0.7633248108084504,1.0184369549336165,0.7023108921114875,1.0485432817636213
2015,14521406539.279997,2316905387.7900004,11678419923.189997,526081228.3000001,10723246718.34,1875018807.0299997,8309231919.019999,538995992.29,0.7384440817997843,0.8092772440822463,0.7115030949110028,1.0245489922378208
2016,14267216855.499996,2205495655.5,11450091068.739996,611630131.26,11008921415.210003,1847043896.11,8386476772.450004,775400746.65,0.7716236128398144,0.8374733776980682,0.732437560723513,1.2677608688973863
2017,11600959357.969997,1928038796.5000005,8605333505.579998,1067587055.8900001,8891327897.51,1499054946.0799997,6105711145.56,1286561805.87,0.7664303979654538,0.777502480137463,0.7095263817027945,1.2051118442958735
2018,9571075448.34,2165457076.5899997,6057504060.770001,1348114310.98,7686847912.980001,1615689117.2200005,4413338894.460001,1657819901.3000002,0.8031331436545307,0.7461192072041748,0.7285738235062773,1.2297324401925993
2019,8533003358.019998,2367624530.3799996,4567916971.089998,1597461856.5500002,7185953511.139999,1841928524.9099991,3454952799.15,1889072187.0800004,0.8421364916475823,0.777964791830558,0.7563519260564795,1.182546036598197
2020,9303153951.73,2544669034.98,4824264874.200001,1934220042.5499997,7335141893.220001,1727177180.5300002,3308468978.76,2299495733.9300003,0.7884575415261155,0.6787433480690643,0.6857975391139024,1.1888490881825604
2021,10760796346.529997,2758087287.4599996,5351198016.779999,2651511042.289999,9516659465.16,2285757609.6600003,4347866701.440001,2883035154.0599995,0.8843824526266413,0.8287473786824996,0.8125034221881146,1.0873178003324635
2022,12456465141.359999,2231091578.02,5961844272.119999,4263529291.22,10683524782.730003,2023455909.1,4774194915.490002,3885873958.1400003,0.8576690627308715,0.9069353894006144,0.8007916170866912,0.9114218978493439
2023,12933822416.220003,2071477598.3400006,5967160341.900003,4895184475.98,11394572479.730003,2062442268.6100008,4792859564.270001,4539270646.85,0.880990330085276,0.995638219917396,0.8032060963094394,0.9272930712057085
